anio;mes;Fecha;M2;PIB_REAL;INFLACION_ANUAL_2014
2000;1;mar-00;3453.41;9134.587;0.808757819
2000;2;jun-00;4090.292;9320.414;1.036833425
2000;3;sep-00;4396.812;9548.491;1.07874837
2000;4;dic-00;4874.702;9722.918;0.909962113
2001;1;mar-01;5183.88621;9699.363;0.587779974
2001;2;jun-01;5403.40155;9802.413;0.331983806
2001;3;sep-01;5736.101;9809.483;0.271951831
2001;4;dic-01;6157.141905;9930.104;0.224387398
2002;1;mar-02;6477.807155;10063.566;0.13241365
2002;2;jun-02;6796.377705;10205.818;0.13248227
2002;3;sep-02;7103.1369;10274.208;0.112790927
2002;4;dic-02;7452.65859;10305.402;0.09355761
2003;1;mar-03;6213.97442;10440.088;0.091512787
2003;2;jun-03;6410.845002;10240.791;0.076152305
2003;3;sep-03;6612.450642;10464.381;0.07548056
2003;4;dic-03;7176.616966;10816.002;0.060698755
2004;1;mar-04;7371.867642;11091.411;0.039792896
2004;2;jun-04;7624.315338;11282.549;0.028722732
2004;3;sep-04;7907.395183;11403.289;0.016002769
2004;4;dic-04;8678.546642;11629.461;0.019455764
2005;1;mar-05;8905.947642;11771.814;0.009213961
2005;2;jun-05;9227.008635;11936.392;0.021540189
2005;3;sep-05;9689.822424;11951.919;0.029474755
2005;4;dic-05;10451.39927;12149.194;0.031342193
2006;1;mar-06;10756.25303;12278.116;0.042254541
2006;2;jun-06;11164.13964;12447.026;0.0279724
2006;3;sep-06;11393.01699;12592.998;0.032129324
2006;4;dic-06;12083.54494;12596.475;0.028693947
2007;1;mar-07;11863.63564;12548.685;0.01467672
2007;2;jun-07;12272.48564;12641.374;0.021878732
2007;3;sep-07;12776.00464;12821.498;0.025793087
2007;4;dic-07;14013.27323;12996.22;0.033197064
2008;1;mar-08;14302.12835;13203.59;0.065554855
2008;2;jun-08;15155.48233;13437.956;0.096873225
2008;3;sep-08;15931.43916;13689.235;0.099658594
2008;4;dic-08;17177.26122;13919.627;0.088305414
2009;1;mar-09;16167.16423;13721.197;0.074374822
2009;2;jun-09;16361.67509;13663.73;0.045381481
2009;3;sep-09;16616.22303;13579.505;0.032917292
2009;4;dic-09;18588.45892;13593.3;0.043117436
2010;1;mar-10;18830.61218;13729.815;0.033512993
2010;2;jun-10;19564.23432;13946.256;0.033048493
2010;3;sep-10;20344.65837;14175.891;0.034400486
2010;4;dic-10;22189.36686;14629.093;0.033280351
2011;1;mar-11;22726.74011;14790.364;0.035725045
2011;2;jun-11;23706.24679;15176.741;0.042773387
2011;3;sep-11;24848.70104;15409.103;0.053944183
2011;4;dic-11;26556.97729;15548.856;0.054093823
2012;1;mar-12;27546.83789;15798.59;0.061183522
2012;2;jun-12;28220.22695;16072.842;0.049960937
2012;3;sep-12;28442.82849;16196.959;0.052237498
2012;4;dic-12;30905.50475;16294.042;0.041639096
2013;1;mar-13;30671.25609;16458.713;0.030105805
2013;2;jun-13;31238.13385;16802.24;0.02678647
2013;3;sep-13;32164.90063;17131.619;0.017141731
2013;4;dic-13;35051.1362;17153.556;0.02700342
2014;1;mar-14;34878.80341;17096.076;0.031112618
2014;2;jun-14;35951.8843;17494.063;0.03671745
2014;3;sep-14;37318.66235;17736.022;0.041930323
2014;4;dic-14;40104.36703;17779.201;0.036673572
2015;1;mar-15;39560.87942;17816.05;0.037603398
2015;2;jun-15;39315.73774;17537.769;0.048654528
2015;3;sep-15;39004.3676;17492.225;0.037811447
2015;4;dic-15;39650.60312;17328.633;0.033801251
2016;1;mar-16;40394.04527;17204.627;0.023208464
2016;2;jun-16;41330.78834;17328.097;0.015855331
2016;3;sep-16;43257.40934;17310.908;0.013021284
2016;4;dic-16;46188.3709;17470.434;0.011197914
2017;1;mar-17;47075.9318;17497.935;0.009589901
2017;2;jun-17;47586.68834;17685.968;0.001593932
2017;3;sep-17;47658.54478;17819.405;-0.00026512
2017;4;dic-17;50790.78172;17952.383;-0.001967005
2018;1;mar-18;51152.9009;17762.564;-0.002129817
2018;2;jun-18;51389.52286;17943.194;-0.007036646
2018;3;sep-18;51720.47003;18080.826;0.002277697
2018;4;dic-18;53664.74239;18083.933;0.002628829
2019;1;mar-19;53747.05643;17970.651;-0.001181188
2019;2;jun-19;54271.28817;18009.165;0.006070503
2019;3;sep-19;55160.34203;18075.353;-0.000713714
2019;4;dic-19;57967.69065;17824.048;-0.000664894
2020;1;mar-20;57896.89779;17647.247;0.001811852
2020;2;jun-20;59394.00017;15504.941;0.001653015
2020;3;sep-20;60492.97763;16454.336;-0.009014679
2020;4;dic-20;63821.31631;16675.022;-0.009285947
2021;1;mar-21;63928.88072;16929.406;-0.008277473
2021;2;jun-21;65050.5514;17298.695;-0.006882573
2021;3;sep-21;67114.03461;17367.296;0.010665346
2021;4;dic-21;70075.38754;17493.339;0.019406785
