year,month,gdp,ipc,m2
2000,Marzo,9134587,32.76670664,3453.41
2000,Junio,9320414,39.98703824,4090.292
2000,Septiembre,9548491,43.01979337,4396.812
2000,Diciembre,9722920,46.24681751,4874.702
2001,Marzo,9699363,52.02632061,5183.88621
2001,Junio,9802413,53.26208738,5403.40155
2001,Septiembre,9809483,54.71910496,5736.101
2001,Diciembre,9930099,56.62402055,6157.141905
2002,Marzo,10063566,58.91531562,6477.807155
2002,Junio,10205818,60.31836959,6796.377705
2002,Septiembre,10274208,60.89092354,7103.1369
2002,Diciembre,10305405,61.92162857,7452.65859
2003,Marzo,10440088,64.30682033,6213.97442
2003,Junio,10240791,64.91175245,6410.845002
2003,Septiembre,10464381,65.48700457,6612.450642
2003,Diciembre,10816003,65.68019431,7176.616966
2004,Marzo,11091411,66.86577492,7371.867642
2004,Junio,11282549,66.77619532,7624.315338
2004,Septiembre,11403289,66.53497797,7907.395183
2004,Diciembre,11629465,66.9580527,8678.546642
2005,Marzo,11771814,67.48187355,8905.947642
2005,Junio,11936392,68.21456719,9227.008635
2005,Septiembre,11951919,68.49608016,9689.822424
2005,Diciembre,12149195,69.05666489,10451.39927
2006,Marzo,12278116,70.33328915,10756.25303
2006,Junio,12447026,70.12269237,11164.13964
2006,Septiembre,12592998,70.69681292,11393.01699
2006,Diciembre,12596472,71.03817315,12083.54494
2007,Marzo,12548685,71.36555116,11863.63564
2007,Junio,12641374,71.65688797,12272.48564
2007,Septiembre,12821498,72.52030196,12776.00464
2007,Diciembre,12996220,73.39643195,14013.27323
2008,Marzo,13203590,76.0439095,14302.12835
2008,Junio,13437956,78.59852182,15155.48233
2008,Septiembre,13689235,79.7475733,15931.43916
2008,Diciembre,13919627,79.87773423,17177.26122
2009,Marzo,13721197,81.69966176,16167.16423
2009,Junio,13663730,82.16543914,16361.67509
2009,Septiembre,13579505,82.37264746,16616.22303
2009,Diciembre,13593300,83.32185736,18588.45892
2010,Marzo,13729815,84.43766194,18830.61218
2010,Junio,13946256,84.88088308,19564.23432
2010,Septiembre,14175891,85.20630656,20344.65837
2010,Diciembre,14629093,86.094838,22189.36686
2011,Marzo,14790364,87.45420123,22726.74011
2011,Junio,15176741,88.51152591,23706.24679
2011,Septiembre,15409103,89.80269119,24848.70104
2011,Diciembre,15548856,90.7520369,26556.97729
2012,Marzo,15798590,92.80495728,27546.83789
2012,Junio,16072842,92.93364467,28220.22695
2012,Septiembre,16196959,94.49375908,28442.82849
2012,Diciembre,16294042,94.53086969,30905.50475
2013,Marzo,16458713,95.59892521,30671.25609
2013,Junio,16802240,95.42300892,31238.14385
2013,Septiembre,17131619,96.11354569,32164.90063
2013,Diciembre,17153556,97.08352648,35051.1362
2014,Marzo,17096076,98.57325804,34878.80341
2014,Junio,17494063,98.92669847,35951.8843
2014,Septiembre,17736022,100.1436177,37318.66235
2014,Diciembre,17779201,100.6439262,40104.36703
2015,Marzo,17816050,102.2799475,39560.87942
2015,Junio,17537769,103.7399303,39315.73774
2015,Septiembre,17492225,103.9301928,39004.3676
2015,Diciembre,17328633,104.0458168,39650.60312
2016,Marzo,17204627,104.653708,40394.84527
2016,Junio,17328097,105.3847612,41331.58834
2016,Septiembre,17310908,105.2834973,43257.44934
2016,Diciembre,17470434,105.210913,46188.2709
2017,Marzo,17497935,105.6573267,47075.9318
2017,Junio,17685968,105.5527373,47586.68834
2017,Septiembre,17819405,105.2555845,47658.54478
2017,Diciembre,17952383,105.0039626,50790.78172
2018,Marzo,17816926,105.4322959,51152.9009
2018,Junio,17939683,104.8054138,51389.52286
2018,Septiembre,18081724,105.4953249,51720.47003
2018,Diciembre,18094508,105.283452,53664.74239
2019,Marzo,17920543,105.3077605,53747.05643
