FechaCorte,NumeroOPeracion,TiempoEvento,Censura,B6_RangoAtraso_SectorReal,B6_RangoAtraso_SectorReal_1,B3_UGCorte_Ciudad,B3_UGCorte_Ciudad_1,B3_OrigenOperacion,B3_OrigenOperacion_1,B6_CantidadOperacionesCuotasSinBDASinTar_SectorReal,B6_CantidadOperacionesCuotasSinBDASinTar_SectorReal_1,B6_CantidadOperacionesCuotasSinBDASinTar_InstFinRegCoop,B6_CantidadOperacionesCuotasSinBDASinTar_InstFinRegCoop_1,B1_DiaAtraso_H0,B3_AtrMax,BloqueoCentral,Castigo,Dacion,Siniestro,FondoGarantia,VentaCartera,IndicadorMaloEvidente,B3_NumCuoVen,B3_SaldoNoDevenga,B3_CanXXIncValCuo_h_9,B3_NumCuoPagPunt_h_3,B3_CanXXIncValCuo_h_6,B3_CanXXIncValCuo_h_12,B5_Var4XX_TDC_h_6,B5_Var14XX_TDC_h_3,B5_Var5_TDC,B5_Var4XX_TDC_h_3,B5_Var13XX_TDC_h_6,B4_Pro3SalAtrXX_h_12,B4_Sal3AtrMaxXX_h_12,VOLUMEN_CREDITO_BS_T_1,VOLUMEN_CREDITO_SF_T_1,VOLUMEN_CREDITO_SF_BS_T_1,MOROSIDAD_BS_T_1,MOROSIDAD_SF_T_1,MOROSIDAD_SF_BS_T_1,INFLACION_PORC_T_1,VARIACION_PORC_T_1,PERDIDA_MICRO_T_1,PETROLEO_WTI_5_T_1,PETROLEO_BRENT_6_T_1,CRUDO_URALS_7_T_1,IDEAC_T_2,EXPORTACIONES_T_2,IMPORTACIONES_T_2,ICC_T_2,RESERVAS_INTERNACIONALES_T_2,VAR_PIB_T_2,VAR_PIB_T_3,Indicador_BM_H0_H15,B7_TipViv,B4_SalAtr0ProCre,B4_AtrMaxProCre,B2_TimIniCon,B2_NumPer,b3_timinicon,b3_Numper,B3_Saldo/B3_MonBruTot,B7_Ventas_Compras,B7_Liquidez,Liquidez1,B7_Profesion,Profesion1,Vivienda1,Prob_Default,z,prob,score,DECIL,GRUPOS
30-11-15,5.9101E+12,15,1,,1,RIOBAMBA,2,PAGO OPERACIÓN,2,0,1,1,2,115,115,1,0,0,0,0,0,1,29,"470,41",5,0,4,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,329722317,1498576714,1168854397,"0,069324854","0,080223537","0,080223537","3,477,391,854","-0,090481589","0,051802902","46,26","48,56","47,49","1,633,897,109","1,371,265,239","1,649,879,015","39,5","3,511,564,106","-0,189707829","-0,189707829",1,Propia no hipotecada,NULL,NULL,58,36,29,30,"0,261457167908253",1.555555,300,2,NULL,3,1,NULL,"0,654466173000001","0,341983802377092","341,983,802,377,092",A. DECIL1,NULL
30-11-15,5.9101E+12,15,1,,1,CAYAMBE,4,PAGO OPERACIÓN,2,0,1,0,1,120,120,1,0,0,0,0,0,1,27,"2937,14",5,0,3,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,329722317,1498576714,1168854397,"0,069324854","0,080223537","0,080223537","3,477,391,854","-0,090481589","0,051802902","46,26","48,56","47,49","1,633,897,109","1,371,265,239","1,649,879,015","39,5","3,511,564,106","-0,189707829","-0,189707829",1,Arrendada,NULL,NULL,40,18,29,36,"0,462030951163968",1.817307,855.2,4,Ninguna,3,1,NULL,"0,657316642","0,341342648048967","341,342,648,048,967",A. DECIL1,NULL
31-07-15,5.91011E+12,9,0,,1,LOJA,3,NUEVO CAMPAÑA,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"310244855,3",1584499512,1274254656,"0,054696939","0,063250753","0,063250753","4,865,452,745","0,407548975","0,059769489","59,81","61,69","62,52","1,498,676,299","1,767,384,741","1,664,482,867","40,4","4,567,459,056","-1,240,407,314","-1,240,407,314",0,Vive con familiares,NULL,NULL,NULL,NULL,9,18,0,NULL,NULL,5,Ninguna,3,2,NULL,"-15,935,498","0,831114949070379","831,114,949,070,379",D. DECIL4,NULL
30-11-15,5.9101E+12,3,0,d. 060 A 090,2,QUITO,4,PAGO OPERACIÓN,2,2,3,0,1,3,10,0,0,0,0,0,0,0,26,0,4,0,3,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,329722317,1498576714,1168854397,"0,069324854","0,080223537","0,080223537","3,477,391,854","-0,090481589","0,051802902","46,26","48,56","47,49","1,633,897,109","1,371,265,239","1,649,879,015","39,5","3,511,564,106","-0,189707829","-0,189707829",0,Propia hipotecada,NULL,NULL,58,48,28,60,"111,797,999,316,384",70,600.3,4,NULL,3,1,NULL,"-35,456,908","0,971960223774731","971,960,223,774,731",I. DECIL9,NULL
30-11-15,5.9101E+12,1,0,a. AL DIA,1,DURAN,4,PAGO OPERACIÓN,2,2,3,1,2,26,26,1,0,0,0,0,0,1,24,0,3,0,2,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,329722317,1498576714,1168854397,"0,069324854","0,080223537","0,080223537","3,477,391,854","-0,090481589","0,051802902","46,26","48,56","47,49","1,633,897,109","1,371,265,239","1,649,879,015","39,5","3,511,564,106","-0,189707829","-0,189707829",0,Arrendada,NULL,NULL,41,24,29,28,"0,0445554888290134",3.891891,211.75,1,NULL,3,1,NULL,"0,5556074","0,364564430518138","364,564,430,518,138",A. DECIL1,NULL
31-07-15,5.91011E+12,7,0,a. AL DIA,1,MANTA,1,NUEVO CAMPAÑA,3,1,2,1,2,0,11,0,0,0,0,0,0,0,7,0,1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"310244855,3",1584499512,1274254656,"0,054696939","0,063250753","0,063250753","4,865,452,745","0,407548975","0,059769489","59,81","61,69","62,52","1,498,676,299","1,767,384,741","1,664,482,867","40,4","4,567,459,056","-1,240,407,314","-1,240,407,314",0,Propia no hipotecada,NULL,NULL,NULL,NULL,9,15,"0,572931374734739",NULL,NULL,5,NULL,3,1,NULL,"-0,8544498","0,701499755693523","701,499,755,693,523",C. DECIL3,NULL
31-07-15,5.91011E+12,13,0,,1,PORTOVIEJO,4,NUEVO CAMPAÑA,3,0,1,1,2,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"310244855,3",1584499512,1274254656,"0,054696939","0,063250753","0,063250753","4,865,452,745","0,407548975","0,059769489","59,81","61,69","62,52","1,498,676,299","1,767,384,741","1,664,482,867","40,4","4,567,459,056","-1,240,407,314","-1,240,407,314",0,Propia no hipotecada,NULL,NULL,NULL,NULL,9,18,"0,760385389236973",NULL,NULL,5,Ciencias Administrativas y Económicas,2,1,NULL,"-14,486,498","0,80979054991339","80,979,054,991,339",D. DECIL4,NULL
30-11-15,5.9101E+12,9,0,a. AL DIA,1,DAULE,1,PAGO OPERACIÓN,2,2,3,1,2,4,16,0,0,0,0,0,0,0,28,"1697,65",2,0,1,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,329722317,1498576714,1168854397,"0,069324854","0,080223537","0,080223537","3,477,391,854","-0,090481589","0,051802902","46,26","48,56","47,49","1,633,897,109","1,371,265,239","1,649,879,015","39,5","3,511,564,106","-0,189707829","-0,189707829",0,Propia no hipotecada,NULL,NULL,42,30,29,36,"0,325130479136219",1.322006,351.06,2,Ciencias Administrativas y Económicas,2,1,NULL,"-109,410,415","0,749153771704284","749,153,771,704,284",C. DECIL3,NULL
30-11-15,5.9101E+12,2,0,,1,AMBATO,3,NUEVO,2,0,1,0,1,2,5,0,0,0,0,0,0,0,17,0,2,1,2,3,0,0,0,0,0,NULL,NULL,329722317,1498576714,1168854397,"0,069324854","0,080223537","0,080223537","3,477,391,854","-0,090481589","0,051802902","46,26","48,56","47,49","1,633,897,109","1,371,265,239","1,649,879,015","39,5","3,511,564,106","-0,189707829","-0,189707829",0,Propia no hipotecada,NULL,NULL,NULL,NULL,29,30,0,NULL,NULL,5,Ninguna,3,1,NULL,"0,7157092","0,328338545199121","328,338,545,199,121",A. DECIL1,NULL
31-07-15,5.91011E+12,4,0,,1,LOJA,3,NUEVO CAMPAÑA,3,0,1,0,1,8,12,0,0,0,0,0,0,0,7,0,2,2,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"310244855,3",1584499512,1274254656,"0,054696939","0,063250753","0,063250753","4,865,452,745","0,407548975","0,059769489","59,81","61,69","62,52","1,498,676,299","1,767,384,741","1,664,482,867","40,4","4,567,459,056","-1,240,407,314","-1,240,407,314",0,Propia no hipotecada,NULL,NULL,NULL,NULL,9,24,"0,837131134987869",1.424698,323,2,NULL,3,1,NULL,"-30,596,498","0,955197312387597","955,197,312,387,597",H. DECIL8,NULL
