"","area","prov","sexo","f1_s2_8_1","region","etnia","gedad_meses","f1_s1_1","f1_s1_2","f1_s1_3","f1_s1_4","f1_s1_5","f1_s1_6_1","f1_s1_6_2","f1_s1_6_3","f1_s1_9","f1_s1_11","f1_s1_12","f1_s1_13","f1_s1_21","f1_s1_24","f1_s1_25","f1_s1_42","f1_s1_43","f1_s1_44_1","f1_s1_44_2","f1_s1_44_3","f1_s1_44_4","f1_s1_44_5","f1_s1_44_6","f1_s1_44_7","f1_s1_44_10","f1_s6_1_1","f1_s6_1_2","f1_s6_1_3","dcronica"
"1826","Rural","Pr_04","Mujer","Ninguno","Costa","1","2","Lastrado","Rancho","Zinc","Tabla","Madera","Regular","Regular","Regular","Gas","Municipio","Compartido","PozoSeptico","Tuberia","TuberiaFueraDentro","Tuberia","NO","NO","NO","NO","NO","NO","NO","NO","SI","SI","SI","NO","SI","DCI_0"
"14013","Rural","Pr_16","Hombre","Ninguno","Oriente","1","2","Sendero","Mediagua","Zinc","Tabla","Madera","Regular","Regular","Regular","Lenia","Queman","NoTiene","NoTiene","Otro","Otro","Lluvia","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","SI","SI","DCI_0"
"17952","Rural","Pr_22","Mujer","Ninguno","Oriente","3","7","Carretera","Mediagua","Zinc","Duela","Madera","Regular","Bueno","Regular","Gas","Municipio","NoTiene","PozoSeptico","RedPublica","TuberiaFueraDentro","Red","NO","NO","NO","NO","NO","NO","NO","SI","SI","NO","SI","SI","SI","DCI_0"
"5446","Urbano","Pr_08","Hombre","Ninguno","Sierra","2","6","Carretera","Casa","Zinc","Cemento","Hormigon","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","NO","NO","NO","SI","NO","NO","NO","SI","NO","NO","NO","NO","DCI_0"
"14197","Urbano","Pr_17","Mujer","Ninguno","Costa","3","3","Carretera","Depar","Hormigon","Tabla","Hormigon","Malo","Regular","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","SI","SI","NO","SI","SI","NO","SI","SI","NO","SI","NO","NO","DCI_0"
"2339","Rural","Pr_05","Mujer","Ninguno","Costa","3","8","Lastrado","Casa","Hormigon","Cemento","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","Tuberia","DentroVivienda","Tuberia","NO","SI","SI","SI","NO","SI","NO","SI","SI","NO","SI","SI","NO","DCI_0"
"17852","Rural","Pr_22","Mujer","Ninguno","Oriente","1","1","Lastrado","Choza","Palma","Tierra","Adobe","Regular","Regular","Malo","Lenia","Queman","NoTiene","NoTiene","Pozo","TuberiaFueraDentro","PozoEntubado","NO","NO","NO","NO","NO","NO","NO","SI","SI","NO","SI","SI","SI","DCI_0"
"10442","Urbano","Pr_12","Hombre","IESSGen","Sierra","3","1","Carretera","Casa","Zinc","Tabla","Hormigon","Regular","Regular","Bueno","Gas","Municipio","ExclusivoHogar","PozoSeptico","RedPublica","DentroVivienda","Red","NO","SI","SI","NO","SI","SI","NO","SI","SI","NO","NO","NO","NO","DCI_0"
"17977","Rural","Pr_22","Hombre","Ninguno","Oriente","1","2","Carretera","Mediagua","Zinc","Tabla","Madera","Regular","Regular","Regular","Gas","Calle","NoTiene","NoTiene","Rio","Otro","ManatialProtegida","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","DCI_1"
"6436","Urbano","Pr_09","Mujer","IESSGen","Sierra","3","8","Carretera","Casa","Zinc","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","SI","NO","SI","SI","SI","SI","NO","SI","SI","SI","NO","NO","NO","DCI_0"
