Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201601,January 2016,2,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,02,Meat and edible meat offal,0,,,,,,,,306839,,,0
HS,2016,201601,January 2016,2,0,1,Imports,218,Ecuador,,152,Chile,,,,,,,,,02,Meat and edible meat offal,0,,,,,,,,225538,,,0
HS,2016,201601,January 2016,2,0,1,Imports,218,Ecuador,,842,United States of America,,,,,,,,,02,Meat and edible meat offal,0,,,,,,,,81302,,,0
HS,2016,201603,March 2016,2,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,02,Meat and edible meat offal,0,,,,,,,,461992,,,0
HS,2016,201603,March 2016,2,0,1,Imports,218,Ecuador,,152,Chile,,,,,,,,,02,Meat and edible meat offal,0,,,,,,,,217317,,,0
HS,2016,201603,March 2016,2,0,1,Imports,218,Ecuador,,724,Spain,,,,,,,,,02,Meat and edible meat offal,0,,,,,,,,121447,,,0
HS,2016,201603,March 2016,2,0,1,Imports,218,Ecuador,,842,United States of America,,,,,,,,,02,Meat and edible meat offal,0,,,,,,,,123228,,,0
HS,2016,201606,June 2016,2,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,02,Meat and edible meat offal,0,,,,,,,,483482,,,0
HS,2016,201606,June 2016,2,0,1,Imports,218,Ecuador,,152,Chile,,,,,,,,,02,Meat and edible meat offal,0,,,,,,,,415842,,,0
HS,2016,201606,June 2016,2,0,1,Imports,218,Ecuador,,842,United States of America,,,,,,,,,02,Meat and edible meat offal,0,,,,,,,,67640,,,0
HS,2016,201607,July 2016,2,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,02,Meat and edible meat offal,0,,,,,,,,301586,,,0
HS,2016,201607,July 2016,2,0,1,Imports,218,Ecuador,,152,Chile,,,,,,,,,02,Meat and edible meat offal,0,,,,,,,,265299,,,0
HS,2016,201607,July 2016,2,0,1,Imports,218,Ecuador,,842,United States of America,,,,,,,,,02,Meat and edible meat offal,0,,,,,,,,13775,,,0
HS,2016,201607,July 2016,2,0,1,Imports,218,Ecuador,,858,Uruguay,,,,,,,,,02,Meat and edible meat offal,0,,,,,,,,22511,,,0
HS,2016,201608,August 2016,2,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,02,Meat and edible meat offal,0,,,,,,,,297245,,,0
HS,2016,201608,August 2016,2,0,1,Imports,218,Ecuador,,152,Chile,,,,,,,,,02,Meat and edible meat offal,0,,,,,,,,210754,,,0
HS,2016,201608,August 2016,2,0,1,Imports,218,Ecuador,,842,United States of America,,,,,,,,,02,Meat and edible meat offal,0,,,,,,,,63153,,,0
HS,2016,201608,August 2016,2,0,1,Imports,218,Ecuador,,858,Uruguay,,,,,,,,,02,Meat and edible meat offal,0,,,,,,,,23338,,,0
HS,2016,201609,September 2016,2,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,02,Meat and edible meat offal,0,,,,,,,,308866,,,0
HS,2016,201609,September 2016,2,0,1,Imports,218,Ecuador,,152,Chile,,,,,,,,,02,Meat and edible meat offal,0,,,,,,,,64888,,,0
HS,2016,201609,September 2016,2,0,1,Imports,218,Ecuador,,600,Paraguay,,,,,,,,,02,Meat and edible meat offal,0,,,,,,,,12724,,,0
HS,2016,201609,September 2016,2,0,1,Imports,218,Ecuador,,842,United States of America,,,,,,,,,02,Meat and edible meat offal,0,,,,,,,,206857,,,0
HS,2016,201609,September 2016,2,0,1,Imports,218,Ecuador,,858,Uruguay,,,,,,,,,02,Meat and edible meat offal,0,,,,,,,,24398,,,0
HS,2016,201610,October 2016,2,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,02,Meat and edible meat offal,0,,,,,,,,546186,,,0
HS,2016,201610,October 2016,2,0,1,Imports,218,Ecuador,,152,Chile,,,,,,,,,02,Meat and edible meat offal,0,,,,,,,,488493,,,0
HS,2016,201610,October 2016,2,0,1,Imports,218,Ecuador,,842,United States of America,,,,,,,,,02,Meat and edible meat offal,0,,,,,,,,18665,,,0
HS,2016,201610,October 2016,2,0,1,Imports,218,Ecuador,,858,Uruguay,,,,,,,,,02,Meat and edible meat offal,0,,,,,,,,39028,,,0
HS,2016,201611,November 2016,2,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,02,Meat and edible meat offal,0,,,,,,,,585311,,,0
HS,2016,201611,November 2016,2,0,1,Imports,218,Ecuador,,152,Chile,,,,,,,,,02,Meat and edible meat offal,0,,,,,,,,412582,,,0
HS,2016,201611,November 2016,2,0,1,Imports,218,Ecuador,,842,United States of America,,,,,,,,,02,Meat and edible meat offal,0,,,,,,,,167209,,,0
HS,2016,201612,December 2016,2,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,02,Meat and edible meat offal,0,,,,,,,,1138477,,,0
HS,2016,201612,December 2016,2,0,1,Imports,218,Ecuador,,152,Chile,,,,,,,,,02,Meat and edible meat offal,0,,,,,,,,869821,,,0
HS,2016,201612,December 2016,2,0,1,Imports,218,Ecuador,,724,Spain,,,,,,,,,02,Meat and edible meat offal,0,,,,,,,,104324,,,0
HS,2016,201612,December 2016,2,0,1,Imports,218,Ecuador,,842,United States of America,,,,,,,,,02,Meat and edible meat offal,0,,,,,,,,142745,,,0
HS,2016,201612,December 2016,2,0,1,Imports,218,Ecuador,,858,Uruguay,,,,,,,,,02,Meat and edible meat offal,0,,,,,,,,21586,,,0
HS,2016,201601,January 2016,2,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,6197642,,,0
HS,2016,201601,January 2016,2,0,1,Imports,218,Ecuador,,152,Chile,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,209035,,,0
HS,2016,201601,January 2016,2,0,1,Imports,218,Ecuador,,296,Kiribati,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,257463,,,0
HS,2016,201601,January 2016,2,0,1,Imports,218,Ecuador,,410,Rep. of Korea,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,433617,,,0
HS,2016,201601,January 2016,2,0,1,Imports,218,Ecuador,,484,Mexico,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,13183,,,0
HS,2016,201601,January 2016,2,0,1,Imports,218,Ecuador,,591,Panama,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,277479,,,0
HS,2016,201601,January 2016,2,0,1,Imports,218,Ecuador,,604,Peru,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,1196066,,,0
HS,2016,201601,January 2016,2,0,1,Imports,218,Ecuador,,724,Spain,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,50097,,,0
HS,2016,201601,January 2016,2,0,1,Imports,218,Ecuador,,842,United States of America,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,170129,,,0
HS,2016,201601,January 2016,2,0,1,Imports,218,Ecuador,,899,"Areas, nes",,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,3590574,,,0
HS,2016,201602,February 2016,2,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,5632838,,,0
HS,2016,201602,February 2016,2,0,1,Imports,218,Ecuador,,124,Canada,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,3239,,,0
HS,2016,201602,February 2016,2,0,1,Imports,218,Ecuador,,152,Chile,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,124154,,,0
HS,2016,201602,February 2016,2,0,1,Imports,218,Ecuador,,296,Kiribati,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,22369,,,0
HS,2016,201602,February 2016,2,0,1,Imports,218,Ecuador,,410,Rep. of Korea,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,61311,,,0
HS,2016,201602,February 2016,2,0,1,Imports,218,Ecuador,,484,Mexico,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,919,,,0
HS,2016,201602,February 2016,2,0,1,Imports,218,Ecuador,,548,Vanuatu,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,20,,,0
HS,2016,201602,February 2016,2,0,1,Imports,218,Ecuador,,591,Panama,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,8268,,,0
