COUNTRY;BMACLC;BMAC$;EXCH;PPP;LOCALC
United States;2.54;2.54;-99999;-99999;-99999
Argentina;2.5;2.5;1;0.98;-40
Australia;3;1.52;1.98;1.18;-35
Brazil;3.6;1.64;2.19;1.42;-31
Britain;1.99;2.85;1.43;1.28;12
Canada;3.33;2.14;1.56;1.31;-16
Chile;1260;2.1;601;496;-17
China;9.9;1.2;8.28;3.9;-53
Czech Republic;56;1.43;39.7;22;-44
Denmark;24.75;2.93;8.46;9.74;15
France;18.5;2.49;7.44;7.28;-2
Germany;5.1;2.3;2.22;2.01;-9
Italy;4300;1.96;2195;1693;-23
Spain;395;2.09;189;156;-18
Hong Kong;10.7;1.37;7.8;4.21;-46
Hungary;399;1.32;303;157;-48
Indonesia;14700;1.35;10855;5787;-47
Japan;294;2.38;124;116;-6
Malaysia;4.52;1.19;3.8;1.78;-53
Mexico;21.9;2.36;9.29;8.62;-7
New Zealand;3.6;1.46;2.47;1.42;-43
Philippines;59;1.17;50.3;23.2;-54
Poland;5.9;1.46;4.03;2.32;-42
Russia;35;1.21;28.9;13.8;-52
Singapore;3.3;1.82;1.81;1.3;-28
South Africa;9.7;1.19;8.13;3.82;-53
South Korea;3000;2.27;1325;1181;-11
Sweden;24;2.33;10.28;9.45;-8
Switzerland;6.3;3.65;1.73;2.48;44
Taiwan;70;2.13;32.9;27.6;-16
Thailand;55;1.21;45.5;21.7;-52
