Country;Cellphone;PCs;Pcapincome
Argentina;17.76;8.2;11410
Australia;71.95;60.18;28780
Belgium;79.28;31.81;28920
Brazil;26.36;7.48;7510
Bulgaria;46.64;5.19;7400
Canada;41.9;48.7;30040
China;21.48;2.76;4980
Colombia;14.13;4.93;6410
CzechRep;96.46;17.74;15600
Ecuador;18.92;3.24;3940
Egypt;8.45;2.91;3940
France;69.59;34.71;27640
Germany;78.52;48.47;27610
Greece;90.23;8.17;19900
Guatemala;13.15;1.44;4090
Hungary;76.88;10.84;13840
India;2.47;0.72;2880
Indonesia;8.74;1.19;3210
Italy;101.76;23.07;26830
Japan;67.9;38.22;28450
Mexico;29.47;8.3;8980
Netherlands;76.76;46.66;28560
Pakistan;1.75;0.42;2040
Poland;45.09;14.2;11210
Russia;24.93;8.87;8950
SaudiaArabia;32.11;13.67;13230
SouthAfrica;36.36;7.26;10130
Spain;91.61;19.6;22150
Sweden;98.05;62.13;26710
Switzerland;84.34;70.87;32220
Thailand;39.42;3.98;7450
UK;91.17;40.57;27690
USA;54.58;65.98;37750
Venezuela;27.3;6.09;4750
