Country;Cellphone;PCs;Pcapincome;ln Cellphone;ln PC;ln Income
Argentina;17.76;8.2;11410;2.876948738;2.104134154;9.342245443
Australia;71.95;60.18;28780;4.275971433;4.097340071;10.26743598
Belgium;79.28;31.81;28920;4.37298589;3.459780706;10.27228868
Brazil;26.36;7.48;7510;3.27184771;2.012232792;8.923990745
Bulgaria;46.64;5.19;75.4;3.842458542;1.646733697;4.322807275
Canada;41.9;48.7;30040;3.735285827;3.88567903;10.31028511
China;21.48;2.76;4980;3.06712227;1.01523068;8.51318517
Colombia;14.13;4.93;6410;2.648300197;1.595338988;8.76561455
CzechRep;96.46;17.74;15600;4.569128415;2.875821977;9.655026193
Ecuador;18.92;3.24;3940;2.940219564;1.17557333;8.278936002
Egypt;8.45;2.91;3940;2.134166441;1.068153081;8.278936002
France;69.59;34.71;27640;4.242620879;3.54702783;10.22701928
Germany;78.52;48.47;27610;4.363353369;3.88094505;10.2259333
Greece;90.23;8.17;19900;4.502361966;2.100468909;9.898475011
Guatemala;13.15;1.44;4090;2.576421759;0.364643114;8.316300249
Hungary;76.88;10.84;13840;4.342245765;2.383242996;9.535318229
India;2.47;0.72;2880;0.904218151;-0.328504067;7.965545573
Indonesia;8.74;1.19;3210;2.16791019;0.173953307;8.074026216
Italy;101.76;23.07;26830;4.6226171;3.138533072;10.19727594
Japan;67.9;38.22;28450;4.218036035;3.643358939;10.25590344
Mexico;29.47;8.3;8980;3.383372797;2.116255515;9.102755161
Netherlands;76.76;46.66;28560;4.340683671;3.842887267;10.25976242
Pakistan;1.75;0.42;2040;0.559615788;-0.867500568;7.620705087
Poland;45.09;14.2;11210;3.808660492;2.653241965;9.324561516
Russia;24.93;8.87;8950;3.216071898;2.182674796;9.099408811
SaudiaArabia;32.11;13.67;13230;3.469167508;2.615203651;9.490242257
SouthAfrica;36.36;7.26;10130;3.593469269;1.982379829;9.223256597
Spain;91.61;19.6;22150;4.517540436;2.975529566;10.00559278
Sweden;98.05;62.13;26710;4.585477553;4.129228964;10.19279331
Switzerland;84.34;70.87;32220;4.434856248;4.260847213;10.38034266
Thailand;39.42;3.98;7450;3.674273302;1.381281819;8.915969311
UK;91.17;40.57;27690;4.512725896;3.703028877;10.22882662
USA;54.58;65.98;37750;3.999667515;4.189351666;10.53874075
Venezuela;27.3;6.09;4750;3.306886702;1.806648082;8.465899897
