IPC,Mes,Year
100,ENE,05
100.18,FEB,05
100.36,MAR,05
101.76,ABR,05
101.83,MAY,05
101.54,JUN,05
101.32,JUL,05
101.06,AGO,05
100.93,SEP,05
101.25,OCT,05
101.28,NOV,05
101.58,DIC,05
102.16,ENE,06
102.55,FEB,06
103.43,MAR,06
104.05,ABR,06
103.80,MAY,06
103.33,JUN,06
103.51,JUL,06
103.53,AGO,06
103.32,SEP,06
103.93,OCT,06
104.28,NOV,06
103.86,DIC,06
104.45,ENE,07
104.70,FEB,07
104.70,MAR,07
104.76,ABR,07
104.88,MAY,07
105.00,JUN,07
105.12,JUL,07
104.79,AGO,07
105.47,SEP,07
105.69,OCT,07
105.99,NOV,07
106.58,DIC,07
107.72,ENE,08
108.70,FEB,08
110.08,MAR,08
111.40,ABR,08
112.53,MAY,08
113.60,JUN,08
113.68,JUL,08
114.11,AGO,08
114.51,SEP,08
114.47,OCT,08
113.96,NOV,08
114.48,DIC,08
114.90,ENE,09
115.52,FEB,09
116.75,MAR,09
117.00,ABR,09
117.22,MAY,09
117.33,JUN,09
117.05,JUL,09
116.11,AGO,09
116.28,SEP,09
116.90,OCT,09
117.04,NOV,09
117.16,DIC,09
118.30,ENE,10
118.85,FEB,10
118.71,MAR,10
119.41,ABR,10
119.62,MAY,10
119.72,JUN,10
119.56,JUL,10
119.71,AGO,10
119.79,SEP,10
120.34,OCT,10
120.78,NOV,10
121.17,DIC,10
122.04,ENE,11
122.70,FEB,11
122.64,MAR,11
124.16,ABR,11
124.13,MAY,11
124.74,JUN,11
124.54,JUL,11
124.75,AGO,11
125.35,SEP,11
125.19,OCT,11
125.86,NOV,11
125.77,DIC,11
125.79,ENE,12
126.71,FEB,12
127.90,MAR,12
128.43,ABR,12
128.38,MAY,12
128.65,JUN,12
129.03,JUL,12
129.04,AGO,12
129.75,SEP,12
129.57,OCT,12
129.65,NOV,12
129.63,DIC,12
130.22,ENE,13
