pais,iso3,anio,emisiones_ghg_tco2e_pc,pib_per_capita_usd,poblacion_urbana_pct,area_bosque_pct,densidad_poblacion_km2,acceso_electricidad_pct
Argentina,ARG,2016,8.409569,12699.962314,91.585682,10.600397,16.041391,99.900000
Argentina,ARG,2017,8.415121,14532.500931,91.677603,10.559837,16.183380,100.000000
Argentina,ARG,2018,8.341988,11752.799892,91.767994,10.520373,16.317114,100.000000
Argentina,ARG,2019,8.218224,9955.974787,91.856784,10.480179,16.433526,100.000000
Argentina,ARG,2020,7.836754,8535.599380,91.943903,10.440715,16.513367,100.000000
Argentina,ARG,2021,8.194648,10738.017922,92.029278,10.400886,16.557331,100.000000
Argentina,ARG,2022,8.446446,13962.189409,92.112838,10.361057,16.592272,100.000000
Argentina,ARG,2023,8.293539,14261.846567,92.194513,10.321295,16.639956,100.000000
Bolivia,BOL,2016,4.482183,3035.873477,68.744633,47.771328,10.320336,91.800000
Bolivia,BOL,2017,4.475518,4048.401197,69.083802,47.532743,10.472249,91.800000
Bolivia,BOL,2018,4.472745,4206.855294,69.413388,47.312139,10.623436,92.800000
Bolivia,BOL,2019,4.489244,4203.154929,69.733499,47.109536,10.773919,95.100000
Bolivia,BOL,2020,4.167388,3580.967618,70.044264,46.924915,10.907689,97.200000
Bolivia,BOL,2021,4.472145,4010.760537,70.345041,46.728305,11.019441,98.600000
Bolivia,BOL,2022,4.589823,4219.461137,70.635260,46.539688,11.148485,99.900000
Bolivia,BOL,2023,4.672661,4274.708205,70.915141,46.345743,11.302648,99.800000
Brazil,BRA,2016,5.945866,8836.286527,85.948705,60.071021,24.313796,99.700000
Brazil,BRA,2017,5.956123,10080.509282,86.198290,59.832929,24.491507,99.800000
Brazil,BRA,2018,5.802422,9300.661649,86.442072,59.708380,24.659465,99.700000
Brazil,BRA,2019,5.785849,9029.833267,86.679799,59.558586,24.820769,99.800000
Brazil,BRA,2020,5.731837,7074.193783,86.911219,59.417478,24.964985,99.700000
Brazil,BRA,2021,6.094895,7972.536650,87.136078,59.270484,25.071403,99.500000
Brazil,BRA,2022,6.079426,9281.333344,87.349556,59.127509,25.161868,100.000000
Brazil,BRA,2023,6.143631,10377.589279,87.615971,58.981873,25.261688,99.800000
Chile,CHL,2016,6.674310,13649.852045,87.630629,23.870842,24.609385,100.000000
Chile,CHL,2017,6.713728,14879.908623,87.800030,24.036452,25.002289,99.700000
Chile,CHL,2018,6.710709,15659.480868,87.962049,24.202062,25.452685,100.000000
Chile,CHL,2019,6.943404,14496.934564,88.127369,24.349797,25.844004,100.000000
Chile,CHL,2020,6.512754,13117.993023,88.295349,24.515245,26.076735,100.000000
Chile,CHL,2021,6.538226,16216.184086,88.466051,24.680720,26.192118,100.000000
Chile,CHL,2022,6.624455,15399.104472,88.639535,24.846177,26.322298,100.000000
Chile,CHL,2023,5.943251,17081.518074,88.815862,25.011646,26.464725,100.000000
Colombia,COL,2016,4.021556,5959.842504,77.203627,54.041902,42.755757,98.400000
Colombia,COL,2017,3.887837,6479.532313,77.224519,53.843867,43.380872,98.500000
Colombia,COL,2018,3.995521,6816.968183,77.280482,53.664245,44.186088,98.500000
Colombia,COL,2019,4.029281,6472.545449,77.459553,53.484633,44.982411,99.400000
Colombia,COL,2020,3.943226,5339.687114,77.638253,53.305011,45.633165,99.700000
Colombia,COL,2021,4.155235,6222.621644,77.833957,53.125396,46.136253,100.000000
Colombia,COL,2022,4.054293,6680.445069,78.046463,52.945776,46.631766,100.000000
Colombia,COL,2023,4.118346,7012.491691,78.275572,52.766160,47.157415,98.700000
Costa Rica,CRI,2016,3.117301,12091.030156,75.542309,58.155112,95.319193,99.500000
Costa Rica,CRI,2017,3.158628,12317.090278,76.053925,58.475715,96.223600,99.600000
Costa Rica,CRI,2018,3.226883,12620.020732,76.554431,58.796122,97.097885,99.700000
Costa Rica,CRI,2019,3.170863,12951.858842,77.043586,59.116725,97.915257,99.700000
Costa Rica,CRI,2020,2.849978,12475.685208,77.521154,59.437329,98.596161,99.900000
Costa Rica,CRI,2021,3.048980,12962.271608,77.986894,59.757932,99.098864,100.000000
Costa Rica,CRI,2022,3.086526,13971.764999,78.440569,60.078535,99.525362,100.000000
Costa Rica,CRI,2023,3.276196,17140.771430,78.881939,60.399138,99.990697,100.000000
Cuba,CUB,2016,3.918189,8110.558743,76.911583,31.151480,108.281546,99.200000
Cuba,CUB,2017,3.832722,8610.608296,76.960327,31.233141,108.360588,99.400000
Cuba,CUB,2018,3.870361,8911.462060,77.015633,31.233141,108.161060,99.600000
Cuba,CUB,2019,3.481231,9232.261159,77.072823,31.233141,107.927225,99.800000
Cuba,CUB,2020,3.085443,9605.279146,77.108032,31.233141,107.672004,99.900000
Cuba,CUB,2021,3.393430,,77.098770,31.233141,107.149981,100.000000
Cuba,CUB,2022,3.164337,,77.105606,31.233141,106.549326,100.000000
Cuba,CUB,2023,3.185129,,77.125987,31.233141,106.165039,100.000000
Dominican Republic,DOM,2016,3.676762,7160.442010,74.050678,43.712275,218.410888,98.900000
