Year;Month;DepositosVista;M1;Cuasidinero;M2
2010;Enero;4872.22;8933.606435;9424.72;18358.32644
2010;Febrero;5008.04;9039.951152;9455.01;18494.96115
2010;Marzo;5250.95;9256.072183;9574.54;18830.61218
2010;Abril;5120.94;9228.352008;9891.83;19120.18201
2010;Mayo;5215.31;9372.402726;9971.79;19344.19273
2010;Junio;5206.74;9350.594319;10213.64;19564.23432
2010;Julio;5278.79;9517.872873;10438.94;19956.81287
2010;Agosto;5478.39;9777.180658;10524.03;20301.21066
2010;Septiembre;5522.67;9795.858371;10548.8;20344.65837
2010;Octubre;5570.34;9976.828132;10689.42;20666.24813
2010;Noviembre;5852.3;10156.67134;10843.49;21000.16134
2010;Diciembre;6148.33;10776.14686;11413.22;22189.36686
2011;Enero;6022.11;10442.45947;11236.35;21678.80947
2011;Febrero;6130.64;10539.79293;11441.14;21980.93293
2011;Marzo;6449.47;10877.90011;11848.84;22726.74011
2011;Abril;6209.46;10768.35751;12376.5;23144.85751
2011;Mayo;6371.44;10892.41354;12438.89;23331.30354
2011;Junio;6431.69;11074.80679;12631.44;23706.24679
2011;Julio;6535.23;11280.37785;12927.14;24207.51785
2011;Agosto;6583.85;11331.79804;13176.23;24508.02804
2011;Septiembre;6408.5;11234.28104;13614.42;24848.70104
2011;Octubre;6417.28;11292.80961;13780.94;25073.74961
2011;Noviembre;6383.74;11243.7724;13714.86;24958.6324
2011;Diciembre;6718.79;12092.96729;14464.01;26556.97729
2012;Enero;6874.13;11915.68553;14412.78;26328.46553
2012;Febrero;6890.55;11895.74458;14836.3;26732.04458
2012;Marzo;7300.46;12443.82789;15103.01;27546.83789
2012;Abril;7003.69;12298.01795;15374.52;27672.53795
2012;Mayo;7247.7;12537.27312;15622.01;28159.28312
2012;Junio;7084.47;12423.69695;15796.53;28220.22695
2012;Julio;6949.83;12405.67853;15698.63;28104.30853
2012;Agosto;6911.38;12512.03235;15944.45;28456.48235
2012;Septiembre;6950.85;12542.08849;15900.74;28442.82849
2012;Octubre;7154.53;12853.0947;16089.98;28943.0747
2012;Noviembre;7491.93;13336.64058;15961.34;29297.98058
2012;Diciembre;8100.37;14511.62475;16393.88;30905.50475
2013;Enero;7876.77;14003.53501;16422.92;30426.45501
2013;Febrero;7829.95;13992.34306;16620.63;30612.97306
2013;Marzo;7735.47;14111.16609;16560.09;30671.25609
2013;Abril;7528.96;14072.44534;16785.85;30858.29534
2013;Mayo;7854.72;14500.4401;16927.65;31428.0901
2013;Junio;7508.26;14184.45385;17053.68;31238.13385
2013;Julio;7532.84;14281.92815;17094.93;31376.85815
2013;Agosto;7508.84;14460.12118;17595.32;32055.44118
2013;Septiembre;7592.33;14598.49063;17566.41;32164.90063
2013;Octubre;7685.32;14764.84565;17839.11;32603.95565
