NOMBRE;PNB;REGION;Pob_Urbana;poblacion;natalidad;exp_vida;tasaM_inf;PNB_PC;tasa_ferti;tasa_crec;tasa_mort;calorias
ANGOLA             ;;1;28.3;10;47.2;44;137;;6.4;2.7;20;
ARGELIA            ;60728;1;44.7;25.4;40.2;62.5;74;2629;6.1;3.12;9;113
BENIN              ;1315;1;42;4.7;50.5;46;110;305;7;3.15;19;93
BOTSWANA           ;1202;1;23.6;1.3;47.3;56.5;67;1059;6.3;3.51;12;93
BURKINA FASO       ;1589;1;9;9;47.2;47.2;138;191;6.5;2.67;19;83
BURUNDI            ;1205;1;7.3;5.5;45.7;48.5;112;241;6.3;2.88;17;95
CABO VERDE         ;170;1;61.5;0.4;38.4;61.5;66;494;5.2;2.81;10;111
CAMERUN            ;10494;1;49.4;11.2;41.6;52.9;94;966;5.8;2.6;16;89
COMORES            ;159;1;27.6;0.5;45.6;52;80;372;6.2;3.11;15;89
CONGO              ;1761;1;42.2;2;44.4;48.5;73;873;6;2.73;17;114
COSTA DE MARFIL    ;8262;1;46.6;12.6;50.9;52.5;96;743;7.4;4.12;14;106
CHAD               ;733;1;33.3;5.7;44.2;45;132;139;5.9;2.47;20;
DJIBOUTI           ;372;1;80.7;0.4;47.3;47;122;1005;6.6;2.96;18;
EGIPTO             ;33986;1;48.8;54.1;36;60.6;85;678;4.8;2.55;10;130
ETIOPIA            ;5621;1;12.9;46.7;43.7;41.9;154;126;6.2;2.01;24;
GABON              ;2869;1;45.7;1.2;38.8;51;103;2733;5;3.45;16;
GAMBIA             ;174;1;22.5;0.9;46.8;37;143;219;6.4;2.83;21;94
GHANA              ;5329;1;33;15;44.3;54;90;393;6.4;3.14;13;73
GUINEA             ;2050;1;25.6;6.9;46.6;42.2;147;316;6.2;2.48;22;75
GUINEA BISSAU      ;145;1;30.8;1;40.8;45;132;157;5.4;2.08;20;
GUINEA ECUATORIAL  ;114;1;64.5;0.4;42.4;46;127;293;5.7;2.34;19;
KENYA              ;7300;1;23.6;25.1;53.9;55.3;72;330;8.1;4.22;12;93
LESOTHO            ;579;1;20.3;1.8;40.8;51.3;100;355;5.8;2.85;12;103
LIBERIA            ;1048;1;44;2.6;45;51;87;451;6.5;3.18;13;153
LIBIA              ;22326;1;70.2;4.5;43.9;60.8;82;5453;6.9;3.65;9;109
MADAGASCAR         ;2258;1;25;12;45.7;51.5;120;207;6.6;3.18;14;105
MALAWI             ;1292;1;14.8;8.4;53;47;150;164;7;3.31;20;76
MALI               ;1551;1;19.2;9.4;50.1;44;169;200;6.7;2.94;21;111
MARRUECOS          ;14324;1;48.5;25.1;35.3;60.8;82;615;4.8;2.56;10;120
MAURICIO           ;1557;1;42.3;1.1;18.5;68.2;23;1500;1.9;1.25;5;90
MAURITANIA         ;816;1;42.1;2;46.2;46;127;439;6.5;2.73;19;71
MOZAMBIQUE         ;2123;1;26.8;15.7;45;47.3;141;146;6.4;2.65;19;96
NIGER              ;1752;1;19.5;7.1;50.9;44.5;135;258;7.1;3.01;21;87
NIGERIA            ;39216;1;35.2;113;49.8;50.5;105;368;7;3.43;16;90
REP. CENTROAFRICANA;909;1;46.6;2.9;44.3;45;132;334;5.9;2.46;20;87
RUANDA             ;1939;1;7.7;7.2;51;48.5;122;301;8.3;3.4;17;98
SENEGAL            ;3543;1;38.4;7.4;45.7;45.3;128;510;6.4;2.69;19;80
SIERRA LEONA       ;956;1;32.2;4.2;48.2;36;154;249;6.5;2.49;23;89
SOMALIA            ;1560;1;36.4;7.6;50.8;41.9;132;290;6.6;3.32;20;120
SUDAFRICA          ;59910;1;58.9;35.2;31.7;55.5;72;1870;4.5;2.19;10;85
SUDAN              ;7647;1;22;25.2;44.6;50.3;108;331;6.4;2.88;16;110
SWAZILANDIA        ;497;1;33.1;0.8;46.8;50.5;118;699;6.5;3.43;13;100
TANZANIA           ;5370;1;32.8;27.3;50.5;53;106;180;7.1;3.67;14;96
