year;precio
1901;276.79
1902;315.42
1903;314.87
1904;321.25
1905;314.54
1906;317.92
1907;303.39
1908;288.62
1909;292.44
1910;320.92
1911;323.38
1912;270.77
1913;301.77
1914;282.99
1915;295.06
1916;276.47
1917;292.8
1918;358.78
1919;345.82
1920;345.42
1921;314.1
1922;228.74
1923;215.76
1924;224.67
1925;225.93
1926;250.87
1927;236.24
1928;209.12
1929;237.31
1930;251.67
1931;205.36
1932;167.21
1933;150.42
1934;154.09
1935;183.67
1936;246.66
1937;227.58
1938;214.6
1939;208.41
1940;181.21
1941;185.67
1942;230.86
1943;266.34
1944;310.29
1945;267.18
1946;303.03
1947;278.46
1948;293.36
1949;283.62
1950;274.26
1951;218.12
1952;265.62
1953;226.7
1954;258
1955;196.98
1956;213.38
1957;209.17
1958;184.5
1959;192.61
1960;155.83
1961;176.32
1962;172.13
1963;161.63
1964;163
1965;157.63
1966;154.5
1967;174.28
1968;135.17
1969;141.36
1970;157.83
1971;145.65
1972;112.06
1973;106.85
1974;170.91
1975;156.26
1976;140.78
1977;148.35
1978;132.61
1979;115.72
1980;116.07
1981;98.76
1982;100.33
1983;89.12
1984;88.67
1985;100.58
1986;76.84
1987;81.1
1988;69.6
1989;64.55
1990;80.36
1991;79.79
1992;74.79
1993;64.86
1994;62.27
