unidadEjecutora;fechaEvento;perdidaBruta;recuperacion;perdidaReconocida;detalleNivel3;detalleNivel2;detalleNivel1;causa
Unidad de Finanzas y Contabilidad;14-jun-18;247.44;0.00;247.44;7.1.3 - Incumplimiento de plazos o de responsabilidades;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Operaciones  -Préstamos;7-sept-16;390.17;0.00;390.17;2.1.1 - Hurto/ robo;2.1 - Hurto y fraude;2 - Fraude externo;Eventos externos
Unidad de Administración y Recursos Humanos;20-oct-15;296.03;0.00;296.03;1.2.5 - Falsificación;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Negocios Costa Rica;14-ago-16;194.75;0.00;194.75;7.5.1 - Fallos de contrapartes distintas de clientes;7.5 - Contrapartes comerciales;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Operaciones;18-dic-15;243.00;0.00;243.00;7.4.2 - Registros incorrectos de clientes (con generación de pérdidas);7.4 - Gestión de cuentas de clientes;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Negocios El Salvador;14-ene-16;275.36;0.00;275.36;3.2.1 - Responsabilidad en general (resbalones, etc.);3.2 - Higiene y seguridad en el trabajo;3 - Relaciones laborales y seguridad en el puesto de trabajo;Personas
Unidad de Negocios Panamá;9-sept-15;108.30;0.00;108.30;4.1.7 - Abuso de información confidencial;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Proyectos;9-dic-19;29.91;0.00;29.91;7.1.7 - Fallo en la entrega;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Tecnología;30-ene-18;128.00;0.00;1288.26;4.1.2 - Aspectos de adecuación/divulgación información;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Administración y Recursos Humanos;12-ago-17;196.90;0.00;196.90;1.2.1 - Fraude / fraude crediticio/ depósitos sin valor;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Calidad y Productividad;7-ago-19;25.37;0.00;25.37;7.4.2 - Registros incorrectos de clientes (con generación de pérdidas);7.4 - Gestión de cuentas de clientes;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Finanzas y Contabilidad;26-dic-17;552.00;0.00;552.00;7.4.3 - Pérdida o daño de activos de clientes por negligencia;7.4 - Gestión de cuentas de clientes;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Negocios Costa Rica;25-jul-19;50.00;0.00;1009.49;1.2.3 - Valoración errónea de posiciones (intencional);1.1 - Actividades no autorizadas;1 - Fraude interno;Personas
Unidad de Calidad y Productividad;5-mar-19;34.00;0.00;204.86;7.1.9 - Mantenimiento de datos de referencia;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Negocios Panamá;8-jul-15;476.23;0.00;476.23;7.5.1 - Fallos de contrapartes distintas de clientes;7.5 - Contrapartes comerciales;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Negocios Panamá;3-oct-19;30.00;0.00;296.27;4.4.2 - Superación de los límites de riesgo frente a clientes;4.4 - Selección, patrocinio y riesgos;4 - Clientes, productos y prácticas empresariales;Personas
Unidad Legal;18-sept-16;4.51;0.00;4.51;4.1.6 - Confusión de cuentas;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Cumplimiento;27-sept-17;32.00;6.91;313.92;4.2.5 - Blanqueo de dinero;4.2 - Prácticas empresariales o de mercado improcedentes;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Negocios Guatemala;28-oct-18;65.00;0.00;343.83;1.1.1 - Operaciones no reveladas (intencionalmente);1.1 - Actividades no autorizadas;1 - Fraude interno;Personas
Unidad Legal;20-sept-16;45.00;0.00;357.13;7.3.2 - Documentos jurídicos inexistentes / incompletos;7.3 - Aceptación de  clientes y documentación;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Proyectos;26-ene-16;50.00;0.00;398.12;1.2.5 - Falsificación;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Riesgos;9-oct-19;35.00;0.00;347.63;1.2.1 - Fraude / fraude crediticio/ depósitos sin valor;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Calidad y Productividad;10-dic-16;159.11;0.00;159.11;5.1.1 - Pérdidas por desastres naturales;5.1 - Desastres y otros acontecimientos;5 - Daños a activos materiales;Personas
Unidad de Negocios El Salvador;25-nov-15;45.00;0.00;539.21;1.2.3 - Valoración errónea de posiciones (intencional);1.1 - Actividades no autorizadas;1 - Fraude interno;Personas
Unidad de Administración y Recursos Humanos;7-ene-16;220.23;0.00;220.23;4.2.4 - Actividades no autorizadas;4.2 - Prácticas empresariales o de mercado improcedentes;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Negocios Panamá;19-feb-18;34.00;0.00;338.42;4.3.1 - Defectos del producto (no autorizado, etc.);4.3 - Productos defectuosos;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Calidad y Productividad;26-mar-15;249.78;0.00;249.78;4.1.7 - Abuso de información confidencial;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Proyectos;29-jun-18;59.64;0.00;59.64;4.1.6 - Confusión de cuentas;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Negocios Nicaragua;13-dic-15;45.00;0.00;445.87;2.1.1 - Hurto/ robo;2.1 - Hurto y fraude;2 - Fraude externo;Eventos externos
Unidad de Finanzas y Contabilidad;23-ago-18;428.93;0.00;428.93;4.1.6 - Confusión de cuentas;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Finanzas y Contabilidad;21-nov-17;23.00;0.00;247.24;2.2.1 - Daños por ataques informáticos;2.2 - Seguridad de los sistemas;2 - Fraude externo;Eventos externos
Unidad de Negocios Costa Rica;4-may-15;412.17;0.00;412.17;1.2.2 - Hurto / extorsión / malversación / robo;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Negocios Corporativa;31-ago-16;75.89;0.00;75.89;1.2.3 - Valoración errónea de posiciones (intencional);1.1 - Actividades no autorizadas;1 - Fraude interno;Personas
Unidad de Finanzas y Contabilidad;24-may-18;51.42;3.23;48.19;3.2.2 - Casos relacionados con normas higiene y seguridad de trabajo;3.2 - Higiene y seguridad en el trabajo;3 - Relaciones laborales y seguridad en el puesto de trabajo;Personas
Unidad de Finanzas y Contabilidad;19-feb-17;40.00;0.00;400.81;4.3.2 - Error de los modelos;4.3 - Productos defectuosos;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Calidad y Productividad;20-abr-17;125.66;0.00;125.66;5.1.1 - Pérdidas por desastres naturales;5.1 - Desastres y otros acontecimientos;5 - Daños a activos materiales;Personas
Unidad de Administración y Recursos Humanos;24-mar-19;2.10;0.00;2.10;6.1.2 - Software;6.1 - Sistemas;6 - Incidencias en el negocio y fallos en los sistemas;Sistemas
Unidad de Operaciones;6-ago-17;140.00;2.54;144.71;4.1.2 - Aspectos de adecuación/divulgación información;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Operaciones  -Préstamos;16-dic-17;423.98;0.00;423.98;7.6.2 - Litigios con distribuidores;7.6 - Distribuidores y proveedores;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Negocios Corporativa;11-sept-18;60.00;0.00;60.00;6.1.4 - Interrupción / incidencias en el suministro;6.1 - Sistemas;6 - Incidencias en el negocio y fallos en los sistemas;Sistemas
Unidad de Negocios Costa Rica;9-oct-18;84.07;0.00;84.07;1.2.8 - Apropiación de cuentas, de identidad, etc.;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Finanzas y Contabilidad;5-may-18;76.05;0.00;76.05;4.5.1 - Litigios sobre resultados de las actividades de asesoramiento;4.5 - Actividades de asesoramiento;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Negocios Panamá;4-ago-18;863.09;0.00;863.09;7.1.2 - Errores de introducción de datos, mantenimiento o descarga;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Finanzas y Contabilidad;29-jun-19;105.00;0.00;1047.06;3.1.2 - Organización laboral;3.1 - Relaciones laborales;3 - Relaciones laborales y seguridad en el puesto de trabajo;Personas
Unidad de Operaciones;6-sept-15;49.08;0.00;49.08;6.1.1 - Hardware;6.1 - Sistemas;6 - Incidencias en el negocio y fallos en los sistemas;Sistemas
Unidad de Finanzas y Contabilidad;24-jun-19;52.00;0.00;518.47;3.2.3 - Indemnización a los trabajadores;3.2 - Higiene y seguridad en el trabajo;3 - Relaciones laborales y seguridad en el puesto de trabajo;Personas
Unidad de Operaciones;22-sept-15;116.05;0.00;116.05;4.1.6 - Confusión de cuentas;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Cumplimiento;13-oct-18;36.36;0.00;36.36;4.1.7 - Abuso de información confidencial;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Tecnología;13-mar-19;114.89;0.00;114.89;4.1.6 - Confusión de cuentas;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Proyectos;26-jun-17;206.00;0.00;206.00;4.1.6 - Confusión de cuentas;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Operaciones  -Préstamos;3-abr-18;239.08;0.00;239.08;7.5.1 - Fallos de contrapartes distintas de clientes;7.5 - Contrapartes comerciales;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Negocios Nicaragua;27-feb-20;680.55;0.00;680.55;4.3.2 - Error de los modelos;4.3 - Productos defectuosos;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Administración y Recursos Humanos;7-jun-15;243.14;0.00;243.14;7.4.1 - Acceso no autorizado a cuentas;7.4 - Gestión de cuentas de clientes;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Calidad y Productividad;27-ago-15;185.00;0.00;1851.54;4.4.1 - Ausencia de investigación a clientes conforme a las directrices;4.4 - Selección, patrocinio y riesgos;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Negocios Corporativa;29-abr-17;582.33;0.00;582.33;3.2.2 - Casos relacionados con normas higiene y seguridad de trabajo;3.2 - Higiene y seguridad en el trabajo;3 - Relaciones laborales y seguridad en el puesto de trabajo;Personas
Unidad de Negocios Corporativa;14-feb-20;172.76;0.00;172.76;1.1.2 - Operaciones no autorizadas (con pérdidas pecuniarias);1.1 - Actividades no autorizadas;1 - Fraude interno;Personas
Unidad de Cumplimiento;18-sept-19;338.15;0.00;338.15;4.3.2 - Error de los modelos;4.3 - Productos defectuosos;4 - Clientes, productos y prácticas empresariales;Personas
Unidad Legal;25-jul-15;130.00;0.00;1291.35;4.3.2 - Error de los modelos;4.3 - Productos defectuosos;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Administración y Recursos Humanos;20-ago-16;169.48;0.00;169.48;7.6.2 - Litigios con distribuidores;7.6 - Distribuidores y proveedores;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Finanzas y Contabilidad;9-mar-18;64.00;0.00;670.91;3.3.1 - Todo tipo de discriminación;3.3 - Diversidad y discriminación;3 - Relaciones laborales y seguridad en el puesto de trabajo;Personas
Unidad de Finanzas y Contabilidad;8-abr-18;270.64;0.00;270.64;7.1.1 - Comunicación defectuosa;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Calidad y Productividad;23-jul-17;35.00;0.00;209.87;5.1.1 - Pérdidas por desastres naturales;5.1 - Desastres y otros acontecimientos;5 - Daños a activos materiales;Personas
Unidad de Riesgos;6-may-18;216.00;0.00;216.00;6.1.3 - Telecomunicaciones;6.1 - Sistemas;6 - Incidencias en el negocio y fallos en los sistemas;Sistemas
Unidad de Negocios El Salvador;23-feb-17;54.00;0.00;521.93;5.1.2 - Pérdidas humanas por causas externas (terrorismo, vandalismo);5.1 - Desastres y otros acontecimientos;5 - Daños a activos materiales;Personas
Unidad de Finanzas y Contabilidad;20-jul-17;154.02;0.00;154.02;4.4.2 - Superación de los límites de riesgo frente a clientes;4.4 - Selección, patrocinio y riesgos;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Administración y Recursos Humanos;15-sept-17;270.85;0.00;270.85;1.2.3 - Valoración errónea de posiciones (intencional);1.1 - Actividades no autorizadas;1 - Fraude interno;Personas
Unidad Legal;6-feb-16;277.93;0.00;277.93;5.1.2 - Pérdidas humanas por causas externas (terrorismo, vandalismo);5.1 - Desastres y otros acontecimientos;5 - Daños a activos materiales;Personas
Unidad de Finanzas y Contabilidad;24-ago-15;30.00;0.00;2879.20;2.1.1 - Hurto/ robo;2.1 - Hurto y fraude;2 - Fraude externo;Eventos externos
Unidad de Negocios Costa Rica;23-sept-18;743.44;0.00;743.44;2.2.1 - Daños por ataques informáticos;2.2 - Seguridad de los sistemas;2 - Fraude externo;Eventos externos
Unidad de Riesgos;19-mar-16;30.49;0.00;30.49;7.1.4 - Ejecución errónea de modelos / sistemas;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Finanzas y Contabilidad;13-mar-16;88.00;0.00;879.02;1.2.2 - Hurto / extorsión / malversación / robo;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Administración y Recursos Humanos;16-nov-15;45.00;0.00;436.24;2.1.3 - Utilización de cheques sin fondos;2.1 - Hurto y fraude;2 - Fraude externo;Eventos externos
Unidad de Cumplimiento;12-jun-17;162.31;0.00;162.31;2.2.2 - Robo de información (con pérdidas pecuniarias);2.2 - Seguridad de los sistemas;2 - Fraude externo;Eventos externos
Unidad de Administración y Recursos Humanos;29-may-18;75.00;0.00;756.11;4.1.8 - Responsabilidad del prestamista;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Auditoría Interna;20-oct-15;151.00;0.00;151.00;1.2.1 - Fraude / fraude crediticio/ depósitos sin valor;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Cumplimiento;23-nov-18;15.00;0.00;15.00;6.1.2 - Software;6.1 - Sistemas;6 - Incidencias en el negocio y fallos en los sistemas;Sistemas
Unidad Legal;21-oct-19;144.01;0.00;144.01;7.5.2 - Otros litigios con contrapartes distintas de clientes;7.5 - Contrapartes comerciales;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Finanzas y Contabilidad;31-dic-17;681.32;680.31;1.01;7.2.1 - Incumplimiento de la obligación de informar;7.2 - Seguimiento y presentación de informes;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Negocios Corporativa;4-ago-15;226.38;0.00;226.38;2.1.2 - Falsificación;2.1 - Hurto y fraude;2 - Fraude externo;Eventos externos
Unidad de Cumplimiento;19-oct-15;27.34;0.00;27.34;6.1.1 - Hardware;6.1 - Sistemas;6 - Incidencias en el negocio y fallos en los sistemas;Sistemas
Unidad de Negocios Guatemala;13-jun-18;9800.00;0.00;9800.00;7.1.7 - Fallo en la entrega;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Negocios El Salvador;26-jul-19;436.62;0.00;436.62;7.4.1 - Acceso no autorizado a cuentas;7.4 - Gestión de cuentas de clientes;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Negocios Costa Rica;15-feb-17;164.00;0.00;164.00;6.1.3 - Telecomunicaciones;6.1 - Sistemas;6 - Incidencias en el negocio y fallos en los sistemas;Sistemas
Unidad de Operaciones;19-dic-17;290.15;0.00;290.15;1.2.3 - Valoración errónea de posiciones (intencional);1.1 - Actividades no autorizadas;1 - Fraude interno;Personas
Unidad de Riesgos;24-nov-17;140.27;0.00;140.27;4.2.3 - Manipulación del mercado;4.2 - Prácticas empresariales o de mercado improcedentes;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Riesgos;28-may-17;212.11;0.00;212.11;3.1.2 - Organización laboral;3.1 - Relaciones laborales;3 - Relaciones laborales y seguridad en el puesto de trabajo;Personas
