canton_codigo;canton_nombre;DPA_canton
260;CUENCA;101
270;GIRON;102
265;GUALACEO;103
885;NABON;104
275;PAUTE;105
555;PUCARA;106
855;SAN FERNANDO;107
285;SANTA ISABEL;108
280;SIGSIG;109
780;OÑA;110
915;CHORDELEG;111
960;EL PAN;112
955;SEVILLA DE ORO;113
990;GUACHAPALA;114
556;CAMILO PONCE ENRIQUEZ;115
165;GUARANDA;201
180;CHILLANES;202
170;CHIMBO;203
185;ECHEANDIA;204
175;SAN MIGUEL;205
760;CALUMA;206
950;LAS NAVES;207
235;AZOGUES;301
245;BIBLIAN;302
240;CAÑAR;303
250;LA TRONCAL;304
765;EL TAMBO;305
905;DELEG;306
241;SUSCAL;307
5;TULCAN;401
15;ESPEJO;403
20;MIRA;404
10;MONTUFAR;405
995;SAN PEDRO DE HUACA;406
100;LATACUNGA;501
825;LA MANA;502
120;PANGUA;503
105;PUJILI;504
110;SALCEDO;505
115;SAQUISILI;506
930;SIGCHOS;507
195;RIOBAMBA;601
215;ALAUSI;602
205;COLTA;603
190;CHAMBO;604
220;CHUNCHI;605
210;GUAMOTE;606
200;GUANO;607
830;PALLATANGA;608
225;PENIPE;609
900;CUMANDA;610
350;MACHALA;701
375;ARENILLAS;702
705;ATAHUALPA;703
875;BALSAS;704
585;CHILLA;705
380;EL GUABO;706
695;HUAQUILLAS;707
860;MARCABELI;708
365;PASAJE;709
370;PIÑAS;710
690;PORTOVELO;711
355;SANTA ROSA;712
360;ZARUMA;713
755;LAS LAJAS;714
560;ESMERALDAS;801
565;ELOY ALFARO;802
570;MUISNE;803
575;QUININDE;804
580;SAN LORENZO;805
785;ATACAMES;806
561;RIOVERDE;807
390;GUAYAQUIL;901
835;ALFREDO BAQUERIZO MORENO (JUJAN);902
95;BALAO;903
415;BALZAR;904
125;COLIMES;905
400;DAULE;906
820;DURAN;907
385;EL EMPALME;908
505;EL TRIUNFO;909
420;MILAGRO;910
435;NARANJAL;911
510;NARANJITO;912
675;PALESTINA;913
715;PEDRO CARBO;914
425;SAMBORONDON;916
870;SANTA LUCIA;918
430;SALITRE;919
395;YAGUACHI;920
735;PLAYAS;921
790;SIMON BOLIVAR;922
890;CORONEL MARCELINO MARIDUEÑA;923
920;LOMAS DE SARGENTILLO;924
940;NOBOL;925
985;GENERAL ANTONIO ELIZALDE;927
986;ISIDRO AYORA;928
30;IBARRA;1001
45;ANTONIO ANTE;1002
40;COTACACHI;1003
35;OTAVALO;1004
50;PIMAMPIRO;1005
55;SAN MIGUEL DE URCUQUI;1006
300;LOJA;1101
320;CALVAS;1102
290;CATAMAYO;1103
315;CELICA;1104
815;CHAGUARPAMBA;1105
340;ESPINDOLA;1106
335;GONZANAMA;1107
325;MACARA;1108
310;PALTAS;1109
330;PUYANGO;1110
305;SARAGURO;1111
345;SOZORANGA;1112
295;ZAPOTILLO;1113
730;PINDAL;1114
740;QUILANGA;1115
311;OLMEDO;1116
970;OLMEDO (MANABI);1318
515;BABAHOYO;1201
520;BABA;1202
710;MONTALVO;1203
530;PUEBLOVIEJO;1204
540;QUEVEDO;1205
535;URDANETA;1206
545;VENTANAS;1207
525;VINCES;1208
750;PALENQUE;1209
945;BUENA FE;1210
516;VALENCIA;1211
946;MOCACHE;1212
546;QUINSALOMA;1213
440;PORTOVIEJO;1301
485;BOLIVAR (MANABI);1302
480;CHONE;1303
500;EL CARMEN;1304
230;FLAVIO ALFARO;1305
455;JIPIJAPA;1306
490;JUNIN;1307
450;MANTA;1308
445;MONTECRISTI;1309
495;PAJAN;1310
840;PICHINCHA;1311
465;ROCAFUERTE;1312
470;SANTA ANA;1313
475;SUCRE;1314
550;TOSAGUA;1315
460;24 DE MAYO;1316
910;PEDERNALES;1317
975;PUERTO LOPEZ;1319
476;JAMA;1320
446;JARAMIJO;1321
477;SAN VICENTE;1322
590;MORONA;1401
595;GUALAQUIZA;1402
600;LIMON INDANZA;1403
615;PALORA;1404
605;SANTIAGO;1405
610;SUCUA;1406
795;HUAMBOYA;1407
925;SAN JUAN BOSCO;1408
926;TAISHA;1409
611;LOGROÑO;1410
796;PABLO SEXTO;1411
797;TIWINTZA;1412
620;TENA;1501
700;ARCHIDONA;1503
255;EL CHACO;1504
635;QUIJOS;1507
621;CARLOS JULIO AROSEMENA TOLA;1509
680;PASTAZA;1601
685;MERA;1602
880;SANTA CLARA;1603
881;ARAJUNO;1604
60;DISTRITO METROPOLITANO DE QUITO;1701
65;CAYAMBE;1702
70;MEJIA;1703
75;PEDRO MONCAYO;1704
80;RUMIÑAHUI;1705
770;SAN MIGUEL DE LOS BANCOS;1707
895;PEDRO VICENTE MALDONADO;1708
896;PUERTO QUITO;1709
135;AMBATO;1801
150;BAÑOS DE AGUA SANTA;1802
845;CEVALLOS;1803
850;MOCHA;1804
155;PATATE;1805
160;QUERO;1806
140;PELILEO;1807
145;PILLARO;1808
90;TISALEO;1809
655;ZAMORA;1901
