ID;ADDRESS;STREET;STREET NO;ZIP;CITY_POST;CITY;region2;poviat;region3;subreg;coords.x1;coords.x2;LEGAL_FORM1;LEGAL_FORM2;OWNERSHIP;PKD7;SEC_PKD7;GR_EMPL;empl
206455;24-100 Pu³awy Pu³awy ul. Jana Tadeusza Ostrowskiego 2;ul. Jana Tadeusza Ostrowskiego;2;24-100;Pu³awy;Pu³awy;powiat pu³awski;powiat pu�awski;Pu³awy;4;22,00262643;51,40935153;9;99;214;4511Z;G;1;5
130287;21-080 Garbów Garbów Drugi   226;NA;226;21-080;Garbów;Garbów Drugi;powiat lubelski;powiat lubelski;gmina Garbów;3;22,34527774;51,35416667;9;99;214;6622Z;K;1;5
34039;23-413 Obsza Babice   163;NA;163;23-413;Obsza;Babice;powiat bi³gorajski;powiat bi�gorajski;gmina Obsza;2;22,96182;50,31522998;9;99;214;0111Z;A;1;5
94804;23-235 Annopol Bliskowice   38;NA;38;23-235;Annopol;Bliskowice;powiat kranicki;powiat kra�nicki;gmina Annopol;4;21,839046;50,95910027;9;99;214;0150Z;A;1;5
13456;21-530 Piszczac Piszczac-Kolonia   35;NA;35;21-530;Piszczac;Piszczac-Kolonia;powiat bialski;powiat bialski;gmina Piszczac;1;23,37777995;51,96064001;9;99;214;0143Z;A;1;5
173065;21-412 Adamów Czarna   43;NA;43;21-412;Adamów;Czarna;powiat ³ukowski;powiat �ukowski;gmina Adamów;4;22,25986;51,74346996;9;99;214;0150Z;A;1;5
290580;22-460 Szczebrzeszyn Brody Du¿e   8;NA;8;22-460;Szczebrzeszyn;Brody Du¿e;powiat zamojski;powiat zamojski;gmina Szczebrzeszyn;2;22,99070039;50,68388326;9;99;214;0150Z;A;1;5
142495;21-025 Niemce Krasienin-Kolonia   48;NA;48;21-025;Niemce;Krasienin-Kolonia;powiat lubelski;powiat lubelski;gmina Niemce;3;22,46390998;51,34747;9;99;214;4773Z;G;1;5
245074;21-007 Me³giew Dominów   27;NA;27;21-007;Me³giew;Dominów;powiat widnicki;powiat �widnicki;gmina Me³giew;3;22,82058113;51,21764496;9;99;214;4520Z;G;1;5
338984;20-621 Lublin Lublin ul. S³oneczna 4;ul. S³oneczna;4;20-621;Lublin;Lublin;Lublin;powiat Lublin;Lublin;3;22,54872439;51,23817753;9;99;214;4776Z;G;1;5
269485;22-200 W³odawa W³odawa ul. Che³mska 17;ul. Che³mska;17;22-200;W³odawa;W³odawa;powiat w³odawski;powiat w�odawski;W³odawa;1;23,54669215;51,54833078;9;99;214;0150Z;A;1;5
290619;22-452 Bodaczów Wiel¹cza   5;NA;5;22-452;Bodaczów;Wiel¹cza;powiat zamojski;powiat zamojski;gmina Szczebrzeszyn;2;23,02714216;50,71727347;9;99;214;0150Z;A;1;5
12107;21-564 T³uciec Krzymoszyce   41;NA;41;21-564;T³uciec;Krzymoszyce;powiat bialski;powiat bialski;gmina Miêdzyrzec Podlaski;1;22,62275422;52,01108089;9;99;214;0150Z;A;1;5
258609;22-650 £aszczów Nabró¿-Kolonia   37;NA;37;22-650;£aszczów;Nabró¿-Kolonia;powiat tomaszowski;powiat tomaszowski;gmina £aszczów;2;23,78538907;50,5781481;9;99;214;0150Z;A;1;5
278342;22-440 Krasnobród Krasnobród ul. Aleja Najwiêtszej Marii Panny 57;ul. Aleja Najwiêtszej Marii Panny;57;22-440;Krasnobród;Krasnobród;powiat zamojski;powiat zamojski;gmina Krasnobród;2;23,23706946;50,54300281;9;99;214;1629Z;C;1;5
34590;23-423 Potok Górny Szyszków   53;NA;53;23-423;Potok Górny;Szyszków;powiat bi³gorajski;powiat bi�gorajski;gmina Potok Górny;2;22,52708643;50,36523926;9;99;214;0150Z;A;1;5
23139;23-400 Bi³goraj Bi³goraj ul. gen. Sikorskiego 12;ul. gen. Sikorskiego;12;23-400;Bi³goraj;Bi³goraj;powiat bi³gorajski;powiat bi�gorajski;Bi³goraj;2;22,71561989;50,53197435;9;99;214;7112Z;M;1;5
273842;22-230 Wola Uhruska Wola Uhruska ul. Che³mska 28;ul. Che³mska;28;22-230;Wola Uhruska;Wola Uhruska;powiat w³odawski;powiat w�odawski;gmina Wola Uhruska;1;23,6273976;51,32378889;1;117;215;4711Z;G;2;30
26655;23-400 Bi³goraj Hedwi¿yn   7;NA;7;23-400;Bi³goraj;Hedwi¿yn;powiat bi³gorajski;powiat bi�gorajski;gmina Bi³goraj;2;22,82362677;50,58755427;9;99;214;0150Z;A;1;5
239144;08-540 Stê¿yca Paw³owice   52;NA;52;08-540;Stê¿yca;Paw³owice;powiat rycki;powiat rycki;gmina Stê¿yca;4;21,67818998;51,60669999;1;55;215;8425Z;O;1;5
162001;21-400 £uków £uków ul. Staropijarska 6D;ul. Staropijarska;6D;21-400;£uków;£uków;powiat ³ukowski;powiat �ukowski;£uków;4;22,38271387;51,92946228;2;19;214;6920Z;M;1;5
163125;21-400 £uków £uków os. Bronis³awa Ch¹ciñskiego 1;os. Bronis³awa Ch¹ciñskiego;1;21-400;£uków;£uków;powiat ³ukowski;powiat �ukowski;£uków;4;22,3804833;51,93358246;9;99;214;0150Z;A;1;5
172113;21-413 Serokomla Józefa   33;NA;33;21-413;Serokomla;Józefa;powiat ³ukowski;powiat �ukowski;gmina Serokomla;4;22,32593001;51,69641001;9;99;214;0150Z;A;1;5
148825;20-258 Lublin Turka   332;NA;332;20-258;Lublin;Turka;powiat lubelski;powiat lubelski;gmina Wólka;3;22,66863998;51,27934002;9;99;214;0150Z;A;1;5
312418;20-115 Lublin Lublin ul. Kowalska 10;ul. Kowalska;10;20-115;Lublin;Lublin;Lublin;powiat Lublin;Lublin;3;22,56904813;51,24988785;9;99;214;4532Z;G;1;5
329859;20-139 Lublin Lublin ul. Trzeniowska 1;ul. Trzeniowska;1;20-139;Lublin;Lublin;Lublin;powiat Lublin;Lublin;3;22,58842528;51,26100829;9;99;214;0150Z;A;1;5
93065;23-200 Kranik Kranik ul. Lubelska 115;ul. Lubelska;115;23-200;Kranik;Kranik;powiat kranicki;powiat kra�nicki;Kranik;4;22,24362735;50,92901069;2;401;111;8413Z;O;1;5
123658;24-200 Be³¿yce Be³¿yce ul. ks. bp. Tomasza Wilczyñskiego 47;ul. ks. bp. Tomasza Wilczyñskiego;47;24-200;Be³¿yce;Be³¿yce;powiat lubelski;powiat lubelski;gmina Be³¿yce;3;22,28721999;51,17385;9;99;214;0150Z;A;1;5
304245;22-100 Che³m Che³m ul. Lubelska 52;ul. Lubelska;52;22-100;Che³m;Che³m;Che³m;powiat Che�m;Che³m;2;23,46985053;51,13399579;1;117;215;4120Z;F;1;5
