x	y	co
441301.4354	4474963.99	0.95165788
440341.0826	4474609.248	1.01523068
439591.0701	4475156.12	0.90421815
439688.4721	4481161.012	0.90016135
441401.2987	4476643.773	1.19088756
442294.4987	4475753.389	0.92028275
442114.5832	4474853.132	1.05082162
441146.2634	4472698.763	1.32441896
440086.4828	4477489.525	1.25846099
442568.2633	4478174.071	0.67803354
443289.3869	4475628.617	0.98207847
444701.157	4471122.224	0.40546511
439164.7636	4470827.098	1.61541998
441617.675	4480037.761	0.70803579
445784.0035	4476874.421	0.64185389
437887.1938	4471910.658	1.43508453
437047.3688	4473369.736	0.73716407
445247.7027	4473317.411	0.96698385
439077.0863	4477040.366	0.97077892
439517.717	4473190.909	0.98207847
448746.9979	4477979.063	0.50681760
436436.6086	4474732.304	0.07696104
448849.9949	4470109.465	0.22314355
