TIPO_DELITO;SUBTIPO_DE_DELITO;FECHA_DETENCION;NUMERO_DE_DETENCIONES;ZONA;PROVINCIA;cod_provincia;CANTON;cod_canton;PARROQUIA;cod_parroquia;DISTRITO;cod_distrito;CIRCUITO;cod_circuito;NOM_SUBCIRC;SUB_CIRCUIT;DIRECCION_DETENCION;EJE_Y;EJE_X;EDAD;SEXO;CALIFICACION_FLAGRANCIA
SEXUALES;VIOLACION;1/1/14;1;ZONA 7;LOJA;11;LOJA;1101;SAN PEDRO DE VILCABAMBA, VILCABAMBA (VICTORIA);110161-110158;LOJA;11D01;VILCABAMBA;11D01C01;VILCABAMBA 1;11D01C01S01;BARRIO 22 DE SEPTIEMBRE, CALLE 10 DE AGOSTO Y DARIO SUQUILANDA;-4.263701;-79.224853;64;HOMBRE;NO
CONTRA LA SEGURIDAD PUBLICA;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;1/1/14;1;ZONA 7;ZAMORA CHINCHIPE;19;YANTZAZA;1905;CHICANA, YANTZAZA (YANZATZA);190550-190551;YANTZAZA;19D04;YANTZAZA;19D04C01;YANTZAZA 1;19D04C01S01;PLAYA RICA- CANT;-3.823376;-78.759468;52;HOMBRE;SI
CONTRA LA PROPIEDAD;ROBO DOMICILIO;1/1/14;1;ZONA 7;EL ORO;07;HUAQUILLAS;0707;HUAQUILLAS;070750;HUAQUILLAS;07D05;UNION LOJANA;07D05C05;UNION LOJANA 2;07D05C05S02;CDLA SAN FRANCISCO;-3.475224;-80.224102;26;HOMBRE;SI
SEXUALES;VIOLACION;1/1/14;1;ZONA 7;EL ORO;07;PASAJE;0709;PASAJE;070950;PASAJE;07D01;OCHOA LEON;07D01C10;OCHOA LEON 1;07D01C10S01;HOSPITAL CIVIL SAN VICENTE DE PAUL;-3.326729;-79.808393;38;HOMBRE;SI
CONTRA LA PROPIEDAD;ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHÍCULOS;1/1/14;1;ZONA 7;EL ORO;07;MACHALA;0701;MACHALA;070150;MACHALA;07D02;ROCAFUERTE;07D02C11;ROCAFUERTE 1;07D02C11S01;AV. PICHINCHA Y NAPOLEON MERA;-3.26598;-79.95591;38;HOMBRE;SI
CONTRA LA PROPIEDAD;ROBO A PERSONAS;1/1/14;1;ZONA 7;EL ORO;07;MACHALA;0701;MACHALA;070150;MACHALA;07D02;LA PROVIDENCIA;07D02C10;LA PROVIDENCIA 1;07D02C10S01;CANTON MACHALA CALLE MARCEL LANIADO Y SEXTA OESTE;-3.257938;-79.951029;32;HOMBRE;SI
CONTRA LA PROPIEDAD;ROBO A PERSONAS;1/1/14;1;ZONA 7;EL ORO;07;MACHALA;0701;MACHALA;070150;MACHALA;07D02;LA PROVIDENCIA;07D02C10;LA PROVIDENCIA 1;07D02C10S01;CANTON MACHALA CALLE MARCEL LANIADO Y SEXTA OESTE;-3.257906;-79.950997;22;HOMBRE;SI
CONTRA LA PROPIEDAD;ROBO A PERSONAS;1/1/14;1;ZONA 7;EL ORO;07;MACHALA;0701;MACHALA;070150;MACHALA;07D02;27 DE FEBRERO;07D02C07;27 DE FEBRERO 1;07D02C07S01;BOLIVAR MADERO VARGAS Y 12AVA OESTE;-3.253596;-79.968681;31;HOMBRE;SI
CONTRA LA PROPIEDAD;ROBO A PERSONAS;1/1/14;0;ZONA 7;EL ORO;07;MACHALA;0701;MACHALA;070150;MACHALA;07D02;19 DE NOVIEMBRE;07D02C08;19 DE NOVIEMBRE 1;07D02C08S01;MARCEL LANIADO Y 6TA OESTE ;-3.252195;-79.962297;21;HOMBRE;NO
CONTRA LAS PERSONAS;HERIDAS/LESIONES;1/1/14;3;ZONA 7;EL ORO;07;MACHALA;0701;MACHALA;070150;MACHALA;07D02;19 DE NOVIEMBRE;07D02C08;19 DE NOVIEMBRE 1;07D02C08S01;BARRIO 19 DE NOVIEMBRE CALLES GUABO Y 9NA OESTE ;-3.249279;-79.962053;33;HOMBRE;SI
CONTRA LA PROPIEDAD;ROBO A PERSONAS;1/1/14;1;ZONA 7;EL ORO;07;EL GUABO;0706;EL GUABO;070650;PASAJE;07D01;BAJO ALTO;07D01C04;BAJO ALTO 1;07D01C04S01;BAJO ALTO;-3.241465;-79.829874;21;HOMBRE;SI
CONTRA LA PROPIEDAD;ROBO A PERSONAS;1/1/14;0;ZONA 7;EL ORO;07;MACHALA;0701;MACHALA;070150;MACHALA;07D02;CRISTO DEL CONSUELO;07D02C16;CRISTO DEL CONSUELO 1;07D02C16S01;CALLE 13AVA B Y CALLEJON SIN NOMBRE;-3.237879;-79.955291;21;SIN INFORMACION;SI
SEXUALES;VIOLACION;1/1/14;1;ZONA 6;AZUAY;01;PAUTE;0105;CHICAN (GUILLERMO ORTEGA), EL CABO, PAUTE, SAN CR*;010559-010553-010554-010550;PAUTE;01D06;PAUTE;01D06C02;PAUTE 1;01D06C02S01;PARROQUIA SAN CRISTOBAL;-2.779304;-78.760614;22;HOMBRE;SI
CONTRA LAS PERSONAS;HERIDAS/LESIONES;1/1/14;0;ZONA 6;MORONA SANTIAGO;14;MORONA;1401;MACAS;140150;MORONA;14D01;MACAS;14D01C05;MACAS 1;14D01C05S01;BARRIO LOS CANELOS CALLE CALIXTO VELIN ANTIGUA SALIDA AL PUYO ;-2.302082;-78.162572;31;HOMBRE;SI
CONTRA LAS PERSONAS;HERIDAS/LESIONES;1/1/14;0;ZONA 6;MORONA SANTIAGO;14;MORONA;1401;MACAS;140150;MORONA;14D01;MACAS;14D01C05;MACAS 1;14D01C05S01;BARRIO LOS CANELOS CALLE CALIXTO VELIN ANTIGUA SALIDA AL PUYO ;-2.299804;-78.170375;51;HOMBRE;SI
CONTRA LA SEGURIDAD PUBLICA;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;1/1/14;1;ZONA 8;GUAYAS;DMG;GUAYAQUIL;0901;GUAYAQUIL-GUASMO;090150;SUR;09D01;GUASMO;09D01C01;GUASMO 2;09D01C01S02;COOP. MIAMI BEACH, MZ-17, S-10;-2.283643;-79.886524;42;MUJER;SI
CONTRA LA SEGURIDAD PUBLICA;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;1/1/14;1;ZONA 8;GUAYAS;DMG;GUAYAQUIL;0901;GUAYAQUIL-UNION DE BANANEROS;090150;SUR;09D01;UNION DE BANANEROS;09D01C02;UNION DE BANANEROS 1;09D01C02S01;COOP. UNION DE BANANEROS, BLOQUE 6 A LA ALTURA DE LA ANTIGUA PARADA DE LA LINEA 125-2;-2.267936;-79.884284;31;HOMBRE;SI
CONTRA LA SEGURIDAD PUBLICA;INTIMIDACION/AMENAZA;1/1/14;4;ZONA 5;SANTA ELENA;24;LA LIBERTAD;2402;LA LIBERTAD;240250;LIBERTAD SALINAS;24D02;ENRIQUEZ GALLO;24D02C04;ENRIQUEZ GALLO 1;24D02C04S01;LA LIBERTAD, BARRIO ERNESTO GONZALEZ, CALLE 31 Y AV. 30;-2.249028;-80.887645;20;HOMBRE;SI
