DELITO;PROVINCIA;DES_CANTON;MES;year;NumDelitos;COD_CANT
ROBO A DOMICILIO;AZUAY;CAMILO PONCE ENRÍQUEZ;Ene;2014;2;0115
ROBO A DOMICILIO;AZUAY;CUENCA;Ene;2014;88;0101
ROBO A DOMICILIO;AZUAY;GIRÓN;Ene;2014;1;0102
ROBO A DOMICILIO;AZUAY;GUALACEO;Ene;2014;10;0103
ROBO A DOMICILIO;AZUAY;NABÓN;Ene;2014;4;0104
ROBO A DOMICILIO;AZUAY;PAUTE;Ene;2014;3;0105
ROBO A DOMICILIO;AZUAY;SANTA ISABEL;Ene;2014;1;0108
ROBO A DOMICILIO;BOLÍVAR;CALUMA;Ene;2014;1;0206
ROBO A DOMICILIO;BOLÍVAR;ECHEANDÍA;Ene;2014;2;0204
ROBO A DOMICILIO;BOLÍVAR;GUARANDA;Ene;2014;6;0201
ROBO A DOMICILIO;BOLÍVAR;SAN MIGUEL;Ene;2014;1;0205
ROBO A DOMICILIO;CAÑAR;AZOGUES;Ene;2014;11;0301
ROBO A DOMICILIO;CAÑAR;BIBLIÁN;Ene;2014;1;0302
ROBO A DOMICILIO;CAÑAR;CAÑAR;Ene;2014;1;0303
ROBO A DOMICILIO;CAÑAR;DÉLEG;Ene;2014;2;0306
ROBO A DOMICILIO;CAÑAR;EL TAMBO;Ene;2014;2;0305
ROBO A DOMICILIO;CAÑAR;LA TRONCAL;Ene;2014;4;0304
ROBO A DOMICILIO;CARCHI;MONTÚFAR;Ene;2014;2;0405
ROBO A DOMICILIO;CARCHI;TULCÁN;Ene;2014;11;0401
ROBO A DOMICILIO;CHIMBORAZO;ALAUSÍ;Ene;2014;2;0602
ROBO A DOMICILIO;CHIMBORAZO;CHUNCHI;Ene;2014;1;0605
ROBO A DOMICILIO;CHIMBORAZO;GUANO;Ene;2014;5;0607
ROBO A DOMICILIO;CHIMBORAZO;PALLATANGA;Ene;2014;2;0608
ROBO A DOMICILIO;CHIMBORAZO;PENIPE;Ene;2014;1;0609
ROBO A DOMICILIO;CHIMBORAZO;RIOBAMBA;Ene;2014;38;0601
ROBO A DOMICILIO;COTOPAXI;LA MANÁ;Ene;2014;8;0502
ROBO A DOMICILIO;COTOPAXI;LATACUNGA;Ene;2014;16;0501
ROBO A DOMICILIO;COTOPAXI;PANGUA;Ene;2014;1;0503
ROBO A DOMICILIO;COTOPAXI;PUJILÍ;Ene;2014;1;0504
ROBO A DOMICILIO;COTOPAXI;SALCEDO;Ene;2014;13;0505
ROBO A DOMICILIO;COTOPAXI;SIGCHOS;Ene;2014;2;0507
ROBO A DOMICILIO;EL ORO;ARENILLAS;Ene;2014;1;0702
ROBO A DOMICILIO;EL ORO;EL GUABO;Ene;2014;9;0706
ROBO A DOMICILIO;EL ORO;HUAQUILLAS;Ene;2014;8;0707
ROBO A DOMICILIO;EL ORO;LAS LAJAS;Ene;2014;1;0714
ROBO A DOMICILIO;EL ORO;MACHALA;Ene;2014;55;0701
ROBO A DOMICILIO;EL ORO;PASAJE;Ene;2014;13;0709
ROBO A DOMICILIO;EL ORO;PIÑAS;Ene;2014;2;0710
ROBO A DOMICILIO;EL ORO;SANTA ROSA;Ene;2014;13;0712
ROBO A DOMICILIO;EL ORO;ZARUMA;Ene;2014;4;0713
ROBO A DOMICILIO;ESMERALDAS;ATACAMES;Ene;2014;14;0806
ROBO A DOMICILIO;ESMERALDAS;ESMERALDAS;Ene;2014;57;0801
ROBO A DOMICILIO;ESMERALDAS;MUISNE;Ene;2014;1;0803
ROBO A DOMICILIO;ESMERALDAS;QUININDÉ;Ene;2014;8;0804
ROBO A DOMICILIO;ESMERALDAS;RÍOVERDE;Ene;2014;1;0807
ROBO A DOMICILIO;ESMERALDAS;SAN LORENZO;Ene;2014;2;0805
ROBO A DOMICILIO;GUAYAS;ALFREDO BAQUERIZO MORENO (JUJAN);Ene;2014;1;0902
ROBO A DOMICILIO;GUAYAS;BALAO;Ene;2014;2;0903
ROBO A DOMICILIO;GUAYAS;BALZAR;Ene;2014;5;0904
ROBO A DOMICILIO;GUAYAS;CORONEL MARCELINO MARIDUEÑA;Ene;2014;2;0923
ROBO A DOMICILIO;GUAYAS;DAULE;Ene;2014;10;0906
ROBO A DOMICILIO;GUAYAS;DURÁN;Ene;2014;35;0907
ROBO A DOMICILIO;GUAYAS;EL EMPALME;Ene;2014;4;0908
ROBO A DOMICILIO;GUAYAS;EL TRIUNFO;Ene;2014;3;0909
ROBO A DOMICILIO;GUAYAS;GUAYAQUIL;Ene;2014;180;0901
ROBO A DOMICILIO;GUAYAS;MILAGRO;Ene;2014;20;0910
ROBO A DOMICILIO;GUAYAS;NARANJAL;Ene;2014;8;0911
ROBO A DOMICILIO;GUAYAS;NARANJITO;Ene;2014;2;0912
ROBO A DOMICILIO;GUAYAS;NOBOL;Ene;2014;1;0925
ROBO A DOMICILIO;GUAYAS;PALESTINA;Ene;2014;1;0913
ROBO A DOMICILIO;GUAYAS;PEDRO CARBO;Ene;2014;2;0914
ROBO A DOMICILIO;GUAYAS;PLAYAS;Ene;2014;6;0921
ROBO A DOMICILIO;GUAYAS;SALITRE (URBINA JADO);Ene;2014;18;0919
ROBO A DOMICILIO;GUAYAS;SAMBORONDÓN;Ene;2014;6;0916
ROBO A DOMICILIO;GUAYAS;SAN JACINTO DE YAGUACHI;Ene;2014;2;0920
ROBO A DOMICILIO;GUAYAS;SANTA LUCÍA;Ene;2014;1;0918
ROBO A DOMICILIO;IMBABURA;ANTONIO ANTE;Ene;2014;4;1002
ROBO A DOMICILIO;IMBABURA;COTACACHI;Ene;2014;7;1003
ROBO A DOMICILIO;IMBABURA;IBARRA;Ene;2014;18;1001
ROBO A DOMICILIO;IMBABURA;OTAVALO;Ene;2014;8;1004
ROBO A DOMICILIO;LOJA;CALVAS;Ene;2014;1;1102
ROBO A DOMICILIO;LOJA;CATAMAYO;Ene;2014;4;1103
ROBO A DOMICILIO;LOJA;CHAGUARPAMBA;Ene;2014;1;1105
ROBO A DOMICILIO;LOJA;GONZANAMÁ;Ene;2014;1;1107
ROBO A DOMICILIO;LOJA;LOJA;Ene;2014;58;1101
ROBO A DOMICILIO;LOJA;MACARÁ;Ene;2014;1;1108
ROBO A DOMICILIO;LOJA;PUYANGO;Ene;2014;2;1110
ROBO A DOMICILIO;LOS RÍOS;BABA;Ene;2014;3;1202
ROBO A DOMICILIO;LOS RÍOS;BABAHOYO;Ene;2014;19;1201
ROBO A DOMICILIO;LOS RÍOS;BUENA FÉ;Ene;2014;9;1210
ROBO A DOMICILIO;LOS RÍOS;MOCACHE;Ene;2014;2;1212
ROBO A DOMICILIO;LOS RÍOS;MONTALVO;Ene;2014;2;1203
ROBO A DOMICILIO;LOS RÍOS;PUEBLOVIEJO;Ene;2014;6;1204
ROBO A DOMICILIO;LOS RÍOS;QUEVEDO;Ene;2014;25;1205
ROBO A DOMICILIO;LOS RÍOS;QUINSALOMA;Ene;2014;2;1213
ROBO A DOMICILIO;LOS RÍOS;VALENCIA;Ene;2014;3;1211
ROBO A DOMICILIO;LOS RÍOS;VENTANAS;Ene;2014;8;1207
ROBO A DOMICILIO;LOS RÍOS;VINCES;Ene;2014;4;1208
ROBO A DOMICILIO;MANABÍ;24 DE MAYO;Ene;2014;1;1316
ROBO A DOMICILIO;MANABÍ;BOLÍVAR;Ene;2014;1;1302
ROBO A DOMICILIO;MANABÍ;CHONE;Ene;2014;10;1303
ROBO A DOMICILIO;MANABÍ;EL CARMEN;Ene;2014;8;1304
ROBO A DOMICILIO;MANABÍ;FLAVIO ALFARO;Ene;2014;1;1305
ROBO A DOMICILIO;MANABÍ;JARAMIJÓ;Ene;2014;5;1321
ROBO A DOMICILIO;MANABÍ;JIPIJAPA;Ene;2014;2;1306
ROBO A DOMICILIO;MANABÍ;JUNÍN;Ene;2014;1;1307
ROBO A DOMICILIO;MANABÍ;MANTA;Ene;2014;26;1308
ROBO A DOMICILIO;MANABÍ;MONTECRISTI;Ene;2014;3;1309
ROBO A DOMICILIO;MANABÍ;PAJÁN;Ene;2014;3;1310
ROBO A DOMICILIO;MANABÍ;PEDERNALES;Ene;2014;2;1317
ROBO A DOMICILIO;MANABÍ;PORTOVIEJO;Ene;2014;38;1301
ROBO A DOMICILIO;MANABÍ;PUERTO LÓPEZ;Ene;2014;1;1319
ROBO A DOMICILIO;MANABÍ;ROCAFUERTE;Ene;2014;1;1312
ROBO A DOMICILIO;MANABÍ;SANTA ANA;Ene;2014;1;1313
ROBO A DOMICILIO;MANABÍ;SUCRE;Ene;2014;3;1314
ROBO A DOMICILIO;MANABÍ;TOSAGUA;Ene;2014;4;1315
ROBO A DOMICILIO;MORONA SANTIAGO;GUALAQUIZA;Ene;2014;8;1402
ROBO A DOMICILIO;MORONA SANTIAGO;MORONA;Ene;2014;4;1401
ROBO A DOMICILIO;MORONA SANTIAGO;PALORA;Ene;2014;3;1404
ROBO A DOMICILIO;MORONA SANTIAGO;SAN JUAN BOSCO;Ene;2014;1;1408
ROBO A DOMICILIO;MORONA SANTIAGO;SANTIAGO;Ene;2014;4;1405
ROBO A DOMICILIO;MORONA SANTIAGO;SUCÚA;Ene;2014;2;1406
ROBO A DOMICILIO;NAPO;ARCHIDONA;Ene;2014;1;1503
ROBO A DOMICILIO;NAPO;CARLOS JULIO AROSEMENA TOLA;Ene;2014;1;1509
ROBO A DOMICILIO;NAPO;QUIJOS;Ene;2014;2;1507
ROBO A DOMICILIO;NAPO;TENA;Ene;2014;5;1501
ROBO A DOMICILIO;ORELLANA;LA JOYA DE LOS SACHAS;Ene;2014;10;2203
ROBO A DOMICILIO;ORELLANA;LORETO;Ene;2014;4;2204
ROBO A DOMICILIO;ORELLANA;ORELLANA;Ene;2014;28;2201
