NOM_PROV,COD_PROV,NOM_CANT,COD_CANT,PRODUCCION,CONSUMO_INTERMEDIO,VAB,YEAR,TIPO
AZUAY,01,Cuenca,0101,3934099.93270499,1829344.77335018,2104755.1593548,2007,Definitivo
AZUAY,01,Girón,0102,43624.3603523994,18116.1254948076,25508.2348575918,2007,Definitivo
AZUAY,01,Gualaceo,0103,145112.625250564,58750.4798660121,86362.1453845519,2007,Definitivo
AZUAY,01,Nabón,0104,55953.1992466489,23876.8403856736,32076.3588609752,2007,Definitivo
AZUAY,01,Paute,0105,119138.0980439,50771.031118012,68367.0669258884,2007,Definitivo
AZUAY,01,Pucará,0106,23776.8412116948,9675.46766644374,14101.3735452511,2007,Definitivo
AZUAY,01,San Fernando,0107,16599.7911176425,6992.44269543766,9607.34842220482,2007,Definitivo
AZUAY,01,Santa Isabel,0108,67253.9676612691,27638.7026924326,39615.2649688365,2007,Definitivo
AZUAY,01,Sigsig,0109,82281.9894245475,34018.7217381298,48263.2676864177,2007,Definitivo
AZUAY,01,Oña,0110,10756.9733801408,4495.09325191211,6261.8801282287,2007,Definitivo
AZUAY,01,Chordeleg,0111,36017.9197052948,14454.4261139674,21563.4935913275,2007,Definitivo
AZUAY,01,El Pan,0112,12806.8899557245,5605.18477323912,7201.70518248542,2007,Definitivo
AZUAY,01,Sevilla De Oro,0113,259134.798804335,188450.77881457,70684.0199897648,2007,Definitivo
AZUAY,01,Guachapala,0114,20067.6531899483,8884.65680638096,11182.9963835674,2007,Definitivo
AZUAY,01,Camilo Ponce Enríquez,0115,45877.7824013519,18419.4261217689,27458.356279583,2007,Definitivo
BOLÍVAR,02,Guaranda,0201,238780.610702122,92312.6483505087,146467.962351614,2007,Definitivo
BOLÍVAR,02,Chillanes,0202,30476.2442875377,11315.7406201332,19160.5036674044,2007,Definitivo
BOLÍVAR,02,Chimbo,0203,26590.0011676574,10141.9459907588,16448.0551768986,2007,Definitivo
BOLÍVAR,02,Echeandía,0204,37879.4495402999,14648.6841307055,23230.7654095943,2007,Definitivo
BOLÍVAR,02,San Miguel,0205,59273.4107218757,22172.6304884608,37100.7802334149,2007,Definitivo
BOLÍVAR,02,Caluma,0206,38890.5701475911,15066.3355462489,23824.2346013422,2007,Definitivo
BOLÍVAR,02,Las Naves,0207,35341.8593467759,14602.6236429439,20739.235703832,2007,Definitivo
CAÑAR,03,Azogues,0301,280878.757100056,112083.180636762,168795.576463294,2007,Definitivo
CAÑAR,03,Biblián,0302,57499.0482651752,24383.9845713918,33115.0636937835,2007,Definitivo
CAÑAR,03,Cañar,0303,149820.871679776,58393.3565742491,91427.5151055272,2007,Definitivo
CAÑAR,03,La Troncal,0304,385396.584657295,177564.086375056,207832.498282238,2007,Definitivo
CAÑAR,03,El Tambo,0305,29391.2072469225,10982.7621803219,18408.4450666006,2007,Definitivo
CAÑAR,03,Déleg,0306,15313.8265473879,6221.60838888162,9092.21815850628,2007,Definitivo
CAÑAR,03,Suscal,0307,12271.3046304103,4855.56977548362,7415.73485492669,2007,Definitivo
CARCHI,04,Tulcán,0401,334479.094723923,143010.202140344,191468.89258358,2007,Definitivo
