PROVINCIA;COD_PROV;CANTON;COD_CANT;A_19;B_19;C_J_19;D_E_19;F_19;G_19;I_19;H_J_19;K_19;L_M_N_19;O_19;P_19;Q_19;R_S_T_U_19;"TOTAL_19
";A_20;B_20;C_J_20;D_E_20;F_20;G_20;I_20;H_J_20;K_20;L_M_N_20;O_20;P_20;Q_20;R_S_T_U_20;"TOTAL_20
"
AZUAY;01;Cuenca;0101; 92,902 ; 69,017 ; 902,216 ; 77,682 ; 835,958 ; 499,822 ; 142,404 ; 372,735 ; 305,127 ; 480,667 ; 499,691 ; 212,807 ; 220,835 ; 67,250 ; 4,779,114 ; 82,336 ; 75,532 ; 833,978 ;64623.74247;755672.0216;434782.3788;102069.0379;327682.3493;310425.3614;369840.812;428299.2921;207774.153;227950.1015;51049.9768;4272015.29
AZUAY;01;Girón;0102; 1,157 ; 547 ; 413 ; 748 ; 1,928 ; 1,207 ; 166 ; 2,847 ; 320 ; 2,133 ; 4,131 ; 4,258 ; 5,159 ; 188 ; 25,202 ; 691 ; 517 ; 312 ;628.0230022;1276.666484;994.6628286;79.27420502;3214.50952;472.2453371;1516.50941;3564.566557;4250.119759;7196.76615;154.6361203;24868.29744
AZUAY;01;Gualaceo;0103; 3,247 ; 146 ; 5,827 ; 2,522 ; 11,510 ; 7,240 ; 1,724 ; 6,355 ; 13,136 ; 10,551 ; 10,212 ; 16,730 ; 10,033 ; 1,333 ; 100,566 ; 3,378 ; 148 ; 3,284 ;1912.837104;10824.22529;5831.756044;1086.573283;4019.900902;12190.71383;9015.348558;6958.687004;15911.0413;10380.39677;869.1362316;85811.59608
AZUAY;01;Nabón;0104; 5,462 ; -   ; 446 ; 511 ; 1,156 ; 536 ; 115 ; 3,235 ; 1,533 ; 1,182 ; 3,027 ; 5,231 ; -   ; 310 ; 22,745 ; 5,385 ; -   ; 599 ;312.4568836;1091.145396;504.8374962;95.9068974;2043.060274;1567.397676;657.2171051;3061.019594;4838.153624;0;195.8913529;20351.0219
AZUAY;01;Paute;0105; 17,060 ; 1,272 ; 360 ; 1,273 ; 1,500 ; 5,335 ; 1,065 ; 4,733 ; 7,732 ; 6,932 ; 4,760 ; 9,892 ; 7,647 ; 423 ; 69,984 ; 8,979 ; 1,480 ; 299 ;1051.726523;965.9960291;4843.754902;1054.175355;4994.685727;7120.549344;4055.723954;4244.089006;9512.235299;8651.87534;581.330898;57834.17383
AZUAY;01;Pucará;0106; 961 ; 244 ; 155 ; 461 ; 617 ; 191 ; 96 ; 901 ; 1,255 ; 1,107 ; 2,930 ; 3,298 ; -   ; 70 ; 12,284 ; 666 ; 215 ; 91 ;295.2087577;493.1797931;173.0395485;70.76444708;610.3343528;1371.017905;735.9476651;2193.761975;3295.877306;0;74.38021468;10285.61636
AZUAY;01;San Fernando;0107; 2,675 ; -   ; 142 ; 249 ; 516 ; 110 ; 288 ; 832 ; 549 ; 563 ; 933 ; 1,086 ; -   ; 17 ; 7,959 ; 2,725 ; -   ; 131 ;119.8574031;360.7268832;94.47009419;250.9285766;560.789745;575.1569072;382.2911709;1305.974625;1057.935925;0;20.35048258;7583.754026
AZUAY;01;Santa Isabel;0108; 5,143 ; 1,808 ; 442 ; 1,183 ; 2,500 ; 4,277 ; 1,096 ; 6,163 ; 6,176 ; 3,075 ; 6,832 ; 7,077 ; 4,229 ; 231 ; 50,231 ; 4,038 ; 1,686 ; 306 ;949.488124;2371.946782;4049.329913;587.3174665;5154.086416;5755.601155;2695.590554;5358.633865;6887.084119;6056.776148;276.5407238;46171.98479
AZUAY;01;Sigsig;0109; 7,554 ; -   ; 655 ; 710 ; 3,840 ; 1,290 ; 196 ; 3,474 ; 5,324 ; 4,139 ; 6,926 ; 9,628 ; 5,614 ; 465 ; 49,815 ; 5,813 ; -   ; 574 ;644.3548915;3822.859463;1052.650133;101.3115792;2887.208915;5303.172713;3170.714555;4883.409148;9018.706877;6705.550946;342.4702815;44319.11812
AZUAY;01;Oña;0110; 1,275 ; -   ; 113 ; 106 ; 484 ; 229 ; 135 ; 1,175 ; 412 ; 294 ; 1,199 ; 1,288 ; -   ; 45 ; 6,756 ; 747 ; -   ; 96 ;121.5869521;321.442009;185.2657279;111.7744867;1191.029296;421.4005917;223.8210352;1072.78145;1236.446205;0;47.9746967;5776.253047
