"V1" "V2"
"1" 174.741237 -37.499999
"2" 174.741237 -37.498318
"3" 174.740357 -37.497438
"4" 174.740357 -37.496558
"5" 174.739477 -37.495972
"6" 174.739477 -37.495091
"7" 174.73889 -37.494211
"8" 174.73889 -37.493331
"9" 174.73801 -37.492451
"10" 174.73801 -37.491571
"11" 174.73713 -37.490985
"12" 174.73713 -37.490104
"13" 174.73625 -37.489224
"14" 174.73625 -37.487464
"15" 174.73537 -37.486584
"16" 174.73537 -37.484237
"17" 174.73449 -37.483357
"18" 174.73449 -37.482477
"19" 174.73361 -37.481597
"20" 174.733903 -37.480717
"21" 174.731556 -37.478664
"22" 174.730676 -37.478664
"23" 174.730383 -37.47837
"24" 174.730383 -37.47749
"25" 174.731263 -37.47661
"26" 174.731263 -37.475143
"27" 174.730676 -37.474557
"28" 174.728329 -37.474557
"29" 174.726276 -37.472503
"30" 174.726276 -37.471623
"31" 174.725396 -37.470743
"32" 174.725396 -37.470156
"33" 174.723635 -37.468396
"34" 174.723635 -37.467516
"35" 174.724516 -37.466636
"36" 174.724516 -37.465756
"37" 174.725396 -37.464876
"38" 174.725396 -37.464289
"39" 174.724222 -37.462823
"40" 174.720702 -37.463116
"41" 174.719529 -37.461649
"42" 174.719529 -37.459889
"43" 174.718648 -37.459302
"44" 174.718648 -37.456662
"45" 174.719529 -37.455782
"46" 174.719529 -37.454902
"47" 174.718648 -37.454022
"48" 174.718648 -37.453435
"49" 174.717768 -37.452555
"50" 174.717768 -37.450795
"51" 174.717182 -37.449915
"52" 174.717182 -37.449035
"53" 174.714541 -37.446688
"54" 174.714541 -37.445808
"55" 174.711608 -37.442874
"56" 174.710728 -37.442874
"57" 174.710141 -37.441994
"58" 174.709261 -37.441994
"59" 174.706328 -37.439061
"60" 174.706328 -37.438474
"61" 174.705447 -37.437594
"62" 174.705447 -37.436714
"63" 174.704567 -37.435834
"64" 174.704567 -37.431727
"65" 174.705447 -37.430847
"66" 174.705447 -37.428207
"67" 174.704567 -37.42762
"68" 174.705447 -37.42674
"69" 174.705447 -37.42498
"70" 174.704567 -37.4241
"71" 174.704567 -37.42322
"72" 174.703687 -37.422633
"73" 174.703687 -37.421753
"74" 174.702807 -37.420873
"75" 174.702807 -37.416766
"76" 174.703687 -37.415886
"77" 174.703687 -37.415006
"78" 174.705447 -37.413246
"79" 174.705447 -37.412659
"80" 174.706328 -37.411779
"81" 174.706328 -37.410899
"82" 174.707208 -37.410019
"83" 174.706328 -37.409139
"84" 174.706328 -37.404152
"85" 174.707208 -37.403272
"86" 174.707208 -37.402392
"87" 174.707501 -37.402098
"88" 174.708381 -37.402098
"89" 174.711315 -37.399165
"90" 174.711315 -37.393298
"91" 174.710435 -37.392417
"92" 174.710435 -37.390071
"93" 174.709554 -37.389191
"94" 174.709554 -37.385964
"95" 174.708674 -37.385084
"96" 174.708674 -37.382443
"97" 174.710728 -37.38039
"98" 174.711608 -37.38039
"99" 174.712488 -37.37951
"100" 174.714248 -37.37951
"101" 174.715128 -37.38039
"102" 174.717475 -37.38039
"103" 174.724516 -37.38743
"104" 174.723635 -37.388311
"105" 174.723635 -37.389191
"106" 174.725102 -37.390364
"107" 174.729209 -37.390364
"108" 174.731263 -37.388311
"109" 174.731263 -37.38655
"110" 174.732436 -37.385377
"111" 174.735076 -37.385377
"112" 174.735956 -37.386257
"113" 174.74329 -37.386257
"114" 174.74417 -37.385377
"115" 174.74505 -37.385377
"116" 174.745344 -37.385084
"117" 174.745344 -37.384204
"118" 174.746224 -37.383323
"119" 174.746224 -37.382443
"120" 174.747104 -37.381563
"121" 174.747104 -37.378336
"122" 174.753851 -37.371589
"123" 174.753558 -37.371003
"124" 174.755904 -37.368656
"125" 174.756785 -37.368656
"126" 174.757078 -37.368362
"127" 174.757078 -37.367482
"128" 174.757371 -37.367189
"129" 174.759131 -37.367189
"130" 174.760891 -37.365429
"131" 174.761772 -37.365429
"132" 174.763238 -37.363669
"133" 174.764118 -37.363669
"134" 174.766172 -37.361615
"135" 174.766172 -37.361029
"136" 174.768812 -37.358388
"137" 174.768812 -37.357508
"138" 174.769692 -37.356628
"139" 174.769692 -37.355748
"140" 174.770572 -37.354868
"141" 174.770279 -37.354281
"142" 174.771159 -37.353401
"143" 174.771159 -37.352521
"144" 174.771746 -37.352228
"145" 174.772332 -37.351935
"146" 174.774092 -37.350468
"147" 174.774679 -37.349294
"148" 174.774972 -37.346948
"149" 174.773799 -37.345774
"150" 174.772626 -37.344601
"151" 174.772039 -37.344307
"152" 174.772039 -37.343427
"153" 174.771746 -37.340494
"154" 174.771159 -37.339907
"155" 174.770866 -37.339614
"156" 174.769985 -37.339027
"157" 174.767932 -37.33932
"158" 174.767052 -37.339614
"159" 174.765585 -37.3402
"160" 174.761772 -37.341961
"161" 174.760011 -37.342254
"162" 174.756785 -37.342254
"163" 174.755904 -37.341961
"164" 174.753264 -37.341961
"165" 174.751797 -37.341961
"166" 174.751211 -37.341667
"167" 174.751211 -37.339907
"168" 174.749157 -37.339614
"169" 174.747397 -37.339614
"170" 174.746517 -37.339907
"171" 174.745637 -37.3402
"172" 174.744464 -37.340787
"173" 174.743877 -37.341667
"174" 174.743584 -37.347534
"175" 174.74505 -37.348708
"176" 174.74593 -37.348708
"177" 174.747984 -37.350761
"178" 174.747984 -37.354281
"179" 174.747104 -37.355161
"180" 174.747104 -37.356628
"181" 174.748864 -37.358388
"182" 174.748864 -37.359268
"183" 174.749451 -37.359855
"184" 174.748864 -37.360735
"185" 174.748864 -37.361615
"186" 174.748277 -37.362202
"187" 174.747397 -37.362202
"188" 174.747104 -37.362495
"189" 174.747104 -37.364255
"190" 174.746224 -37.365136
"191" 174.747104 -37.365722
"192" 174.747104 -37.368362
"193" 174.74505 -37.370416
"194" 174.74417 -37.370416
"195" 174.742997 -37.371589
"196" 174.742997 -37.372469
"197" 174.74241 -37.373056
"198" 174.741823 -37.373056
"199" 174.741237 -37.373349
"200" 174.741237 -37.374229
"201" 174.739183 -37.376283
"202" 174.737423 -37.376283
"203" 174.735956 -37.378043
"204" 174.735076 -37.378043
"205" 174.734196 -37.37863
"206" 174.733316 -37.378923
"207" 174.731556 -37.38039
"208" 174.730969 -37.38039
"209" 174.730089 -37.38127
"210" 174.723342 -37.38127
"211" 174.722462 -37.38039
"212" 174.721582 -37.38039
"213" 174.720702 -37.37951
"214" 174.720115 -37.37951
"215" 174.719529 -37.379217
"216" 174.719529 -37.378336
"217" 174.717182 -37.375696
"218" 174.716888 -37.374229
"219" 174.716302 -37.373349
"220" 174.716302 -37.372469
"221" 174.715422 -37.371589
"222" 174.715422 -37.370709
"223" 174.714541 -37.370123
"224" 174.714541 -37.369242
"225" 174.713075 -37.367482
"226" 174.712781 -37.366602
"227" 174.711608 -37.365429
"228" 174.710728 -37.365429
"229" 174.710141 -37.364549
"230" 174.709261 -37.364549
"231" 174.708381 -37.363669
"232" 174.706621 -37.363669
"233" 174.705741 -37.362789
"234" 174.704861 -37.362789
"235" 174.704274 -37.362202
"236" 174.702514 -37.362202
"237" 174.701634 -37.361322
"238" 174.700754 -37.361322
"239" 174.699874 -37.360442
"240" 174.698407 -37.360442
"241" 174.697527 -37.359562
"242" 174.696647 -37.359562
"243" 174.695767 -37.358682
"244" 174.694887 -37.358682
"245" 174.689606 -37.353401
"246" 174.689606 -37.351641
"247" 174.688726 -37.350761
"248" 174.688726 -37.349294
"249" 174.687846 -37.348414
"250" 174.687846 -37.346654
"251" 174.686966 -37.345774
"252" 174.68726 -37.345187
"253" 174.686379 -37.344307
"254" 174.686086 -37.343427
"255" 174.685499 -37.342547
"256" 174.685499 -37.341667
"257" 174.684619 -37.340787
"258" 174.684619 -37.339907
"259" 174.683739 -37.33932
"260" 174.683739 -37.33492
"261" 174.680512 -37.331693
"262" 174.680512 -37.330813
"263" 174.679632 -37.329933
"264" 174.679632 -37.329053
"265" 174.678752 -37.328466
"266" 174.678752 -37.327586
"267" 174.677872 -37.326706
"268" 174.677872 -37.324946
"269" 174.676992 -37.324066
"270" 174.676992 -37.323479
"271" 174.675525 -37.321719
"272" 174.675525 -37.320839
"273" 174.674645 -37.319959
"274" 174.674645 -37.319079
"275" 174.673765 -37.318492
"276" 174.673765 -37.317612
"277" 174.672885 -37.316732
"278" 174.672885 -37.314972
"279" 174.672005 -37.314092
"280" 174.672005 -37.313212
"281" 174.671418 -37.312625
"282" 174.671125 -37.311745
"283" 174.670538 -37.310865
"284" 174.670245 -37.309105
"285" 174.669658 -37.308225
"286" 174.669658 -37.307638
"287" 174.668778 -37.306758
"288" 174.668778 -37.305878
"289" 174.667898 -37.304998
"290" 174.667898 -37.304118
"291" 174.667018 -37.303238
"292" 174.667018 -37.302358
"293" 174.666138 -37.301771
"294" 174.666138 -37.300011
"295" 174.665551 -37.299131
"296" 174.665551 -37.298251
"297" 174.664671 -37.297371
"298" 174.664671 -37.296784
"299" 174.663791 -37.295904
"300" 174.663791 -37.295024
"301" 174.661151 -37.292384
"302" 174.661151 -37.291797
"303" 174.660271 -37.290917
"304" 174.660564 -37.290037
"305" 174.659684 -37.289157
"306" 174.659684 -37.288277
"307" 174.657924 -37.28681
"308" 174.657924 -37.28593
"309" 174.657044 -37.28505
"310" 174.657044 -37.28417
"311" 174.656164 -37.28329
"312" 174.656164 -37.28241
"313" 174.654697 -37.280943
"314" 174.654697 -37.280063
"315" 174.653817 -37.279183
"316" 174.653817 -37.277423
"317" 174.652937 -37.276542
"318" 174.652937 -37.275956
"319" 174.652057 -37.275076
"320" 174.652057 -37.272436
"321" 174.651177 -37.271555
"322" 174.651177 -37.270969
"323" 174.650297 -37.270089
"324" 174.65059 -37.268329
"325" 174.64971 -37.267448
"326" 174.649417 -37.266862
"327" 174.64883 -37.265982
"328" 174.64883 -37.264222
"329" 174.64795 -37.263342
"330" 174.64795 -37.262461
"331" 174.64619 -37.260995
"332" 174.64619 -37.260115
"333" 174.642963 -37.256594
"334" 174.642963 -37.255714
"335" 174.641203 -37.254248
"336" 174.641203 -37.253367
"337" 174.639443 -37.251607
"338" 174.639443 -37.250727
"339" 174.638856 -37.250141
"340" 174.638856 -37.249261
"341" 174.637976 -37.24838
"342" 174.637976 -37.24662
"343" 174.637096 -37.24574
"344" 174.637096 -37.24486
"345" 174.635336 -37.243393
"346" 174.635336 -37.242513
"347" 174.634456 -37.241633
"348" 174.634456 -37.240753
"349" 174.633576 -37.239873
"350" 174.633869 -37.239286
"351" 174.629469 -37.234886
"352" 174.629469 -37.234299
"353" 174.628002 -37.232539
"354" 174.628002 -37.231659
"355" 174.627122 -37.230779
"356" 174.627122 -37.229899
"357" 174.626242 -37.229312
"358" 174.626242 -37.228432
"359" 174.625362 -37.227552
"360" 174.625362 -37.226672
"361" 174.623895 -37.224912
"362" 174.623895 -37.224325
"363" 174.623015 -37.223445
"364" 174.623015 -37.222565
"365" 174.622135 -37.221685
"366" 174.622135 -37.220805
"367" 174.621255 -37.219925
"368" 174.621255 -37.219045
"369" 174.619495 -37.217578
"370" 174.619495 -37.216698
"371" 174.618615 -37.215818
"372" 174.618615 -37.214938
"373" 174.618028 -37.214058
"374" 174.618028 -37.213471
"375" 174.617148 -37.212591
"376" 174.617148 -37.210831
"377" 174.616268 -37.209951
"378" 174.616268 -37.209364
"379" 174.615388 -37.208191
"380" 174.615388 -37.206724
"381" 174.613041 -37.204084
"382" 174.612748 -37.203497
"383" 174.613921 -37.202617
"384" 174.613921 -37.201737
"385" 174.612454 -37.200564
"386" 174.611574 -37.20027
"387" 174.610401 -37.199097
"388" 174.610401 -37.198217
"389" 174.609521 -37.19763
"390" 174.609521 -37.19675
"391" 174.608641 -37.19587
"392" 174.608641 -37.19499
"393" 174.606294 -37.192643
"394" 174.606294 -37.190883
"395" 174.604534 -37.189123
"396" 174.604534 -37.187656
"397" 174.603654 -37.186776
"398" 174.603654 -37.185016
"399" 174.603067 -37.184136
"400" 174.603067 -37.183256
"401" 174.601307 -37.181789
"402" 174.601307 -37.180909
"403" 174.600427 -37.180029
"404" 174.600427 -37.179149
"405" 174.599547 -37.178269
"406" 174.599547 -37.177389
"407" 174.59808 -37.175922
"408" 174.59808 -37.174162
"409" 174.59632 -37.172402
"410" 174.59632 -37.170935
"411" 174.59544 -37.170055
"412" 174.59544 -37.169175
"413" 174.59456 -37.168295
"414" 174.59456 -37.167415
"415" 174.593679 -37.166828
"416" 174.593679 -37.165948
"417" 174.592799 -37.165068
"418" 174.592799 -37.164188
"419" 174.591919 -37.163308
"420" 174.592213 -37.162428
"421" 174.589573 -37.160081
"422" 174.589573 -37.159201
"423" 174.588692 -37.158321
"424" 174.588692 -37.157441
"425" 174.588106 -37.156561
"426" 174.587812 -37.155094
"427" 174.585466 -37.152454
"428" 174.585466 -37.151574
"429" 174.584585 -37.150693
"430" 174.584585 -37.150107
"431" 174.582825 -37.148347
"432" 174.582825 -37.147467
"433" 174.578718 -37.14336
"434" 174.578718 -37.14248
"435" 174.577252 -37.140719
"436" 174.576958 -37.139839
"437" 174.576078 -37.139253
"438" 174.576372 -37.138373
"439" 174.575492 -37.137492
"440" 174.575492 -37.134266
"441" 174.573438 -37.132212
"442" 174.572558 -37.132212
"443" 174.569624 -37.129279
"444" 174.569624 -37.128399
"445" 174.568744 -37.127518
"446" 174.568744 -37.125758
"447" 174.567864 -37.125172
"448" 174.567864 -37.124292
"449" 174.566984 -37.123411
"450" 174.566984 -37.122531
"451" 174.566104 -37.121651
"452" 174.566398 -37.120771
"453" 174.565517 -37.119891
"454" 174.565517 -37.119305
"455" 174.563757 -37.117544
"456" 174.563757 -37.116664
"457" 174.562877 -37.115784
"458" 174.562877 -37.114904
"459" 174.561997 -37.114317
"460" 174.561997 -37.113437
"461" 174.56053 -37.111677
"462" 174.560237 -37.110797
"463" 174.55701 -37.10757
"464" 174.55701 -37.10669
"465" 174.554663 -37.10405
"466" 174.554663 -37.101703
"467" 174.553783 -37.100823
"468" 174.553783 -37.099943
"469" 174.552023 -37.098476
"470" 174.552023 -37.096716
"471" 174.550556 -37.094956
"472" 174.550263 -37.094076
"473" 174.547036 -37.090849
"474" 174.547036 -37.089969
"475" 174.545276 -37.088209
"476" 174.545276 -37.086742
"477" 174.544689 -37.085862
"478" 174.544689 -37.084982
"479" 174.543809 -37.084102
"480" 174.543809 -37.082635
"481" 174.542929 -37.081755
"482" 174.542929 -37.079995
"483" 174.542049 -37.079115
"484" 174.542049 -37.078235
"485" 174.541169 -37.077648
"486" 174.541169 -37.075888
"487" 174.540289 -37.075008
"488" 174.540582 -37.072368
"489" 174.539409 -37.071781
"490" 174.539409 -37.068261
"491" 174.538822 -37.067674
"492" 174.538822 -37.05594
"493" 174.539409 -37.05506
"494" 174.539702 -37.05418
"495" 174.544103 -37.04978
"496" 174.544983 -37.049486
"497" 174.545863 -37.048899
"498" 174.546743 -37.048606
"499" 174.547623 -37.048019
"500" 174.54821 -37.048019
"501" 174.54909 -37.047139
"502" 174.54997 -37.047139
"503" 174.55085 -37.046259
"504" 174.561704 -37.046259
"505" 174.563464 -37.044499
"506" 174.564051 -37.044499
"507" 174.564931 -37.043912
"508" 174.565811 -37.043912
"509" 174.566691 -37.043032
"510" 174.569038 -37.043032
"511" 174.570798 -37.044499
"512" 174.573438 -37.044499
"513" 174.574318 -37.043912
"514" 174.580772 -37.043619
"515" 174.583412 -37.046259
"516" 174.584292 -37.046259
"517" 174.585759 -37.048019
"518" 174.589866 -37.048019
"519" 174.590746 -37.047139
"520" 174.596613 -37.047139
"521" 174.597493 -37.046259
"522" 174.6016 -37.046259
"523" 174.603067 -37.047433
"524" 174.603067 -37.048313
"525" 174.60424 -37.049486
"526" 174.614214 -37.049486
"527" 174.615094 -37.048606
"528" 174.615681 -37.048606
"529" 174.616561 -37.048019
"530" 174.617441 -37.048019
"531" 174.618321 -37.047139
"532" 174.619201 -37.047139
"533" 174.629175 -37.037165
"534" 174.631522 -37.037165
"535" 174.635042 -37.040392
"536" 174.635923 -37.040392
"537" 174.636803 -37.041272
"538" 174.637389 -37.041272
"539" 174.640029 -37.043619
"540" 174.64091 -37.043619
"541" 174.641496 -37.044499
"542" 174.645016 -37.044499
"543" 174.645897 -37.043912
"544" 174.657631 -37.043619
"545" 174.658217 -37.044499
"546" 174.659098 -37.044499
"547" 174.665551 -37.050953
"548" 174.665551 -37.05154
"549" 174.667898 -37.05418
"550" 174.667898 -37.05594
