Comuna,tasa_vifm,tasa_vif,dens_pob_antigua,ing_alcohol,aep,ID,Comuna1,No_Básica,Total_Poblacional,Porc_no_Básica,porc_hacin_medio,Porc_allegamiento,superficie,densidad_2022,porc_pobreza_ingresos_2022
Alhué,875.9,19.749718151071,9.17869822485207,1222,9.9,13502,ALHUﾉ,357,4435,8.05,6,0.95,844,5.3,9.61
Buin,482.3,0.760497642662294,542.205607476635,861,11,13402,BUIN,1528,63419,2.41,6,1.57,217,292.3,4.45
Calera de Tango,339.3,1.86070743076501,407.639836289222,0,11.3,13403,CALERA DE TANGO,424,18235,2.33,7,1.26,73,249.8,3.48
Cerrillos,425.1,0.59118849609212,4288.57142857143,6683,11,13102,CERRILLOS,1202,71906,1.67,8,2.35,16.8,4280.1,5.23
Cerro Navia,458.6,0.309213010410486,12780.0909090909,740,9.9,13103,CERRO NAVIA,3631,148312,2.45,11,4.48,11.2,13242.1,6.01
Colina,422.1,0.542440403521172,199.334843492586,2311,11.4,13301,COLINA,2045,77815,2.63,6,1.23,970,80.2,5.11
Conchalí,390.2,0.292819835504593,12867.1028037383,365,10.8,13104,CONCHALI,2397,133256,1.8,8,4.46,11.1,12005,6.08
Curacaví,560.3,2.305951107087,54.7359307359307,776,10.7,13503,CURACAVﾍ,831,24298,3.42,7,1.22,694,35,6
El Bosque,370.3,0.210884198776724,12009.5774647887,388,10.5,13105,EL BOSQUE,3058,175594,1.74,9,2.61,14.2,12365.8,6.2
El Monte,706.7,2.67092482709097,353.483050847458,1650,10.2,13602,EL MONTE,800,26459,3.02,9,1.15,115,230.1,7.08
Estación Central,396.9,0.30438517109683,14659.8,91,11.5,13106,ESTACION CENTRAL,1773,130394,1.36,9,4.2,14.4,9055.1,5.04
Huechuraba,415.2,0.560550830295666,2614.30803571429,509,11.9,13107,HUECHURABA,1266,74070,1.71,7,2.63,45,1646,4.28
Independencia,291.9,0.44579178057087,21698.5714285714,1724,12,13108,INDEPENDENCIA,698,65479,1.07,12,4.37,7.4,8848.5,5.83
Isla de Maipo,607,2.35289557330026,221.566137566138,92,10.4,13603,ISLA DE MAIPO,762,25798,2.95,7,0.97,189,136.5,6.42
La Cisterna,409.6,0.481214314246106,10137.7,1021,11.9,13109,LA CISTERNA,1240,85118,1.46,5,2.13,10.1,8427.5,4.09
La Florida,365.1,0.0998430295837276,5794.81481481481,3706,12,13110,LA FLORIDA,3977,365674,1.09,5,2.11,70.9,5157.6,3.53
La Granja,476.2,0.359341986115303,12024.9,345,10.4,13111,LA GRANJA,2492,132520,1.88,10,3.04,10.1,13120.8,6.03
Lampa,504.9,1.25509595306752,308.110619469027,1192,11.1,13302,LAMPA,1323,40228,3.29,7,1.1,450,89.4,4.95
La Pintana,505,0.266803326324243,6181.40522875817,837,9.6,13112,LA PINTANA,4421,189278,2.34,12,3.04,30.5,6205.8,9.29
La Reina,279.6,0.288956408507472,4334.17391304348,1374,13.9,13113,LA REINA,760,96762,0.79,3,2.03,23.4,4135.1,1.6
Las Condes,141.2,0.0565041837906624,3446.29292929293,7293,14.9,13114,LAS CONDES,1212,249893,0.49,2,1.3,99.1,2521.6,0.91
Lo Barnechea,217.2,0.290572449129754,126.748046875,0,13.6,13115,LO BARNECHEA,818,74749,1.09,3,1.35,1023,73.1,0.9
Lo Espejo,418.4,0.370921985815603,14516.4285714286,498,9.9,13116,LO ESPEJO,2553,112800,2.26,10,4.83,8.1,13925.9,6.78
Lo Prado,609.3,0.584090647647533,14703.2857142857,1308,10.6,13117,LO PRADO,1657,104316,1.59,9,3.68,6.6,15805.5,5.33
Macul,292.5,0.259919136268716,10677.1317829457,4095,12.3,13118,MACUL,1497,112535,1.33,5,2.49,12.8,8791.8,3.47
Maipú,379.7,0.0810649245287047,4327.21033210332,24746,11.9,13119,MAIPU,4072,468390,0.87,5,1.69,137.6,3404,3.25
María Pinto,463.4,4.48032485739147,39.3977128335451,940,9.8,13504,MARﾍA PINTO,420,10343,4.06,7,1.51,394,26.3,7.31
Melipilla,680.7,0.720012693039983,109.498141263941,2421,10.3,13501,MELIPILLA,2936,94540,3.11,7,1.27,1352,69.9,7.57
Ñuñoa,210.6,0.128798674095321,15581.0059171598,0,14.4,13120,ﾑUﾑOA,889,163511,0.54,3,1.65,16.9,9675.2,1.49
Padre Hurtado,837.5,2.16028683450268,989.170792079208,1016,10.9,13604,PADRE HURTADO,963,38768,2.48,7,1.78,81,478.6,3.66
Paine,476.9,0.953266170944271,106.169512195122,1087,10.4,13404,PAINE,1332,50028,2.66,7,1.35,677,73.9,5.87
Pedro Aguirre Cerda,387.8,0.338512569832402,10548.3,9613,10.6,13121,PEDRO AGUIRRE CERDA,1972,114560,1.72,9,4.18,8.8,13018.2,5.47
Peñaflor,563.8,0.846305108152329,1528.95652173913,1516,11.2,13605,PEﾑAFLOR,1199,66619,1.8,8,1.23,69,965.5,7.33
Peñalolén,403.8,0.186892529852819,5034.33333333333,2575,11.4,13122,PEﾑALOLEN,3807,216060,1.76,7,2.84,53.6,4031,3.24
Pirque,443.6,2.67793540597646,72.7868852459016,53703,11.6,13202,PIRQUE,369,16565,2.23,6,1.06,445,37.2,2.74
Providencia,224.1,0.185399672386121,11387.2027972028,0,15.3,13123,PROVIDENCIA,495,120874,0.41,2,2.34,14.3,8452.7,1.32
Pudahuel,571.7,0.292200988484715,1320.45177664975,21601,11.2,13124,PUDAHUEL,3044,195653,1.56,7,2.63,197.3,991.7,4.37
Puente Alto,463.5,0.0938787414779977,7549.65909090909,4387,11.4,13201,PUENTE ALTO,6788,493722,1.37,7,1.51,88.2,5597.8,5.04
Quilicura,318.6,0.2518218751482,4679.05172413793,3085,11.3,13125,QUILICURA,1407,126518,1.11,7,1.71,57.3,2208,5.22
Quinta Normal,543.4,0.52243971849402,10843.3846153846,13315,11.4,13126,QUINTA NORMAL,1470,104012,1.41,8,3.63,11.7,8889.9,2.15
Recoleta,296.1,0.199770611253542,12254.5625,851,11.1,13127,RECOLETA,2591,148220,1.75,10,4.4,15.8,9381,5.14
Renca,387,0.289848559744754,6785.58333333333,2719,10.3,13128,RENCA,2440,133518,1.83,10,2.84,23.7,5633.7,5.26
San Bernardo,469.3,0.190183253499323,2229.56774193548,4760,10.8,13401,SAN BERNARDO,4247,246762,1.72,8,2.13,153,1612.8,5.99
San Joaquín,399.2,0.408911651728553,10661.8556701031,2104,11.1,13129,SAN JOAQUIN,1555,97625,1.59,9,4.63,9.8,9961.7,4.84
