id;can;pob;asi_sec;emb_adol;tot_hog;hog_comp;r_hogcom
2403;SALINAS;61.04703281;64.47009183;19.59334566;16629;3039;0.18
2402;LA LIBERTAD;66.97691031;66.67522685;16.99346405;24043;3822;0.16
2401;SANTA ELENA;80.83920003;61.0042735;18.05749372;35522;3402;0.1
2301;SANTO DOMINGO;74.36434438;62.42522881;19.92864424;95221;20506;0.22
2204;LORETO;93.50365657;55.18032787;20.28526149;4249;382;0.09
2203;LA JOYA DE LOS SACHAS;88.10751808;62.11557297;21.34955752;9032;1275;0.14
2202;AGUARICO;93.24082364;43.75;17.26618705;899;88;0.1
2201;ORELLANA;80.33568378;62.8440367;21.41772152;17315;3494;0.2
2107;CUYABENO;94.46149126;60.53475936;22.15189873;1556;193;0.12
2106;CASCALES;84.78759519;62.90531777;20.19543974;2459;290;0.12
2105;SUCUMBÍOS;78.82457177;72.39819005;25;875;131;0.15
2104;SHUSHUFINDI;87.64800989;63.56192426;23.19277108;10212;1393;0.14
2103;PUTUMAYO;91.55061318;47.49421743;19.40298508;2217;134;0.06
2102;GONZALO PIZARRO;81.02048237;69.30860034;19.52380952;2026;367;0.18
2101;LAGO AGRIO;86.88602084;64.40034785;20.85213033;23711;4627;0.2
1909;PAQUISHA;89.71816284;62.15213358;24.76190476;861;90;0.1
1908;PALANDA;84.61920736;62.93176074;21.83908046;1828;189;0.1
1907;CENTINELA DEL CÓNDOR;74.41860465;70.20810515;22.36024845;1426;256;0.18
1906;EL PANGUI;75.42146262;58.65963855;22.07792208;1996;302;0.15
1905;YANTZAZA;73.30432418;70.75436641;22.24576271;4340;873;0.2
1904;YACUAMBI;89.89014761;57.17647059;28.36879433;1302;139;0.11
1903;NANGARITZA;77.35629959;61.17969822;25;1161;140;0.12
1902;CHINCHIPE;80.49665495;69.90144049;22.07207207;2202;259;0.12
1901;ZAMORA;60.52491504;73.67192061;21.89922481;6255;1863;0.3
1809;TISALEO;80.44033974;71.38830162;16.75126904;3337;381;0.11
1808;SANTIAGO DE PÍLLARO;71.03349032;74.12460209;15.27559055;11091;1410;0.13
