DPA_CANTON,prom_consumo,prom_micro,prom_productivo
0101,4694.1842822464,7656.7865199497,66254.5151234257
0102,8599.11207889793,6284.99313570488,
0103,6897.51006077488,5616.16606495077,44457.6190740741
0104,8819.46212086659,7376.71299393939,
0105,6789.49660649087,6417.41843092666,66308.4067647059
0106,8381.22364341085,7551.22402130493,50866.6666666667
0107,6258.92236808237,3812.75436567164,
0108,6993.32840163934,6543.4470266915,54666.6666666667
0109,7673.4830589949,6754.55385249117,85333.3333333333
0110,5661.50014336918,6012.21730310263,
0111,7328.66136453527,3409.04350355357,
0112,5613.43170520231,5474.91037037037,
0113,6280.37384313726,5741.23165271967,
0114,6456.89775891341,5119.11748878924,40000
0115,4043.47921824104,6486.04777899344,7443.0620649652
0201,3750.47990173627,6034.06204953765,33340.603592233
0202,3185.800387305,2668.76479495268,
0203,3212.45193035125,4950.98005872931,
0204,3510.01257334451,6109.90287837838,35000
0205,3117.65117777163,5437.7854182383,17879.185
0206,3598.95177463504,6202.56913392857,48288.8888888889
0207,2995.37411131059,5571.66510551948,2e+05
0301,4376.74252582335,6724.14537096774,32044.507202381
0302,4253.26141158301,4423.87152420185,60321.4285714286
0303,7118.11892896628,8079.34939008419,38446.8158333333
0304,3324.63567551162,5672.15319259259,27017.9291338583
0305,7389.96810486418,5102.75238888889,42400
0306,7878.24299442897,8469.25316455696,
0307,6842.66967391304,7837.49487562189,17100
0401,3907.07086938776,5683.36432476345,55185.0061818182
0402,4608.5973040293,5609.04129527991,48262.722384106
0403,4062.23148686417,6365.74903989478,36590.6271428571
0404,3859.50025452489,5032.46602085143,
0405,4362.21629171817,4870.72701404287,132689.127391304
0406,6093.22982710927,5809.31512315271,21546
0501,3828.34962277851,7927.18706277571,31489.0991725768
0502,3351.29272528948,5354.51957348009,43476.2844274809
0503,3444.88258921162,3570.28965437074,32500
0504,4437.14559682654,7183.0886391957,32436.0416666667
0505,5590.90835470723,6993.35717496488,39304.0665333333
0506,4617.59620415879,9337.96446656299,62247.3969444445
0507,5741.96051006711,5453.52294181977,54500
0601,3575.98245952909,7741.35608400911,35262.7759115426
0602,6020.70655957162,7202.39534048577,11694.7229032258
0603,5863.41143610786,7092.33484414758,67500
0604,4865.48799398195,9800.98223244552,39769.2307692308
0605,4745.90930843707,5665.32270114943,160000
0606,6892.52572481573,6616.83716869451,
0607,5169.00176010782,9047.83519219625,82546.5578571429
0608,6249.16041584158,6710.32279401283,12500
0609,4896.56838961039,7057.95393393394,63600
0610,3378.421163567,6860.82456652361,54271.6720588235
0701,2717.72148674252,5974.19879960318,38065.6279216677
0702,3507.30056875136,5524.65249790444,135671.184545455
0703,5508.03219653179,5586.62607086198,38251.2808695652
0704,6451.29654942966,8310.56238361266,50779.4117647059
0705,2181.04947432763,5913.29034782609,
0706,2423.19740598778,6653.18386725178,11114.665732899
0707,4692.39250410846,7161.57473286052,62300.3142857143
0708,4510.55602473498,4806.35338345865,3595.23464285714
0709,3347.1510811144,6302.18745027714,33536.1535365854
0710,5391.76509170946,6386.62950083195,57565.0571590909
0711,3834.32460664703,7001.78052770449,
0712,4343.45540226206,7779.53925975325,78736.1815217391
0713,3596.8965128396,6117.28072005878,49298.6379166667
0714,4230.82368181818,7128.68792698827,51796.9627272727
0801,2305.36792317757,4912.32635270202,35565.0816352201
0802,1743.12619464835,6422.45509767442,17167.9023529412
0803,2612.77048819916,5379.40189211168,47176.0592720307
0804,1905.91075138889,5742.22299979745,52467.9029213483
0805,1134.90691888207,3466.20021445711,48974.1771428572
0806,1459.3238427464,4823.84669859515,45859.1755813954
0807,6469.98320288363,4068.1147133758,30005.53
0901,1920.21863817181,5061.89198453733,59659.1707289865
0902,1476.82376390384,4596.63027777778,1e+05
0903,1575.23624825338,6432.37366855524,40000
0904,1492.60355959137,4319.59140817901,56163.0840425532
0905,1159.46947069943,3795.18625774473,65000
0906,2185.71688530597,4767.51811243212,40955.7713212435
0907,1621.35791427925,6537.41252449889,63213.4099052133
0908,1771.30048376107,5145.71281362816,62064.8855172414
0909,2066.10854961832,5620.3445482389,41024.2608196721
0910,2211.4756530935,5319.27078074866,27002.3647444089
