CODIGO;NOM_CANT;A_2010;A_2011;A_2012;A_2013;A_2014;A_2015;A_2016;A_2017;A_2018;A_2019;A_2020;SuperficieKM2
0101;CUENCA;524563;535624;546864;558127;569416;580706;591996;603269;614539;625775;636996;3190.54
0102;GIRON;13192;13196;13197;13195;13187;13175;13157;13134;13107;13074;13037;353.75
0103;GUALACEO;44487;44994;45501;45997;46482;46954;47411;47855;48286;48702;49104;349.78
0104;NABON;16593;16686;16777;16863;16943;17017;17084;17145;17201;17250;17292;632.93
0105;PAUTE;26559;26853;27146;27432;27712;27983;28246;28500;28747;28985;29214;270.79
0106;PUCARA;10510;10533;10554;10572;10586;10596;10601;10603;10601;10595;10584;585.46
0107;SAN FERNANDO;4177;4181;4185;4187;4187;4186;4183;4179;4173;4165;4156;138.62
0108;SANTA ISABEL;19167;19365;19563;19755;19943;20124;20298;20467;20630;20786;20935;604.61
0109;SIGSIG;28047;28326;28603;28873;29134;29387;29630;29864;30089;30304;30509;659.03
0110;OÑA;3732;3775;3818;3861;3903;3943;3982;4020;4057;4093;4128;293.08
0111;CHORDELEG;13074;13289;13507;13723;13938;14150;14360;14568;14773;14976;15176;104.98
0112;EL PAN;3179;3175;3170;3164;3157;3149;3140;3129;3118;3105;3091;132.29
0113;SEVILLA DE ORO;6130;6211;6292;6372;6451;6529;6604;6678;6751;6821;6890;314.85
0114;GUACHAPALA;3553;3588;3623;3656;3689;3720;3750;3780;3807;3834;3859;39.59
0115;CAMILO PONCE ENRIQUEZ;22557;23697;24895;26142;27441;28793;30204;31668;33191;34774;36423;639.28
0201;GUARANDA;95720;97124;98519;99897;101253;102586;103884;105153;106387;107590;108763;1892.08
0202;CHILLANES;18292;18175;18053;17925;17792;17652;17504;17350;17189;17023;16850;662.67
0203;SAN JOSE DE CHIMBO;16490;16607;16719;16826;16926;17020;17106;17185;17257;17321;17378;261.42
0204;ECHEANDIA;12631;12791;12951;13107;13259;13408;13552;13692;13826;13956;14081;230.33
0205;SAN MIGUEL;28514;28614;28705;28786;28856;28914;28957;28989;29006;29011;29004;573.52
0206;CALUMA;13645;13926;14208;14490;14772;15054;15333;15610;15885;16158;16429;176.54
0207;LAS NAVES;6339;6452;6564;6677;6788;6899;7008;7115;7221;7325;7428;148.82
0301;AZOGUES;73407;74698;76003;77310;78615;79917;81212;82497;83770;85030;86276;611.41
0302;BIBLIAN;21883;22090;22296;22499;22697;22889;23074;23253;23423;23586;23741;227.16
0303;CAÑAR;62317;63012;63707;64394;65068;65729;66372;66996;67601;68185;68747;1797.7
0304;LA TRONCAL;56646;58477;60361;62288;64256;66266;68317;70401;72523;74678;76872;319.63
0305;EL TAMBO;9899;10143;10391;10643;10897;11153;11413;11673;11935;12198;12462;64.23
0306;DELEG;6419;6463;6506;6548;6588;6626;6662;6695;6727;6755;6782;76.07
0307;SUSCAL;5243;5365;5490;5615;5742;5870;5998;6128;6257;6387;6516;49.88
0401;TULCAN;90127;91409;92686;93953;95201;96441;97664;98868;100057;101234;102395;1828.17
0402;BOLIVAR;15007;15079;15147;15211;15270;15325;15375;15420;15460;15496;15528;359.15
0403;ESPEJO;14006;14006;14003;13995;13982;13966;13944;13918;13888;13855;13817;553.92
0404;MIRA;12793;12726;12655;12581;12504;12423;12338;12250;12159;12066;11969;587.35
0405;MONTUFAR;31865;32138;32404;32664;32913;33155;33388;33611;33825;34032;34229;382.77
0406;SAN PEDRO DE HUACA;7948;8052;8155;8258;8358;8458;8556;8652;8747;8840;8931;69.09
0501;LATACUNGA;176842;179794;182748;185698;188627;191539;194423;197277;200094;202878;205624;1385.64
0502;LA MANA;43580;44824;46093;47383;48691;50019;51366;52728;54104;55496;56905;655.65
0503;PANGUA;22856;23060;23259;23454;23642;23824;23997;24164;24321;24472;24612;722.06
0504;PUJILI;71762;72632;73494;74345;75179;75998;76795;77573;78328;79062;79772;1301.87
0505;SALCEDO;60504;61223;61935;62638;63326;64000;64657;65296;65917;66518;67100;485.61
0506;SAQUISILI;26231;26749;27270;27793;28316;28839;29361;29881;30398;30913;31426;205.23
0507;SIGCHOS;22888;22961;23027;23087;23140;23185;23220;23248;23266;23276;23277;1352.17
0601;RIOBAMBA;234170;237406;240612;243760;246861;249891;252865;255766;258597;261360;264048;982.69
0602;ALAUSI;46003;45986;45954;45904;45838;45752;45647;45525;45385;45229;45054;1657.24
0603;COLTA;46973;46836;46682;46512;46326;46121;45897;45658;45401;45129;44838;836.4
0604;CHAMBO;12349;12470;12588;12702;12812;12917;13019;13116;13208;13295;13378;163.73
0605;CHUNCHI;13244;13221;13194;13162;13125;13083;13035;12982;12925;12862;12795;273.22
0606;GUAMOTE;46640;47773;48920;50073;51233;52398;53571;54746;55924;57105;58291;1221.89
0607;GUANO;44518;44969;45409;45835;46249;46646;47028;47394;47744;48078;48395;459.73
0608;PALLATANGA;12024;12070;12112;12149;12182;12210;12233;12251;12265;12273;12277;378.99
0609;PENIPE;7029;7033;7035;7035;7032;7026;7018;7006;6991;6975;6955;366.79
0610;CUMANDA;13305;13734;14174;14621;15077;15540;16012;16491;16977;17471;17973;159.04
0701;MACHALA;256022;259620;263161;266638;270047;273390;276669;279887;283037;286120;289141;330.18
0702;ARENILLAS;27870;28436;29002;29566;30129;30690;31250;31809;32365;32920;33473;808.26
0703;ATAHUALPA;6088;6133;6175;6216;6254;6290;6323;6355;6384;6411;6436;277.84
0704;BALSAS;7100;7302;7507;7714;7923;8135;8350;8567;8786;9008;9233;69.56
0705;CHILLA;2608;2589;2569;2548;2526;2503;2480;2455;2430;2405;2379;332.26
0706;EL GUABO;51874;53041;54212;55385;56559;57736;58915;60095;61277;62459;63645;606.55
0707;HUAQUILLAS;50122;51160;52200;53237;54272;55304;56336;57366;58393;59417;60440;63.78
0708;MARCABELI;5678;5744;5808;5871;5932;5991;6048;6103;6157;6209;6259;148.68
0709;PASAJE;75700;76962;78213;79451;80674;81883;83079;84262;85430;86583;87723;455.79
