,PROVINCIA,CANTON,VENTAS_LOCALES_GRAVADAS_411,VENTAS_LOCALES_0_413,VENTAS_0_CON_CRED_TRIB_415,TOTAL_VENTAS_Y_EXPORTACIONES_419,CO,DPA,YEAR,ventasLocales,ventasMasExpor,porVenLocales,COD_PROV
0,AZUAY,CAMILO PONCE ENRIQUEZ,47567833.75,81633625.25,14824560.47,244223307.68,AZUAY-CAMILO PONCE ENRIQUEZ,0115,2024,144026019.47,244223307.68,0.5897308526289958,01
1,AZUAY,CHORDELEG,13807815.5,7029673.34,340867.15,21285303.85,AZUAY-CHORDELEG,0111,2024,21178355.99,21285303.85,0.9949755070092644,01
2,AZUAY,CUENCA,5793185799.78,2305353228.04,412649131.22,8821757895.54,AZUAY-CUENCA,0101,2024,8511188159.04,8821757895.54,0.9647950283631095,01
3,AZUAY,EL PAN,650480.0,413093.57,22918.75,1124637.59,AZUAY-EL PAN,0112,2024,1086492.32,1124637.59,0.9660821669672272,01
4,AZUAY,GIRON,7269482.61,9853541.86,486317.21,19316195.5,AZUAY-GIRON,0102,2024,17609341.68,19316195.5,0.9116361283462885,01
5,AZUAY,GUACHAPALA,1319734.76,701036.45,190116.25,2211840.48,AZUAY-GUACHAPALA,0114,2024,2210887.46,2211840.48,0.9995691280593617,01
6,AZUAY,GUALACEO,56856724.84,34707178.94,13237906.37,115137994.39,AZUAY-GUALACEO,0103,2024,104801810.15,115137994.39,0.9102278592330794,01
7,AZUAY,NABON,7995894.95,8150576.7,481442.45,16702832.02,AZUAY-NABON,0104,2024,16627914.1,16702832.02,0.9955146576394773,01
8,AZUAY,OÑA,3152594.14,1885211.32,210367.69,5710366.44,AZUAY-OÑA,0110,2024,5248173.15,5710366.44,0.9190606601421537,01
9,AZUAY,PAUTE,51099452.22,37363577.72,3916098.27,95030720.29,AZUAY-PAUTE,0105,2024,92379128.21,95030720.29,0.9720975272847738,01
10,AZUAY,PUCARA,7220022.04,8887513.14,398633.75,16698470.95,AZUAY-PUCARA,0106,2024,16506168.93,16698470.95,0.9884838545651391,01
11,AZUAY,SAN FERNANDO,1243106.26,1255964.17,165386.19,2726785.3,AZUAY-SAN FERNANDO,0107,2024,2664456.6199999996,2726785.3,0.9771420654204054,01
12,AZUAY,SANTA ISABEL,29013074.45,22947311.47,4248129.28,61892818.22,AZUAY-SANTA ISABEL,0108,2024,56208515.2,61892818.22,0.9081589240322688,01
13,AZUAY,SEVILLA DE ORO,3953918.71,4865243.98,42805.12,8890617.08,AZUAY-SEVILLA DE ORO,0113,2024,8861967.81,8890617.08,0.996777583632024,01
14,AZUAY,SIGSIG,11713952.93,14489375.46,1804296.9,28736920.84,AZUAY-SIGSIG,0109,2024,28007625.29,28736920.84,0.9746216529578609,01
15,BOLIVAR,CALUMA,20345898.83,38798935.21,15898269.07,76717952.5,BOLIVAR-CALUMA,0206,2024,75043103.11,76717952.5,0.9781687423162134,02
16,BOLIVAR,CHILLANES,6071841.86,13239618.21,693783.22,20152134.25,BOLIVAR-CHILLANES,0202,2024,20005243.29,20152134.25,0.9927108981025173,02
17,BOLIVAR,CHIMBO,12354175.09,40753770.46,301533.36,53420413.13,BOLIVAR-CHIMBO,0203,2024,53409478.91,53420413.13,0.999795317569458,02
18,BOLIVAR,ECHEANDIA,13062894.84,20964128.38,10751917.4,44807949.05,BOLIVAR-ECHEANDIA,0204,2024,44778940.62,44807949.05,0.9993526052717202,02
19,BOLIVAR,GUARANDA,69575853.36,117996091.54,8676824.66,213863283.41,BOLIVAR-GUARANDA,0201,2024,196248769.56,213863283.41,0.9176365687034226,02
20,BOLIVAR,LAS NAVES,3486186.34,48245142.44,1094347.45,52839262.81,BOLIVAR-LAS NAVES,0207,2024,52825676.230000004,52839262.81,0.9997428696148004,02
21,BOLIVAR,SAN MIGUEL,11888288.98,17703654.04,885277.42,31877164.04,BOLIVAR-SAN MIGUEL,0205,2024,30477220.44,31877164.04,0.9560831823607857,02
22,CARCHI,BOLIVAR,2790282.78,10913236.79,1629847.78,31177594.34,CARCHI-BOLIVAR,0402,2024,15333367.349999998,31177594.34,0.4918072633438465,04
23,CARCHI,ESPEJO,4877400.84,21874535.24,1411961.66,41853849.33,CARCHI-ESPEJO,0403,2024,28163897.74,41853849.33,0.67291057312171,04
24,CARCHI,MIRA,8428767.95,7908468.45,822649.41,26852435.83,CARCHI-MIRA,0404,2024,17159885.81,26852435.83,0.6390439183483192,04
25,CARCHI,MONTUFAR,18299778.46,79220011.7,14947328.33,113189135.6,CARCHI-MONTUFAR,0405,2024,112467118.49,113189135.6,0.993621144766477,04
26,CARCHI,SAN PEDRO DE HUACA,2638505.06,31577115.98,3029385.15,37274849.85,CARCHI-SAN PEDRO DE HUACA,0406,2024,37245006.19,37274849.85,0.9991993620331108,04
27,CARCHI,TULCAN,137073474.53,329474474.39,47145841.86,530270724.5,CARCHI-TULCAN,0401,2024,513693790.78,530270724.5,0.9687387348497681,04
28,CAÑAR,AZOGUES,195780182.98,169377254.74,10480099.61,393339985.31,CAÑAR-AZOGUES,0301,2024,375637537.33000004,393339985.31,0.9549945374456444,03
29,CAÑAR,BIBLIAN,17324277.92,85617368.25,2019414.04,105786578.32,CAÑAR-BIBLIAN,0302,2024,104961060.21000001,105786578.32,0.9921963814019693,03
30,CAÑAR,CAÑAR,51269321.74,98563210.19,4349340.91,156380504.68,CAÑAR-CAÑAR,0303,2024,154181872.84,156380504.68,0.9859404991402282,03
31,CAÑAR,DELEG,2875354.44,3445938.68,228363.01,6835777.58,CAÑAR-DELEG,0306,2024,6549656.13,6835777.58,0.958143540123785,03
32,CAÑAR,EL TAMBO,15575803.57,45972947.92,5190433.18,67456569.02,CAÑAR-EL TAMBO,0305,2024,66739184.67,67456569.02,0.9893652410666292,03
33,CAÑAR,LA TRONCAL,104340873.89,290653510.2,20475105.41,423872471.03,CAÑAR-LA TRONCAL,0304,2024,415469489.5,423872471.03,0.9801756846591596,03
34,CAÑAR,SUSCAL,4964777.49,4354162.56,2196377.17,11617091.85,CAÑAR-SUSCAL,0307,2024,11515317.22,11617091.85,0.9912392334231223,03
35,CHIMBORAZO,ALAUSI,15808786.22,16492810.85,2679898.97,35821001.34,CHIMBORAZO-ALAUSI,0602,2024,34981496.04,35821001.34,0.9765638796070573,06
36,CHIMBORAZO,CHAMBO,8843461.38,19735976.07,466702.59,29682576.98,CHIMBORAZO-CHAMBO,0604,2024,29046140.040000003,29682576.98,0.9785585685357162,06
37,CHIMBORAZO,CHUNCHI,6862060.76,4056571.01,447611.94,11808259.24,CHIMBORAZO-CHUNCHI,0605,2024,11366243.709999999,11808259.24,0.9625672572886365,06
38,CHIMBORAZO,COLTA,16126694.71,8209485.69,288940.33,24956094.34,CHIMBORAZO-COLTA,0603,2024,24625120.73,24956094.34,0.9867377641112091,06
39,CHIMBORAZO,CUMANDA,17913619.24,43910037.95,438880.44,63156070.88,CHIMBORAZO-CUMANDA,0610,2024,62262537.629999995,63156070.88,0.985851981645632,06
40,CHIMBORAZO,GUAMOTE,19663414.56,12961732.16,266544.87,34933712.35,CHIMBORAZO-GUAMOTE,0606,2024,32891691.59,34933712.35,0.9415458414627954,06
41,CHIMBORAZO,GUANO,30316804.58,28874982.98,1706970.99,62394752.37,CHIMBORAZO-GUANO,0607,2024,60898758.550000004,62394752.37,0.9760237237399586,06
42,CHIMBORAZO,PALLATANGA,6216285.39,12397759.14,356546.21,19396410.84,CHIMBORAZO-PALLATANGA,0608,2024,18970590.740000002,19396410.84,0.9780464487212317,06
43,CHIMBORAZO,PENIPE,8603738.14,6888845.46,486801.27,16194432.25,CHIMBORAZO-PENIPE,0609,2024,15979384.870000001,16194432.25,0.9867209065016775,06
44,CHIMBORAZO,RIOBAMBA,663585458.92,629851278.32,53581442.94,1498209242.9,CHIMBORAZO-RIOBAMBA,0601,2024,1347018180.18,1498209242.9,0.8990854825943084,06
45,COTOPAXI,LA MANA,72955328.38,167608112.16,20961161.13,266114692.52,COTOPAXI-LA MANA,0502,2024,261524601.67,266114692.52,0.9827514564997006,05
46,COTOPAXI,LATACUNGA,521558928.04,665597253.69,82555614.15,1619200525.21,COTOPAXI-LATACUNGA,0501,2024,1269711795.88,1619200525.21,0.7841596986360454,05
47,COTOPAXI,PANGUA,14967520.21,34578942.72,2842107.62,52678148.16,COTOPAXI-PANGUA,0503,2024,52388570.55,52678148.16,0.9945028893361919,05
48,COTOPAXI,PUJILI,39257699.09,39225743.81,6357511.14,89302903.43,COTOPAXI-PUJILI,0504,2024,84840954.04,89302903.43,0.9500357858633622,05
49,COTOPAXI,SALCEDO,101261178.43,197369362.2,20131662.21,336715966.29,COTOPAXI-SALCEDO,0505,2024,318762202.84,336715966.29,0.9466797976709629,05
50,COTOPAXI,SAQUISILI,23489816.03,47235833.63,2590772.61,76317990.07,COTOPAXI-SAQUISILI,0506,2024,73316422.27,76317990.07,0.9606702456754048,05
51,COTOPAXI,SIGCHOS,7747618.88,8859551.34,1646151.42,18289017.78,COTOPAXI-SIGCHOS,0507,2024,18253321.64,18289017.78,0.9980482199520284,05
52,EL ORO,ARENILLAS,24406541.88,103308673.6,6512121.24,165002931.92,EL ORO-ARENILLAS,0702,2024,134227336.72,165002931.92,0.8134845554446195,07
53,EL ORO,ATAHUALPA,6654967.91,3872053.73,497668.11,11184220.2,EL ORO-ATAHUALPA,0703,2024,11024689.75,11184220.2,0.9857361132785994,07
54,EL ORO,BALSAS,15634180.07,107940778.15,11448472.29,135922169.1,EL ORO-BALSAS,0704,2024,135023430.51,135922169.1,0.9933878439701858,07
55,EL ORO,CHILLA,293526.83,572209.6,4950.0,873785.73,EL ORO-CHILLA,0705,2024,870686.4299999999,873785.73,0.9964530205820595,07
56,EL ORO,EL GUABO,74310206.65,255683776.72,145830928.13,543030862.38,EL ORO-EL GUABO,0706,2024,475824911.5,543030862.38,0.8762391688283623,07
57,EL ORO,HUAQUILLAS,148613176.77,242669106.78,25871167.52,425406667.8,EL ORO-HUAQUILLAS,0707,2024,417153451.07,425406667.8,0.9805992304429977,07
58,EL ORO,LAS LAJAS,1898561.23,8863006.4,1141270.63,21320869.14,EL ORO-LAS LAJAS,0714,2024,11902838.260000002,21320869.14,0.5582717187485163,07
59,EL ORO,MACHALA,1072945707.52,1522372668.75,787152699.61,4328732665.11,EL ORO-MACHALA,0701,2024,3382471075.88,4328732665.11,0.7813998547757502,07
60,EL ORO,MARCABELI,4478497.28,50745489.46,519662.0,56372907.71,EL ORO-MARCABELI,0708,2024,55743648.74,56372907.71,0.9888375640788816,07
61,EL ORO,PASAJE,112278881.74,279613243.31,43218138.37,490439248.03,EL ORO-PASAJE,0709,2024,435110263.42,490439248.03,0.8871848351610402,07
62,EL ORO,PIÑAS,69024636.02,157514265.72,8290144.82,273534867.19,EL ORO-PIÑAS,0710,2024,234829046.56,273534867.19,0.8584976715121493,07
63,EL ORO,PORTOVELO,43737579.46,29005189.59,6099987.83,125705668.64,EL ORO-PORTOVELO,0711,2024,78842756.88,125705668.64,0.6272012848186859,07
64,EL ORO,SANTA ROSA,99472187.87,251118430.51,49639987.52,445083842.25,EL ORO-SANTA ROSA,0712,2024,400230605.9,445083842.25,0.8992251973847069,07
65,EL ORO,ZARUMA,68794019.75,36374503.62,14542911.3,202352467.25,EL ORO-ZARUMA,0713,2024,119711434.67,202352467.25,0.5915985917883588,07
66,ESMERALDAS,ATACAMES,36009350.46,31939821.52,7587584.83,76725933.41,ESMERALDAS-ATACAMES,0806,2024,75536756.81,76725933.41,0.984500982299617,08
67,ESMERALDAS,ELOY ALFARO,19082997.45,53764036.21,5909510.32,79838295.0,ESMERALDAS-ELOY ALFARO,0802,2024,78756543.97999999,79838295.0,0.9864507249309369,08
