Y;X
6.080228;7.263448
-0.924186;6.339896
-3.286174;-9.285217
5.211977;0.793291
-16.16421;-2.902421
-1.054704;8.613151
11.17238;3.982063
-11.06328;-1.150171
-16.777;3.486126
-7.021834;4.32985
-9.716846;0.936875
5.215706;-5.202456
-6.612001;-2.082757
4.264498;2.728523
4.916711;0.653397
22.20496;6.436072
-11.29869;-4.259198
-5.770508;0.54391
-5.217765;-0.486846
16.1962;2.844
-17.16995;-16.45721
1.105335;4.468938
11.68534;5.88552
-2.301452;-0.390698
8.643728;2.499568
-11.12908;-4.033607
1.724628;3.042526
0.15788;0.734565
-1.875203;2.779732
-10.62482;-5.900116
-5.761136;3.005344
5.481432;3.954991
-17.02207;2.547127
7.625421;4.329008
-6.575722;0.191941
-2.37283;-0.921676
17.52375;3.394683
1.354656;0.758714
16.26861;1.862074
-6.074547;6.797751
-0.826651;-1.699254
3.807882;4.092592
0.575701;-2.926299
3.755563;1.773424
-5.365927;-2.800816
-3.750303;-1.505395
4.898752;4.186963
4.379256;1.201417
16.56016;6.769321
1.523127;-1.686027
1.020608;5.245806
-3.899308;1.72871
-14.32502;-7.279076
3.056627;-0.779471
-0.021536;-2.439635
3.355102;8.445978
0.100007;1.22108
1.69125;2.733387
8.200753;5.127533
3.527866;3.191555
4.554588;3.907839
5.365479;-1.708568
4.525231;0.435219
2.944654;0.958068
-0.2686;1.095477
-3.661041;-6.816109
-4.540505;2.785054
9.195292;3.900209
-1.894817;-4.203004
12.00661;5.601798
1.233987;1.570094
-1.44633;-1.084427
6.023619;0.77867
10.51236;6.470651
13.40071;8.953781
-7.796263;-2.387762
0.21154;-2.873839
6.471111;3.440269
-9.037476;-5.891053
-5.478381;6.375582
-6.756882;-5.734839
-2.56496;3.630884
2.456599;-1.316067
1.476421;3.521601
17.0694;8.673413
7.565727;6.914362
-3.239326;-0.460661
3.662578;4.295976
7.157455;7.719693
4.774901;3.039888
4.237702;2.510224
-0.881352;-3.039443
11.49688;3.787092
-35.56618;-27.86969
-14.59137;-9.956367
14.87272;7.975866
1.748599;3.936938
-0.606016;-0.327971
-6.078095;-2.161544
3.976154;2.721788
-1.05091;-0.514825
3.317857;3.128797
0.4071;0.181502
-11.87932;-7.892364
-8.801026;3.347082
6.784211;3.158592
-10.20578;-4.81647
-6.738054;-0.00855
12.83904;13.46098
3.302861;-0.764475
-0.155918;2.298491
3.623091;0.762075
-1.167681;-0.495796
-1.221603;1.206636
5.262903;4.637026
4.845013;2.680874
-5.069565;-5.303858
-13.57964;-7.210656
1.100608;5.350186
4.925083;4.106246
-2.532069;-3.629547
-6.601873;-5.205804
-1.023769;-2.183245
-7.097917;-5.408564
6.376627;10.57599
1.861975;-0.338612
-5.591527;-2.213162
-15.31759;-8.476177
-10.17227;-7.459414
-2.217396;-0.085888
5.974206;5.03477
-0.857289;-1.767715
-3.780185;0.189108
20.64721;10.38741
10.94068;2.921914
-3.14564;0.97172
-3.142888;-0.431782
-1.960866;-3.342925
7.330964;5.242812
7.854388;2.880655
2.539178;-1.121472
-1.233245;-3.969578
-11.74604;-5.707995
1.078226;1.502567
5.937905;2.599565
4.113184;0.135881
-0.655199;-6.146138
15.2843;10.45737
3.994518;1.415987
-11.94451;-8.261109
-2.530701;-3.778812
-9.842366;-5.386818
18.11574;11.19436
0.20095;3.99987
1.125853;3.620675
7.639181;2.887222
2.919569;1.336746
-1.062404;1.240274
1.292641;0.407144
0.420241;-1.73493
-2.514081;1.111534
0.419362;1.354128
4.374024;1.943062
1.733528;4.96198
-3.659809;-1.61873
5.856908;4.215409
-1.36555;1.88036
-1.346979;5.826353
12.89579;2.973541
-5.346701;-5.479858
-7.614727;-5.784547
10.22043;1.157083
-6.928422;-6.356199
-5.065919;-0.843584
7.483499;5.779953
1.828763;3.29813
-5.692933;-7.11001
-2.426962;2.968006
2.125101;-1.531245
-4.225371;0.26428
-6.302392;-2.420388
1.278676;0.138795
10.90891;3.231657
2.497849;2.215805
2.891527;3.856814
-3.773;-0.952204
8.776289;4.020036
2.882561;1.4236
2.146913;-0.037913
-4.590105;-1.176553
-1.293255;3.760277
-4.244102;0.434626
6.647089;1.906345
1.635901;0.301899
7.85819;-0.314132
0.789545;3.034332
-0.907725;-1.497346
-0.392247;-0.894677
-1.035896;-0.532816
2.556816;3.863737
3.13183;2.118255
-0.020947;-0.853553
-5.312288;1.770341
-5.196177;1.702552
-0.753247;3.465753
-2.474344;1.115253
2.476478;-2.057818
-1.119104;3.570899
3.352076;1.95348
-1.910172;2.4587
0.142815;2.992341
10.50199;-0.457968
12.98502;8.111279
-4.134762;-6.967124
-4.14858;-0.155925
-1.752478;3.853283
-3.349122;7.379466
14.07471;4.299098
7.791651;3.41078
5.154679;-0.081495
3.293686;-1.613131
-13.25462;-0.397289
-7.714206;-2.237365
-15.2634;-12.4632
-15.22865;-5.170735
15.96218;11.70545
-8.684089;-0.3802
17.13842;4.986705
-1.468449;2.493728
8.5036;0.937105
10.89431;4.280083
13.03497;3.960824
-5.654672;-4.499198
8.321969;3.656746
0.507652;-2.503972
-5.022981;-0.121902
-2.305449;-5.388032
-1.876879;4.01099
1.348825;6.265313
-2.641649;4.045659
