DATE      ; VALUE
06/01/75;67.8
13/01/75;67.5
20/01/75;67
27/01/75;66.2
03/02/75;66.2
10/02/75;67.4
17/02/75;67.3
24/02/75;66.5
03/03/75;66.9
10/03/75;68.3
17/03/75;68
24/03/75;67.7
31/03/75;67.7
07/04/75;68.8
14/04/75;68.6
21/04/75;68.2
28/04/75;67.6
05/05/75;68.5
12/05/75;69.3
19/05/75;69.1
26/05/75;69.2
02/06/75;69.2
09/06/75;70.7
16/06/75;70.4
23/06/75;70.1
30/06/75;70
07/07/75;71.9
14/07/75;71.4
21/07/75;71
28/07/75;70.3
04/08/75;70.9
11/08/75;71.8
18/08/75;71.4
25/08/75;70.7
01/09/75;70.8
08/09/75;71.7
15/09/75;71.3
22/09/75;70.8
29/09/75;70.2
06/10/75;71.6
13/10/75;72.1
20/10/75;71.7
27/10/75;71.1
03/11/75;71.5
10/11/75;73.2
17/11/75;73.1
24/11/75;72.7
01/12/75;73.3
08/12/75;74.3
15/12/75;74.1
22/12/75;74.4
29/12/75;74.2
05/01/76;73.5
12/01/76;73.4
19/01/76;72.8
26/01/76;72.1
02/02/76;72.1
09/02/76;73.5
16/02/76;73.4
23/02/76;72.6
01/03/76;72.7
08/03/76;74.4
15/03/76;74.3
22/03/76;74.1
29/03/76;73.6
05/04/76;74.7
12/04/76;75.6
19/04/76;75.5
26/04/76;74.7
03/05/76;75
10/05/76;76.4
17/05/76;76
24/05/76;75.6
31/05/76;76
07/06/76;77.2
14/06/76;76.9
21/06/76;76.6
28/06/76;76
05/07/76;77.6
12/07/76;78.1
19/07/76;77.6
26/07/76;76.9
02/08/76;77
09/08/76;78.5
16/08/76;78.1
23/08/76;77.5
30/08/76;76.8
06/09/76;78.4
13/09/76;78.2
20/09/76;77.8
27/09/76;77.1
04/10/76;78.2
11/10/76;79.1
18/10/76;78.4
25/10/76;77.8
01/11/76;77.9
08/11/76;79.7
15/11/76;79.7
22/11/76;79.6
29/11/76;79.7
06/12/76;80.6
13/12/76;81
20/12/76;81.1
27/12/76;81.3
03/01/77;80.3
10/01/77;80.6
17/01/77;79.9
24/01/77;79.1
31/01/77;78.6
07/02/77;80.1
14/02/77;80
21/02/77;79.8
28/02/77;79.2
07/03/77;80.8
14/03/77;80.8
21/03/77;80.7
28/03/77;80.2
04/04/77;81.5
11/04/77;82.5
18/04/77;81.7
25/04/77;81
02/05/77;81.2
09/05/77;82.8
16/05/77;82.5
23/05/77;82.1
30/05/77;82.3
06/06/77;83.3
13/06/77;83.4
20/06/77;83.3
27/06/77;82.7
04/07/77;84.6
11/07/77;85
18/07/77;84.4
25/07/77;83.8
01/08/77;83.9
08/08/77;85.4
15/08/77;85.1
22/08/77;84.6
29/08/77;83.7
05/09/77;85.4
12/09/77;85.4
19/09/77;84.9
26/09/77;84.2
03/10/77;84.7
10/10/77;86.5
17/10/77;86
24/10/77;85.4
31/10/77;85.1
07/11/77;87.2
14/11/77;87.4
21/11/77;87.2
28/11/77;87.3
05/12/77;88.2
12/12/77;88.8
19/12/77;89.1
26/12/77;89.9
02/01/78;88.2
09/01/78;88.5
16/01/78;87.7
23/01/78;86.8
30/01/78;86.2
06/02/78;87.7
13/02/78;88
20/02/78;87.9
27/02/78;87
06/03/78;88.4
13/03/78;88.8
20/03/78;88.8
27/03/78;88.6
03/04/78;88.8
10/04/78;90.3
17/04/78;89.8
24/04/78;89.2
01/05/78;89.2
08/05/78;90.9
15/05/78;90.7
22/05/78;90.4
29/05/78;90.5
05/06/78;91.5
12/06/78;92
19/06/78;91.6
26/06/78;91
03/07/78;92.2
10/07/78;93.5
17/07/78;92.7
24/07/78;92.1
31/07/78;91.8
07/08/78;93.5
14/08/78;93.3
21/08/78;93
28/08/78;92.2
04/09/78;93.7
11/09/78;94
18/09/78;93.4
25/09/78;92.8
02/10/78;93.1
09/10/78;95.1
16/10/78;94.6
23/10/78;94
30/10/78;93.5
06/11/78;95.5
13/11/78;96.1
20/11/78;96.1
27/11/78;96.2
04/12/78;96.7
11/12/78;97.7
18/12/78;97.7
25/12/78;99.1
01/01/79;97.3
08/01/79;97.5
15/01/79;96.5
22/01/79;95.8
29/01/79;94.9
05/02/79;96
12/02/79;96.5
19/02/79;96.4
26/02/79;95.7
05/03/79;97.1
12/03/79;97.5
19/03/79;97.2
26/03/79;96.8
02/04/79;97.2
09/04/79;99.2
16/04/79;99.1
23/04/79;98
30/04/79;97.6
07/05/79;99.5
14/05/79;99.5
21/05/79;99.2
28/05/79;99
04/06/79;100.1
11/06/79;100.9
18/06/79;100.4
25/06/79;99.9
02/07/79;100.7
09/07/79;102.7
16/07/79;102.2
23/07/79;101.6
30/07/79;101.1
06/08/79;102.8
13/08/79;103.1
20/08/79;102.7
27/08/79;101.7
03/09/79;103.1
10/09/79;103.8
17/09/79;103.1
24/09/79;102.4
01/10/79;102.5
08/10/79;104.8
15/10/79;104.2
22/10/79;103.7
29/10/79;103
05/11/79;104.6
12/11/79;105.6
19/11/79;105.2
26/11/79;105.4
03/12/79;105
10/12/79;106.9
17/12/79;106.8
24/12/79;107.9
31/12/79;106.3
07/01/80;106.8
14/01/80;105.8
21/01/80;105
28/01/80;103.9
04/02/80;105
11/02/80;105.8
18/02/80;105.7
25/02/80;104.8
03/03/80;105.3
10/03/80;107.1
17/03/80;106.7
24/03/80;106.2
31/03/80;106
07/04/80;108.4
14/04/80;107.5
21/04/80;107.2
28/04/80;106.4
05/05/80;108.1
12/05/80;108.6
19/05/80;108.3
26/05/80;108.5
02/06/80;108.4
09/06/80;110.3
16/06/80;109.9
23/06/80;109.4
30/06/80;109.3
07/07/80;112.3
14/07/80;111.7
21/07/80;111.2
28/07/80;110.3
04/08/80;112
11/08/80;112.8
18/08/80;112.2
25/08/80;111.4
01/09/80;111.8
08/09/80;113.1
15/09/80;112.6
22/09/80;111.9
29/09/80;111.3
06/10/80;113.4
13/10/80;114
20/10/80;113.5
27/10/80;112.6
03/11/80;113.6
10/11/80;116.1
17/11/80;115.8
24/11/80;115.1
01/12/80;116
08/12/80;117.4
15/12/80;117.2
22/12/80;117.9
29/12/80;117.9
05/01/81;116.2
12/01/81;115.5
19/01/81;114.4
26/01/81;113.3
02/02/81;113.1
09/02/81;115.4
16/02/81;115.4
23/02/81;114.2
02/03/81;114.1
09/03/81;116.4
16/03/81;116
23/03/81;115.7
30/03/81;115.4
06/04/81;117.6
13/04/81;118.2
20/04/81;117.8
27/04/81;116.3
04/05/81;117.6
11/05/81;118.9
18/05/81;118.1
25/05/81;118.2
