codigoCliente,sumValTot,Frecuencia,edad,estadoCivil,nivelEducacion,sexo,tipoVivienda,nivelIngresos,Uafe
4,4827.62,5,86.6602739726027,C,Sup,M,P,5721.33,
6,3891.48,23,85.9643835616438,D,Sup,M,NP,1431.01,
9,388.26,10,79.7205479452055,C,P o S,M,P,3333.33,
38,0.03,1,81.7698630136986,C,P o S,M,NP,0,
47,1918.69,11,82.3095890410959,S,P o S,M,NP,1483.77,
86,1055.64,3,69.9643835616439,C,P o S,M,P,638.75,
102,1176.39,6,73.0027397260274,C,P o S,M,P,1820.51,
130,2433.92,32,66.6191780821918,C,Sup,M,P,1641.28,
181,0.31,1,85.1616438356165,V,P o S,M,NP,0,
186,1642.99,16,72.4219178082192,D,P o S,F,P,888.08,
206,0.02,1,65.9753424657534,S,Sup,F,NP,0,
242,7488.39,40,73.4054794520548,C,Sup,M,P,1766.36,
246,0.04,1,73.041095890411,C,P o S,M,NP,0,
281,0.36,1,74.2109589041096,C,P o S,M,NP,800,
293,1020.47,5,77.0876712328767,C,P o S,M,P,1100,
314,0.36,2,73.2684931506849,C,P o S,M,NP,0,
320,0.02,1,69.0767123287671,C,P o S,M,NP,0,
323,750.56,9,69.586301369863,C,P o S,M,P,559.26,
333,599.42,3,70.2630136986301,C,P o S,M,P,438,
341,2445.33,10,76.6520547945206,C,P o S,M,P,1137.43,
349,624.21,4,69.227397260274,C,P o S,M,P,604.85,
353,0.93,1,73.0246575342466,D,P o S,M,NP,0,
361,1960.58,31,66.6712328767123,C,P o S,M,P,1050.24,
402,8281.26,37,76.1945205479452,C,P o S,M,P,1887.64,
403,1992.91,5,66.1342465753425,C,Sup,F,P,2554.46,
409,637.81,5,72.2109589041096,C,P o S,F,NP,1870,
410,6891.82,27,75.2356164383562,C,P o S,M,P,964.69,
417,590.08,3,77.2958904109589,S,P o S,M,P,793.26,
462,0.04,2,70.9013698630137,C,P o S,M,P,3832.2,
464,0.05,1,76.8821917808219,C,P o S,M,NP,0,
489,15141.64,21,69.5068493150685,D,P o S,M,P,1611.9,
496,252.07,3,70.1150684931507,C,P o S,M,P,2077,
497,1042.44,7,67.4712328767123,C,P o S,M,NP,653,
514,3916.17,15,82.6712328767123,C,P o S,M,NP,1784.21,
523,4880.69,5,69.7808219178082,C,P o S,M,P,595.89,
537,1.86,1,76.186301369863,C,P o S,M,NP,0,
590,1.24,1,70.2191780821918,C,missing o N,M,NP,0,
603,582.51,6,69.7890410958904,C,P o S,M,P,2328,
607,759.11,7,67.9013698630137,C,P o S,M,P,579,
609,1707.35,10,78.1424657534247,C,P o S,M,P,1090,
610,2503.96,7,68.1041095890411,C,P o S,M,P,1376,
617,13.24,2,72.2931506849315,C,P o S,M,NP,0,
630,3571.29,8,68.9534246575343,C,Sup,M,P,2369.95,
641,6625.2,77,74.4904109589041,C,P o S,M,P,2479.23,
648,2679.78,7,74.7479452054795,C,P o S,M,P,0,
650,866.78,6,72.5369863013699,D,P o S,M,P,1527.61,
687,2808.04,31,72.8383561643836,V,P o S,F,P,1343.28,
712,23533.56,44,68.8301369863014,C,Sup,M,P,4700,
718,0.31,1,68.6904109589041,C,P o S,M,NP,0,
721,3519.42,7,67.1643835616438,C,Sup,M,NP,10999.9,
725,992.99,5,66.0547945205479,C,P o S,F,NP,330,
