codigoCliente,sumValTot,Frecuencia,edad,estadoCivil,nivelEducacion,sexo,tipoVivienda,nivelIngresos,Uafe
1,3908.92,37,73.4575342465754,C,P o S,M,P,833.77,0
3,5763.34,9,86.5945205479452,C,P o S,M,P,3559.81,0
11,0.94,4,70.4082191780822,C,Sup,M,P,3108,0
13,1916.02,42,76.8575342465753,C,Sup,M,P,828.93,0
14,152.27,4,78.7479452054795,D,Sup,M,P,2700,0
16,5093.94,2,73.6739726027397,V,Sup,M,P,2700,0
17,13423.99,14,69.7835616438356,C,Sup,M,P,3500,0
18,766.62,3,70.7972602739726,C,Sup,M,P,7204.03,1
22,0.03,1,70.8219178082192,S,P o S,F,P,1832.92,0
25,11891.53,18,85.4602739726027,C,P o S,M,P,996.32,0
29,357.79,10,72.613698630137,C,Sup,M,P,1069.72,0
30,91.82,2,72.4328767123288,C,Sup,M,P,705.97,0
32,1071.55,11,64.6958904109589,C,P o S,F,P,1200,0
35,2.17,1,84.1041095890411,C,P o S,M,NP,0,0
37,3554.05,17,69.0767123287671,D,P o S,M,P,969,0
48,400.52,7,69.8849315068493,C,P o S,M,NP,261.66,0
52,2986.39,39,77.0821917808219,C,P o S,M,P,1715.01,0
56,11547.92,5,76.3698630136986,C,missing o N,M,NP,0,0
61,808.6,9,68.586301369863,D,P o S,M,P,526.03,0
67,2467.82,8,72.3095890410959,C,P o S,M,NP,1581.54,0
68,753.41,4,71.7013698630137,C,P o S,M,P,1390.82,0
69,3152.42,15,69.5150684931507,C,P o S,M,NP,1761.74,0
73,7339.48,15,66.627397260274,D,P o S,M,NP,1820,1
77,3861.24,11,73.8575342465753,C,P o S,M,P,1410.3,0
78,0.39,1,72.3315068493151,C,P o S,M,NP,0,0
81,0.11,1,74.8575342465754,C,P o S,M,NP,0,0
82,2541.79,11,68.4794520547945,C,P o S,M,P,1034.32,0
84,951.64,5,68.3315068493151,C,P o S,M,NP,393,0
85,249.08,2,74.7150684931507,C,P o S,M,NP,2000,0
89,0.31,1,73.1917808219178,C,P o S,M,NP,1390,0
91,4193,35,71.0931506849315,C,P o S,M,P,1122.18,0
95,5249.3,15,69.5260273972603,C,P o S,M,P,1025.44,0
96,1018.69,19,67.9150684931507,C,P o S,M,P,451.6,0
100,0.14,1,80.8630136986301,C,P o S,M,NP,0,0
101,217.02,6,70.0027397260274,C,P o S,M,P,2100,0
103,379.55,8,79.0328767123288,C,Sup,M,P,807.48,0
109,1844.46,17,71.6958904109589,D,Sup,M,P,1926.82,0
114,0.02,1,70.4328767123288,C,P o S,M,P,1430.66,0
115,4384.81,18,69.558904109589,C,P o S,M,P,1037.51,1
118,1843.93,12,68.2465753424658,D,P o S,M,P,892.79,0
119,0.76,1,77.3150684931507,C,P o S,M,NP,0,0
125,0.03,1,81.5890410958904,C,Sup,M,NP,0,0
135,1331.74,5,71.5013698630137,C,P o S,M,P,4900,0
141,1090.81,6,69.0684931506849,C,P o S,M,P,580.44,0
144,917.81,6,76.6383561643836,C,P o S,M,P,905,0
145,1090.76,7,76.9452054794521,V,P o S,M,NP,676.86,0
150,1.28,1,70.2630136986301,C,P o S,M,NP,0,0
