Year;Mes;mesnum;Tipo;PARQUE_NACIONAL_CAJAS;PARQUE_NACIONAL_COTOPAXI;PARQUE_NACIONAL_GALAPAGOS;PARQUE_NACIONAL_LLANGANATES;PARQUE_NACIONAL_MACHALILLA;PARQUE_NACIONAL_PODOCARPUS;PARQUE_NACIONAL_SANGAY;PARQUE_NACIONAL_SUMACO;PARQUE_NACIONAL_YASUNI;RESERVA_BIOLOGICA_LIMONCOCHA;RESERVA_BIOLOGICA_MARINA_GALAPAGOS;RESERVA_ECOLOGICA_ANTISANA;RESERVA_ECOLOGICA_COFAN_BERMEJO;RESERVA_ECOLOGICA_ARENILLAS;RESERVA_ECOLOGICA_EL_ANGEL;RESERVA_ECOL._CAYAMBE_COCA;RESERVA_ECOL._CAYAPAS_MATAJE;RESERVA_ECOL._COTACACHI_CAYAPAS;RESERVA_ECOLOGICA_LOS_ILINIZAS;RESERVA_ECOL._MACHE_CHINDUL;RESERVA_ECOL._MANGLARES_CHURUTE;RESERVA_GEOBOTANICA_PULULAHUA;RESERVA_FAUNISTICA_CHIMBORAZO;RESERVA_FAUNISTICA_CUYABENO;RESERVA_FAUNISTICA_MANGLARES_SALADO;REFUGIO_DE_VIDA_SILVESTRE_ISLA_CORAZON_Y_FRAGATAS;REFUGIO_DE_VIDA_SILVESTRE_ISLA_SANTA_CLARA;REFUGIO_DE_VIDA_SILVESTRE_LA_CHIQUITA;REFUGIO_DE_VIDA_SILVESTRE_MANGLES_ESTURIO_RIO_MUISNE;REFUGIO_DE_VIDA_SILVESTRE_PASOCHOA;AREA_NACIONAL_DE_RECREACION_PARQUE_LAGO;AREA_NACIONAL_RECREACION_BOLICHE;PARQUE_EL_CONDOR;TOTALMENSUAL
2007;Ene;1;Nac;2311;4925;3863;2;1531;26;84;10;26;24;0;0;0;0;79;314;0;5979;7;0;20;445;1583;224;0;0;0;0;0;1146;0;439;0;23038
2007;Ene;1;Extrj;804;3628;9231;0;761;107;25;0;3013;40;0;20;0;0;6;55;0;1890;79;0;11;40;1061;293;0;0;0;0;0;87;0;11;0;21162
2007;Feb;2;Nac;2590;4761;4795;83;4345;33;141;14;1;25;0;105;0;0;268;458;0;7704;78;0;49;464;626;181;0;0;0;0;0;1540;0;825;0;29086
2007;Feb;2;Extrj;884;2561;8278;0;500;25;29;1;11;28;0;8;0;0;8;11;0;1694;32;0;5;43;829;236;0;0;0;0;0;31;0;6;0;15220
2007;Mar;3;Nac;2873;2279;5502;18;1130;60;108;7;0;92;0;171;0;0;145;100;0;8517;53;0;37;302;230;86;0;0;0;0;0;647;0;1434;0;23791
2007;Mar;3;Extrj;992;2611;9687;0;467;75;30;0;72;83;0;0;0;0;36;23;0;1935;21;0;17;96;442;242;0;0;0;0;0;18;0;17;0;16864
2007;Abr;4;Nac;2669;3739;4816;0;1932;342;182;4;0;34;0;69;0;0;133;644;0;8354;14;0;42;920;462;196;0;0;0;0;0;660;0;1947;0;27159
2007;Abr;4;Extrj;640;2570;9876;0;434;39;14;0;154;35;0;0;0;0;11;71;0;1895;13;0;8;46;417;311;0;0;0;0;0;32;0;15;0;16581
2007;May;5;Nac;1988;3379;4857;0;1123;268;124;0;0;64;0;23;0;0;135;540;0;8009;33;0;0;846;385;146;0;0;0;0;0;970;0;1380;0;24270
2007;May;5;Extrj;651;2985;8593;0;448;46;7;1;100;0;0;52;0;0;34;43;0;1798;23;0;12;30;342;357;0;0;0;0;0;37;0;27;0;15586
