"nh","year","villid","thanaid","agehead","sexhead","educhead","famsize","hhland","hhasset","expfd","expnfd","exptot","dmmfd","dfmfd","weight","vaccess","pcirr","rice","wheat","milk","potato","egg","oil"
11054,0,1,1,72,1,0,3,36,33295,3055.8564453125,902.2548828125,3958.11206054688,0,0,1.04273509979248,1,0.449999988079071,11,8.5,12,8,2.5,55
11061,0,1,1,35,1,5,10,116,180325,3031.01708984375,421.249328613281,3452.26635742188,1,0,1.01139605045319,1,0.449999988079071,11,8.5,12,8,2.5,55
11081,0,1,1,54,1,3,6,91,80735,3347.57836914062,343.3876953125,3690.96655273438,1,1,1.01139605045319,1,0.449999988079071,11,8.5,12,8,2.5,55
11101,0,1,1,44,1,5,7,8,16755,2106.83276367188,265.834381103516,2372.66748046875,0,1,1.01139605045319,1,0.449999988079071,11,8.5,12,8,2.5,55
12021,0,2,1,28,1,8,6,10,18795,3401.240234375,789.907043457031,4191.14697265625,0,1,0.76305216550827,1,0.200000002980232,11.5,8.25,12,8,2.5,54
12035,0,2,1,25,1,8,4,184,81105,3760.60986328125,1482.33837890625,5242.9482421875,0,0,2.24899578094482,1,0.200000002980232,11.5,8.25,12,8,2.5,54
12051,0,2,1,63,1,6,8,16,20800,3097.73754882812,807.80517578125,3905.54272460938,1,0,0.76305216550827,1,0.200000002980232,11.5,8.25,12,8,2.5,54
12054,0,2,1,27,1,5,3,63,32717,2703.47998046875,369.914947509766,3073.39477539062,0,0,0.819277107715607,1,0.200000002980232,11.5,8.25,12,8,2.5,54
12081,0,2,1,26,1,0,6,10,26160,3188.7197265625,487.471466064453,3676.19067382812,0,1,0.76305216550827,1,0.200000002980232,11.5,8.25,12,8,2.5,54
12121,0,2,1,43,1,3,8,5,17080,2179.24755859375,245.269149780273,2424.5166015625,0,1,0.76305216550827,1,0.200000002980232,11.5,8.25,12,8,2.5,54
13014,0,3,1,38,1,7,5,26,30320,3115.93432617188,731.791870117188,3847.72607421875,0,0,1.52941179275513,1,0.5,11,8,11,8,2.5,56
13015,0,3,1,21,1,0,3,138,84103,3194.4970703125,715.09130859375,3909.58862304688,0,0,1.49019598960876,1,0.5,11,8,11,8,2.5,56
13021,0,3,1,45,1,10,5,73,61220,2634.15991210938,302.089935302734,2936.24951171875,0,1,0.656862735748291,1,0.5,11,8,11,8,2.5,56
13025,0,3,1,41,1,4,7,229,133391,3161.48681640625,581.058898925781,3742.54565429688,0,0,1.49019598960876,1,0.5,11,8,11,8,2.5,56
