COUNTRY;YEAR;MSF;VarMSF;LogMSF;LogMSF_1;VarLogMSF;LnMSF;LnMSF_1;VarLnMSF;MSF_1;GDPgrowthAnnual;GDPgrowthAnnual_1;GDPperCapita;GDPperCapita_1;EconomicGlobalization;EconomicGlobalization_1;LnEconomicGlobalization;LnEconomicGlobalization_1;SocialGlobalization;SocialGlobalization_1;LnSocialGlobalization;LnSocialGlobalization_1;GINI;GINI_1;LnGINI;LnGINI_1;Totalinvestment;Totalinvestment_1;LnTotalinvestment;LnTotalinvestment_1;HightechnoLnyexportsofma;HightechnoLnyexportsofma_1;LnHightechnoLnyexportsofma;LnHightechnoLnyexportsofma_1;CO2emissionskgperPPPofG;CO2emissionskgperPPPofG_1;LnCO2emissionskgperPPPofG;LnCO2emissionskgperPPPofG_1;TradeBalance;TradeBalance_1;LnTradeBalance;LnTradeBalance_1;LogTradeBalance;LogTradeBalance_1;FinancialDevelopment;FinancialDevelopment_1;LnFinancialDevelopment;LnFinancialDevelopment_1;LogFinancialDevelopment;RealEffectiveExchange;LnRealEffectiveExchange;LnRealEffectiveExchange_1;LogRealEffectiveExchange;LogRealEffectiveExchange_1;Realinterestrate;Realinterestrate_1;CurrentaccountbalanceofGDP;CurrentaccountbalanceofGDP_L1;GrosspublicdebtofGDP;LnGrosspublicdebtofGDP;LnGrosspublicdebtofGDP_1;ExternalDebt;ExternalDebt_1;LnExternalDebt;LnExternalDebt_1;LogExternalDebt;LogExternalDebt_1;OutputGapUSA;OutputGapUSA_1;DummyOutputgapUSA;DummyOutputgapChina;DomesticcreditFinancialSectorGDP;DomesticcreditFinancialSectorGDP_1;LnDomesticcreditFinancialSectorGDP;LnDomesticcreditFinancialSectorGDP_1;;LogDomesticcreditFinancialSectorGDP;LogDomesticcreditFinancialSectorGDP_1;TB1YR;TB1YR_1;LnTB1YR;LnTB1YR_1;FDInetInflowsGDP;FDInetInflowsGDP_1;OilRentsGDP;OilRentsGDP_1;LnOilRentsGDP
ARGENTINA;1978;10.21;-4.22;1.009025742;0;-0.23159892;2.323367632;0;-0.53327622;0;-4.51;0;0.174727574;0;34.88;0;3.551913599;0;28.06;0;3.334345075;0;43.4;0;3.770459441;0;20.09;0;3.000222179;0;6.93;0;1.935859813;0;3.76;0;1.324418957;0;14.323796;0;2.66192221;0;1.156058127;0;0.2911029;0;-1.234078466;0;-0.535953468;156.735;5.054556481;0;2.195165988;0;10.837;0;3.195434377;0;3.81;1.337629189;0;33.85;0;3.521938999;0;1.529558673;0;0.45;0;0;0;29.73285714;0;3.392252735;0;;1.473236644;0;9.44;0;2.24495598;0;0.43;0;1.43914148;0;0.364046741
ARGENTINA;1979;5.99;2.82;0.777426822;-0.23159892;0.167549086;1.790091412;-0.53327622;0.385796028;-4.22;10.22;14.73;0.094777938;-0.079949637;36.14;1.26;3.587400285;0.035486686;28.26;0.2;3.341447377;0.007102303;41.3;-2.1;3.7208625;-0.049596941;19.78;-0.31;2.984671326;-0.015550853;6.93;0;1.935859813;0;4;0.24;1.386294361;0.061875404;12.840685;-1.483111;2.552618646;-0.109303564;1.108588192;-0.047469935;0.2911029;0;-1.234078466;0;-0.535953468;175.823;5.169477807;0.114921326;2.245075686;0.049909698;12.72;1.883;-0.740769311;-3.936203688;3.81;1.337629189;0;32.52;-1.33;3.481855285;-0.040083715;1.512150537;-0.017408136;-1;-1.45;0;0;31.81;2.077142857;3.459780706;0.06752797;;1.502563669;0.029327025;10.92;1.48;2.39059597;0.14563999;0.3;-0.13;4.278461012;2.839319533;1.453593368
ARGENTINA;1980;8.81;2.04;0.944975908;0.167549086;0.09045383;2.17588744;0.385796028;0.20827764;2.82;4.15;-6.07;0.006886283;-0.087891655;36.33;0.19;3.592643846;0.005243561;28.67;0.41;3.35585128;0.014403903;40.5;-0.8;3.701301974;-0.019560526;20.98;1.2;3.043569603;0.058898277;6.93;0;1.935859813;0;3.87;-0.13;1.353254507;-0.033039854;11.545672;-1.295013;2.446310648;-0.106307998;1.062419216;-0.046168977;0.2911029;0;-1.234078466;0;-0.535953468;180.476;5.195597805;0.026119998;2.256419457;0.011343771;15.045;2.325;-6.203067397;-5.462298086;3.81;1.337629189;0;34.59;2.07;3.543564623;0.061709338;1.538950562;0.026800025;-2.305;-1.305;1;0;33.31052632;1.500526316;3.505873453;0.046092747;;1.522581495;0.020017826;13.23;2.31;2.582486978;0.191891008;0.88;0.58;5.260051477;0.981590465;1.660140813
ARGENTINA;1981;10.85;0.07;1.035429738;0.09045383;0.0027929;2.38416508;0.20827764;0.00643089;2.04;-5.69;-9.84;0.055341308;0.048455025;39.5;3.17;3.676300672;0.083656826;28.48;-0.19;3.349202087;-0.006649193;42.7;2.2;3.75419892;0.052896946;18.77;-2.21;2.932259851;-0.111309752;6.93;0;1.935859813;0;3.57;-0.3;1.272565596;-0.080688911;14.292977;2.747305;2.659768298;0.21345765;1.155122695;0.092703479;0.3674127;0.0763098;-1.00126954;0.232808926;-0.434845836;197.468;5.285576546;0.089978741;2.295496728;0.039077271;10.256;-4.789;-5.989055811;0.214011586;4.94;1.597365331;0.259736142;36.73;2.14;3.60359386;0.060029237;1.565020928;0.026070366;-1.541;0.764;1;0;48.28386667;14.97334035;3.877097481;0.371224029;;1.683802042;0.161220547;11.57;-1.66;2.448415541;-0.134071437;1.06;0.18;4.260757708;-0.99929377;1.44944701
ARGENTINA;1982;10.92;-1.66;1.038222638;0.0027929;-0.071611652;2.39059597;0.00643089;-0.164891922;0.07;-4.96;0.73;0.214630566;0.159289259;39.9;0.4;3.686376324;0.010075652;27.42;-1.06;3.311272674;-0.037929412;42.8;0.1;3.756538103;0.002339182;18.17;-0.6;2.899771882;-0.032487968;6.92;-0.01;1.93441577;-0.001444044;3.57;0;1.272565596;0;15.611486;1.318509;2.748006925;0.088238628;1.193444244;0.038321549;0.379084;0.0116713;-0.969997463;0.031272077;-0.421264545;189.56;5.244705597;-0.040870949;2.2777467;-0.017750028;12.792;2.536;-2.790973955;3.198081856;10.48;2.349468679;0.752103348;38.68;1.95;3.655322671;0.051728811;1.587486465;0.022465537;-6.17;-4.629;1;0;45.89899543;-2.384871233;3.826443231;-0.050654251;;1.66180318;-0.021998861;8.23;-3.34;2.107786015;-0.340629527;0.27;-0.79;2.239173737;-2.021583971;0.80610693
ARGENTINA;1983;9.26;0.21;0.966610987;-0.071611652;0.009738992;2.225704049;-0.164891922;0.022424859;-1.66;3.88;8.84;-0.250829791;-0.465460357;39.1;-0.8;3.666122467;-0.020253857;26.76;-0.66;3.286908235;-0.024364439;40.2;-2.6;3.693866996;-0.062671107;17.32;-0.85;2.851861903;-0.047909979;6.93;0.01;1.935859813;0.001444044;3.57;0;1.272565596;0;14.98767;-0.623816;2.707227863;-0.040779062;1.175734122;-0.017710122;0.3362717;-0.0428123;-1.089835815;-0.119838352;-0.473309681;217.934;5.384192265;0.139486668;2.33832499;0.06057829;16.837;4.045;-2.342778348;0.448195607;16.41;2.797890905;0.448422226;42.98;4.3;3.760734891;0.105412221;1.633266411;0.045779946;-4.731;1.439;1;0;46.20547945;0.306484018;3.833098394;0.006655163;;1.664693481;0.002890301;9.24;1.01;2.223541886;0.115755871;0.18;-0.09;2.523010061;0.283836324;0.925452657
ARGENTINA;1984;9.47;3.93;0.976349979;0.009738992;0.150754819;2.248128907;0.022424859;0.3471258;0.21;2.21;-1.67;0.101174115;0.352003906;40.7;1.6;3.706228092;0.040105625;26.65;-0.11;3.282789151;-0.004119085;40.4;0.2;3.698829785;0.004962789;16.44;-0.88;2.79971739;-0.052144514;6.94;0.01;1.937301775;0.001441961;3.56;-0.01;1.269760545;-0.002805051;12.346381;-2.641289;2.513362984;-0.193864879;1.091539675;-0.084194447;0.3131633;-0.0231084;-1.161030499;-0.071194684;-0.504229139;201.567;5.306121832;-0.078070432;2.304419432;-0.033905558;11.69;-5.147;-3.15455411;-0.811775762;15.57;2.745345986;-0.052544919;35.67;-7.31;3.574309999;-0.186424892;1.552303109;-0.080963302;-0.994;3.737;1;1;41.74996839;-4.455511062;3.731698694;-0.1013997;;1.620656151;-0.04403733;8.6;-0.64;2.151762203;-0.071779682;0.34;0.16;3.070544623;0.547534562;1.121854947
ARGENTINA;1985;13.4;-6.6;1.127104798;0.150754819;-0.294595886;2.595254707;0.3471258;-0.678332095;3.93;-7.59;-9.8;0.236097526;0.134923411;40.42;-0.28;3.699324712;-0.00690338;26.67;0.02;3.283539338;0.000750188;39.8;-0.6;3.683866912;-0.014962873;14.39;-2.05;2.666533521;-0.133183869;6.91;-0.03;1.932969638;-0.004332137;3.32;-0.24;1.199964783;-0.069795762;18.009425;5.663044;2.890895232;0.377532248;1.255499847;0.163960172;0.2189666;-0.0941967;-1.518836072;-0.357805573;-0.659622125;192.678;5.261020402;-0.045101431;2.28483213;-0.019587302;13.735;2.045;-1.076720048;2.077834062;31.57;3.452207303;0.706861317;41.57;5.9;3.727378753;0.153068754;1.618780025;0.066476915;-0.284;0.71;1;1;32.57300094;-9.176967448;3.483483753;-0.248214941;;1.512857772;-0.107798379;7.16;-1.44;1.968509981;-0.183252222;1.04;0.7;2.573848339;-0.496696283;0.945402187
ARGENTINA;1986;6.8;1.98;0.832508913;-0.294595886;0.110985603;1.916922612;-0.678332095;0.255553795;-6.6;7.88;15.47;-0.013131323;-0.24922885;37.65;-2.77;3.628332954;-0.070991758;36.21;9.54;3.589335324;0.305795986;42.79;2.99;3.75630443;0.072437518;14.42;0.03;2.668616132;0.002082611;6.95;0.04;1.93874166;0.005772022;3.38;0.06;1.217875709;0.017910927;14.486033;-3.523392;2.673184944;-0.217710288;1.16094947;-0.094550377;0.2142445;-0.0047221;-1.540637393;-0.021801321;-0.669090318;206.843;5.331960051;0.07093965;2.315640828;0.030808698;10.5729;-3.1621;-2.577197783;-1.500477735;29.92;3.398527153;-0.053680149;36.72;-4.85;3.603321566;-0.124057188;1.564902673;-0.053877352;-0.417;-0.133;1;0;32.8696858;0.296684858;3.492550829;0.009067075;;1.516795553;0.003937781;5.55;-1.61;1.713797928;-0.254712053;0.52;-0.52;0.657360882;-1.916487457;-0.419522123
ARGENTINA;1987;8.78;1.68;0.943494516;0.110985603;0.076037169;2.172476408;0.255553795;0.175082051;1.98;2.91;-4.97;0.119486336;0.132617659;37.52;-0.13;3.624874124;-0.00345883;35.94;-0.27;3.581850881;-0.007484442;45.28;2.49;3.812865434;0.056561003;16.19;1.77;2.784393768;0.115777636;6.95;0;1.93874166;0;3.68;0.3;1.302912752;0.085037043;15.44897;0.962937;2.737542334;0.064357391;1.18889953;0.02795006;0.2670513;0.0528068;-1.320314504;0.220322889;-0.573405304;215.635;5.373587164;0.041627112;2.333719253;0.018078425;12.934;2.3611;-3.811668772;-1.234470989;38.25;3.64414356;0.245616407;40.67;3.95;3.70549072;0.102169154;1.609274172;0.0443715;-0.316;0.101;0;0;47.58567737;14.71599157;3.86253182;0.369980992;;1.677476256;0.160680703;6.69;1.14;1.900613874;0.186815946;-0.02;-0.54;1.24372016;0.586359277;0.218107017
