Trimestres;PIB;IMPOR;OF;DI;GCFH;GCFGC;FBKF;VE;EXPOR;UF
2000.I;3819126;1120302;4939428;3433046;2445053;175154;723232;89607;1506382;4939428
2000.II;4402479;1165977;5568456;4093878;2841942;389776;821301;40859;1474578;5568456
2000.III;4906653;1344968;6251621;4758217;3164392;516011;947040;130774;1493404;6251621
2000.IV;5190343;1376539;6566882;5155931;3378859;631921;991669;153482;1410951;6566882
2001.I;5904082;1558735;7462817;5965283;4198533;577101;1053487;136162;1497534;7462817
2001.II;6069620;1656183;7725803;6337242;4375885;582004;1147563;231790;1388561;7725803
2001.III;6159609;1693120;7852729;6445033;4454342;551198;1212577;226916;1407696;7852729
2001.IV;6335013;1826210;8161223;6772797;4711126;601693;1247952;212026;1388426;8161223
2002.I;6737551;1840720;8578271;7158409;4935609;622826;1388559;211415;1419862;8578271
2002.II;7086627;2073234;9159861;7644751;5165450;689584;1460080;329637;1515110;9159861
2002.III;7294132;2054515;9348647;7776383;5297262;721936;1514534;242651;1572264;9348647
2002.IV;7430635;1992169;9422804;7794194;5401579;772712;1543432;76471;1628610;9422804
2003.I;8011429;1981196;9992625;8202783;5667569;801090;1603484;130640;1789842;9992625
2003.II;7965078;1938272;9903350;8170004;5830682;870265;1552829;-83772;1733346;9903350
2003.III;8120465;1992243;10112708;8246184;5866442;889497;1529914;-39669;1866524;10112708
2003.IV;8335886;2080793;10416679;8477084;5903082;913976;1554456;105570;1939595;10416679
2004.I;8849273;2179849;11029122;9036018;6306606;989429;1651726;88257;1993104;11029122
2004.II;9041596;2396630;11438226;9214496;6406699;1001661;1772561;33575;2223730;11438226
2004.III;9207469;2406415;11613884;9293733;6405966;984387;1836724;66656;2320151;11613884
2004.IV;9493323;2571515;12064838;9616979;6668037;1007289;1948114;-6461;2447859;12064838
2005.I;9858210;2831624;12689834;10071654;6872973;1067573;1970809;160299;2618180;12689834
2005.II;10221018;2917386;13138404;10398551;7047351;1094043;2115210;141947;2739853;13138404
2005.III;10645973;2819573;13465546;10469920;7124759;1125814;2163922;55425;2995626;13465546
2005.IV;10781884;3253322;14035206;10925366;7390813;1161235;2226812;146506;3109840;14035206
2006.I;11312589;3266788;14579377;11106132;7473628;1180967;2289331;162206;3473245;14579377
2006.II;11727184;3419011;15146195;11629072;7640025;1213810;2446002;329235;3517123;15146195
2006.III;11941733;3529083;15470816;11923431;7792795;1244480;2546226;339930;3547385;15470816
2006.IV;11820538;3534018;15354556;11695810;7974442;1322646;2478153;-79431;3658746;15354556
2007.I;11972101;3688804;15660905;12092597;8096780;1349454;2580234;66129;3568308;15660905
2007.II;12483035;3756612;16239647;12380699;8215569;1402301;2613022;149807;3858948;16239647
2007.III;12923037;3839378;16762415;12641456;8348009;1407775;2631842;253830;4120959;16762415
2007.IV;13629604;4351829;17981433;13241963;8540920;1414679;2768849;517515;4739470;17981433
2008.I;14505871;4858594;19364465;13704003;8948763;1670986;2970329;113925;5660462;19364465
2008.II;15788923;5288903;21077826;15492213;9312999;1800173;3344536;1034505;5585613;21077826
2008.III;16213465;5621373;21834838;16529274;9664597;1902052;3703868;1258757;5305564;21834838
2008.IV;15254376;5164530;20418906;15870181;10064904;1933577;3799781;71919;4548725;20418906
2009.I;15022003;4293031;19315034;15585684;9799156;2020721;3638386;127421;3729350;19315034
2009.II;15588869;4024805;19613674;15813110;9634405;2100079;3538406;540220;3800564;19613674
2009.III;15779977;4134711;19914688;15992901;9658411;2189216;3493945;651329;3921787;19914688
2009.IV;16128837;4337578;20466415;16132453;9821313;2271259;3586952;452929;4333962;20466415
2010.I;16762628;5116967;21879595;17393969;10500363;2234239;3975994;683373;4485626;21879595
2010.II;17070795;5465911;22536706;17718822;10805848;2241678;4168368;502928;4817884;22536706
2010.III;17429358;5914138;23343496;18583801;11235105;2301804;4422541;624351;4759695;23343496
2010.IV;18292586;6044684;24337270;18998036;11470789;2403346;4560986;562915;5339234;24337270
2011.I;18922955;6105619;25028574;19332633;11694784;2379105;4765661;493083;5695941;25028574
2011.II;19728114;6576850;26304964;20202381;12040630;2539852;5002022;619877;6102583;26304964
2011.III;19968470;6692488;26660958;20258364;12359537;2534436;5222935;141456;6402594;26660958
