Fecha,C02,C04,C05,C06,C07,C08,C10,C11,C12,P03,P08,P11,P12,P13,P16,P17,P19,P20,P22,P23,P25,P27,P29,P30,P31,P34,P38,P39,P40,P41,P42,P45,P46,P52,P53,P54,P55,P56,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P70,P72
2000-05-01,144.3,0,13.3,0,0,0,0,0,0,10.8,0,0,0,0,6.2,0,0,0,0,0,32.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-06-01,0,0,55.5,0,43.2,0,0,0,0,61.6,0,81.1,0,0,98.1,0,0,0,0,116.1,16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-07-01,0,0,20.2,0,0,0,0,0,0,34.8,0,39.3,47.8,29.4,58.7,11.5,2.2,29,0,24.4,33.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-08-01,0,0,4.1,0,0,0,0,0,0,13.6,0,19.8,19.5,1.3,31.9,10,0.4,1.7,0,27.8,33.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-09-01,0,0,62.9,0,0,0,0,0,0,66.4,0,81.8,0.7,82.2,147.6,41.2,56.2,69.7,0,137.9,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-10-01,10.7,24.1,65.9,14.1,2.8,0,0,0,0,39.8,0,66.9,86.3,47.7,9.5,0,56.7,3.6,0,50.7,54.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-11-01,19.8,18.5,35.1,49.3,6.3,0,0,0,0,28.4,0,31.8,38,67.2,0,0,42.6,10.7,0,62.7,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-12-01,55.3,40.5,29.3,60.5,46.5,0,0,0,0,95.3,92.8,106.1,120,97.9,43.3,0,68.4,86.6,0,93.6,55.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-01-01,0,0,30.5,63.8,37.8,0,0,0,0,115,86.8,130.9,79.4,56.9,144.2,0,52.7,43.5,0,100.8,132.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-02-01,0,0,32.7,49.9,14.3,0,0,0,0,111.2,80.6,94.7,146.3,49.3,149.5,119.5,67.2,11.6,0,96.5,115.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-03-01,166.6,0,163,97.5,92.5,0,0,0,0,192.9,137.4,164.1,186.8,95.3,217.6,48.2,94.7,98.4,0,184,119.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-04-01,46.9,0,54,29.6,1.7,0,0,0,0,43,127,25.1,96.2,55.5,140.8,53.6,0,13,0,79,96.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-05-01,99.3,0,92.6,50.6,19.9,0,0,0,0,109.8,27,47.2,87.8,73,101.3,49.3,33.4,18.5,0,99.6,126.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-06-01,10.1,0,6.2,23.3,6.6,0,0,0,0,10.8,11.6,8.2,18.2,14.9,31.5,32.9,12.6,12.1,0,33.1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-07-01,30.9,0,29.7,22.7,10.7,0,0,0,0,35.5,19.6,34.7,18.9,15.8,35.2,27.2,26,13.3,0,68.5,43.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-08-01,0,0,0.2,0.6,0.2,0,0,0,0,1,0,0.1,0,0,12.3,0,0.4,0.4,0,5.5,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-09-01,58,0,78,6.1,49.9,0,0,0,0,19.8,65.8,68.5,0,45,83.7,102,89.8,47.2,0,115.2,42.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-10-01,0,9.5,0,0,0,0,0,0,0,0,16,6.6,0,12.7,7.6,25,34.5,1.6,0,23.8,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-11-01,81.8,79.4,64.6,0,19,0,0,0,0,0,105.4,1.5,0,66.3,96.3,104.7,105,35.2,0,115.2,132.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-12-01,0,0,109.5,28.7,1.3,241.8,0,0,0,36.8,108.2,0,72.2,76.5,158.3,87.9,17.7,30.7,0,158.7,212.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-01-01,33.7,0,26.7,0,0,0,0,0,0,54.1,48.4,55.5,84.6,47,85.7,77.4,57.1,35.5,0,72.7,111.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-02-01,68.9,0,61.1,0,0,19.6,0,0,0,2.5,67.6,67.6,64.2,42.1,79.7,32.6,41.6,35.7,0,96.6,53.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-03-01,133.2,0,108.2,0,0,159.6,0,0,0,0,145.1,238.9,168.6,83.5,163.4,183.3,127.1,96.7,0,248.5,168.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-04-01,182.1,0,232.7,0,0,220.4,0,0,0,105.1,193.4,115.2,242.7,191.6,193.2,174,251.6,32.7,0,258.6,174.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-05-01,57.9,0,58.9,0,0,78.9,0,0,0,86.2,105.5,0,100.6,52.7,109.2,69.1,52.4,0,0,128.4,21.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-06-01,37.6,0,0,0,0,38.9,0,0,0,42.6,31.8,0,32.8,36.3,59.7,44.2,40.2,0,0,68.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-07-01,0,0,0,0,0,0,0,0,0,8.7,8.3,4.4,6.5,12.7,22.4,0.2,11.7,0,0,25.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-08-01,0,0,0,0,0,0,0,0,0,1.1,5.4,8.4,30.5,3.5,2.6,3.7,23.7,0,0,13.1,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-09-01,0,0,0,0,0,10,0,0,0,12.1,28.5,44.3,35.6,36.3,33.2,3,47,0,0,30.9,6.1,0,27.6,23.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-10-01,0,0,0,0,0,170.7,0,0,0,8.9,109.3,155.1,194.6,5.2,113.6,0,74.4,0,0,163.1,120.3,0,151.2,227.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-11-01,0,0,0,0,0,99.2,0,0,0,35.6,12.2,22.7,126.6,21.8,253.9,0,75.7,0,0,142.7,182.7,0,156.72,195.36,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-12-01,0,0,0,0,0,194.1,0,0,0,90.3,0,0,178,101.8,247.9,0,108.5,0,0,213.7,203.5,0,0,0,166.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-01-01,0,0,14.9,0,0,39.8,0,0,0,10.2,37.9,22.4,37,37.1,116.1,81.6,41.3,0,0,82.1,63.5,0,67,0,49.2,51.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-02-01,0,0,87.7,0,0,0,0,0,0,60.6,191.8,99.7,90,74,85.5,1.2,75.9,0,0,99.9,127.2,0,128.6,0,137.6,115.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
