ÍNDICE DE PRECIOS AL CONSUMIDOR - IPC -		
VARIACIÓN PORCENTUAL MENSUAL NACIONAL		

NIVEL	Cód. CCIF	Descripción CCIF
General	0	GENERAL
División	01	Alimentos y bebidas no alcohólicas
Grupo	011	Alimentos
Clase	0111	Pan y cereales (ND)
Subclase	01111	Arroz
Producto	01111001	ARROZ
Subclase	01112	Cereales enteros y harinas
Producto	01112002	CEREALES ENTEROS
Producto	01112003	HARINA DE TRIGO
Producto	01112004	HARINA DE OTROS CEREALES
Subclase	01113	Gramíneas y derivados
Producto	01113005	AVENA
Producto	01113006	CEREALES PREPARADOS
Subclase	01114	Pan
Producto	01114007	PAN CORRIENTE
Producto	01114008	PAN ESPECIAL
Producto	01114009	PAN ENVASADO
Subclase	01115	Productos de panadería
Producto	01115010	GALLETAS
Subclase	01116	Pastas alimenticias
Producto	01116011	TALLARINES Y FIDEOS
Clase	0112	Carne (ND)
Subclase	01121	Carne de bovino fresca, refrigerada o congelada
Producto	01121012	CARNE  DE RES SIN HUESO
Producto	01121013	CARNE DE RES CON HUESO
Producto	01121014	CARNE DE RES MOLIDA
Subclase	01122	Carne de porcino fresca, refrigerada o congelada
Producto	01122015	CHULETA DE CERDO
Producto	01122016	CARNE DE CERDO SIN HUESO
Producto	01122017	CARNE DE CERDO CON HUESO
Subclase	01123	Carne de ovino
Producto	01123018	CARNE DE OVINO
Subclase	01124	Carne de aves  fresca, refrigerada o congelada
Producto	01124019	POLLO ENTERO
Producto	01124020	PRESAS DE POLLO
Producto	01124021	MENUDENCIAS DE POLLO
Subclase	01125	Vísceras frescas
Producto	01125022	VÍSCERAS DE RES
Subclase	01126	Carnes preparadas y procesadas
Producto	01126023	CHORIZO
Producto	01126024	JAMÓN
Producto	01126025	MORTADELA
Producto	01126026	SALCHICHA
Clase	0113	Pescado (ND)
Subclase	01131	Pescados  frescos, refrigerados y congeladas
Producto	01131027	PESCADO FRESCO ENTERO
Producto	01131028	PESCADO FRESCO FILETEADO
Subclase	01132	Mariscos frescos, refrigerados, congelados
Producto	01132029	CAMARÓN
Subclase	01133	Pescados  y mariscos procesados y preparados
Producto	01133030	ATÚN EN CONSERVA
Producto	01133031	SARDINAS EN CONSERVA
Clase	0114	Leche, queso y huevos (ND)
Subclase	01141	Leche líquida
Producto	01141032	LECHE LÍQUIDA VEGETAL
Producto	01141033	LECHE LÍQUIDA PASTEURIZADA
Producto	01141034	LECHE LÍQUIDA LARGA VIDA
Subclase	01142	Leche conservada
Producto	01142035	LECHE EN POLVO
Producto	01142036	LECHE MATERNIZADA EN POLVO
Subclase	01143	Yogures y productos en base leche
Producto	01143037	YOGURT
Subclase	01144	Quesos
Producto	01144038	QUESO FRESCO
Producto	01144039	QUESO DE MESA
Subclase	01145	Huevos
Producto	01145040	HUEVOS DE GALLINA
Clase	0115	Aceites y grasas (ND)
Subclase	01151	Aceites puros y mezclados
